Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
31,218,6,284,5,0,2,2,2,3,1,1,0,5,11,7,547,0,29,576,0
32,562,1,332,1,0,0,3,0,0,2,1,1,3,4,0,910,0,20,930,0
33,447,4,314,4,1,4,7,2,2,5,1,2,0,4,3,800,0,9,809,0
34,573,2,206,2,0,1,3,0,0,1,0,0,0,1,0,789,0,8,797,0
35,393,4,486,5,1,5,4,1,0,2,0,1,11,9,4,926,0,10,936,0
36,475,1,153,0,0,0,5,0,0,1,0,0,1,0,0,636,0,9,645,0
37,367,3,441,1,1,7,1,2,0,3,3,2,1,4,1,837,0,18,855,0
38,607,0,222,0,1,1,11,0,0,2,0,0,0,4,0,848,0,8,856,0
39,560,2,227,3,1,1,18,1,2,2,2,0,0,0,2,821,0,18,839,0
40,389,1,185,2,0,1,4,1,0,3,0,1,0,1,0,588,0,10,598,0
41,510,2,351,2,1,2,4,0,1,4,2,1,0,3,1,884,0,6,890,0
42,210,6,249,0,0,2,8,0,1,0,0,0,1,1,0,478,0,7,485,0
43,195,3,363,0,0,1,7,1,0,2,1,1,1,0,0,575,0,9,584,0
44,413,2,368,6,3,1,11,0,2,1,1,0,1,1,1,811,0,5,816,0
45,311,4,218,2,1,1,4,0,1,0,1,2,0,1,0,546,0,5,551,0
46,19,1,845,3,0,0,2,3,0,0,0,0,0,0,0,873,0,1,874,0
47,213,2,604,2,1,0,4,1,0,2,0,0,0,0,0,829,0,7,836,0
48,25,3,850,7,0,0,1,3,1,1,0,0,1,1,0,893,0,9,902,0
49,158,0,474,2,0,0,1,0,0,1,0,0,0,1,0,637,0,1,638,0
50,107,1,477,1,1,0,3,0,0,0,0,0,0,0,0,590,0,3,593,0
51,349,3,44,0,0,1,0,0,1,0,3,0,1,0,3,405,0,30,435,0
52,295,1,137,0,1,0,3,1,1,5,0,0,0,0,0,444,0,6,450,0
53,287,0,285,2,1,0,4,0,0,0,0,1,0,3,0,583,0,11,594,0
54,560,0,54,0,0,0,5,0,0,7,0,0,1,0,0,627,0,8,635,0
55,539,3,282,1,1,0,3,0,1,6,1,0,0,1,0,838,0,7,845,0
56,497,1,172,0,0,1,7,0,0,4,0,1,0,3,1,687,0,10,697,0
57,757,1,215,2,0,0,1,0,1,4,0,0,0,0,0,981,0,8,989,0
58,453,3,297,0,0,1,5,0,1,2,0,2,0,1,1,766,0,12,778,0
59,473,1,56,0,0,0,9,0,1,4,0,0,1,0,0,545,0,6,551,0
60,348,2,62,0,0,0,8,0,0,2,0,0,0,0,1,423,0,9,432,0
61,411,1,156,0,0,1,9,1,1,3,0,0,1,1,0,585,0,6,591,0
62,247,1,566,4,0,1,3,1,2,1,1,0,0,9,2,838,0,7,845,0
63,333,5,471,4,1,0,2,0,3,3,0,1,3,6,5,837,0,11,848,0
64,639,2,71,2,0,0,8,0,1,2,0,0,0,0,0,725,0,8,733,0
65,499,1,74,1,1,0,5,0,1,2,0,0,0,0,0,584,0,7,591,0
66,564,2,61,0,0,0,5,0,0,4,0,0,0,0,0,636,0,7,643,0
67,225,0,56,1,0,0,3,1,1,1,0,0,0,0,0,288,0,5,293,0
68,157,1,600,2,2,1,3,0,2,1,0,0,2,1,3,775,0,14,789,0
69,376,0,222,2,1,0,0,0,0,2,0,0,0,1,1,605,0,10,615,0
70,493,1,256,3,0,0,0,2,0,5,0,0,1,4,1,766,0,8,774,0
71,216,3,187,1,1,0,1,0,0,1,0,0,0,1,1,412,0,6,418,0
72,395,3,130,2,1,0,1,0,0,1,1,0,0,0,0,534,0,5,539,0
73,616,0,70,0,0,0,2,0,1,7,0,0,0,0,0,696,0,4,700,0
74,646,3,264,1,1,2,3,0,0,1,0,0,0,2,1,924,0,6,930,0
75,688,0,101,1,0,0,7,0,2,2,0,1,0,0,1,803,0,6,809,0
76,838,3,67,0,1,0,4,0,1,7,0,0,0,0,0,921,0,9,930,0
77,175,0,22,0,0,0,0,0,0,2,0,0,0,0,0,199,0,3,202,0
78,526,1,54,0,0,0,1,0,0,3,0,0,0,0,1,586,0,9,595,0
79,687,2,149,2,1,0,6,0,0,2,0,0,1,1,0,851,0,12,863,0
80,691,3,43,1,0,0,1,0,0,6,0,0,0,0,1,746,0,6,752,0
81,569,2,64,0,0,0,3,1,0,2,1,0,0,0,2,644,0,4,648,0
82,710,2,56,0,0,0,3,0,0,0,0,1,1,1,0,774,0,7,781,0
83,298,0,41,0,0,0,2,0,0,1,0,1,0,0,0,343,0,2,345,0
84,979,7,40,0,1,0,5,0,0,1,0,1,0,1,1,1036,0,10,1046,0
85,823,5,61,2,0,0,1,0,1,4,0,0,3,2,2,904,0,13,917,0
86,747,2,72,0,0,0,4,0,0,1,0,0,2,1,2,831,0,16,847,0
87,1017,1,42,1,0,0,2,0,2,4,1,1,0,2,0,1073,0,16,1089,0
88,602,2,186,1,1,2,4,2,4,1,1,1,1,0,4,812,0,17,829,0
89,389,5,451,2,0,0,5,3,3,3,2,3,4,11,3,884,0,13,897,0
90,414,4,428,11,2,3,3,4,4,3,4,6,9,5,4,904,0,19,923,0
91,589,4,261,3,0,2,7,2,2,6,1,1,2,2,2,884,0,13,897,0
92,365,6,471,1,0,0,2,2,0,1,2,0,0,10,2,862,0,8,870,0
93,402,1,235,0,0,2,7,0,3,3,0,0,0,1,0,654,0,8,662,0
94,267,10,472,2,2,0,3,0,0,3,0,3,4,6,1,773,0,10,783,0
95,474,2,91,0,0,0,4,0,0,3,0,0,0,0,0,574,0,14,588,0
96,247,2,268,0,0,0,8,0,0,0,0,1,0,0,1,527,0,6,533,0
97,479,4,297,1,2,0,2,0,3,1,0,1,0,2,4,796,0,10,806,0
98,675,0,100,1,0,0,14,0,0,4,0,1,0,0,0,795,0,10,805,0
99,626,1,87,1,1,1,2,1,1,5,0,0,0,0,0,726,0,3,729,0
100,687,2,105,1,0,0,11,1,1,6,0,0,1,0,0,815,0,12,827,0
101,682,1,77,2,0,0,4,1,0,6,0,0,0,1,1,775,0,21,796,0
102,717,2,79,0,0,0,7,0,1,2,0,0,0,2,0,810,0,14,824,0
103,446,0,52,0,1,0,5,0,0,1,0,0,0,0,0,505,0,11,516,0
104,468,0,35,0,0,0,5,0,0,3,2,0,0,0,0,513,0,9,522,0
105,703,2,142,2,0,0,10,0,0,3,0,1,0,0,0,863,0,8,871,0
106,546,1,282,2,2,0,15,0,0,6,4,4,3,4,4,873,0,18,891,0
107,429,0,59,1,0,0,0,0,0,3,0,0,0,0,0,492,0,5,497,0
108,645,3,76,0,0,1,7,2,0,6,0,0,1,0,0,741,0,14,755,0
109,621,4,175,0,0,0,10,1,1,8,1,1,2,0,1,825,0,9,834,0
110,722,2,205,1,0,0,12,0,1,6,0,0,1,1,0,951,0,22,973,0
111,495,1,81,3,0,0,6,0,0,5,0,0,0,1,1,593,0,11,604,0
112,541,1,64,0,0,0,2,0,0,0,1,0,0,0,0,609,0,7,616,0
113,332,3,328,3,0,1,11,1,3,1,0,0,2,3,1,689,0,27,716,0
114,318,1,201,1,0,0,7,0,1,1,0,0,0,1,1,532,0,6,538,0
115,337,2,263,2,0,1,11,0,1,1,0,0,0,1,3,622,0,7,629,0
116,506,2,171,3,3,0,2,1,1,1,0,1,1,1,3,696,0,13,709,0
117,12,0,410,1,0,0,0,1,0,0,0,0,0,0,0,424,0,1,425,0
118,27,1,741,4,0,0,4,1,0,0,0,0,0,1,0,779,0,7,786,0
119,74,0,421,4,0,0,1,0,1,0,0,0,1,1,0,503,0,3,506,0
120,85,5,755,27,0,0,8,1,0,0,1,0,2,5,0,889,0,7,896,0
121,244,2,598,5,0,2,2,0,0,1,0,0,0,0,3,857,0,13,870,0
122,129,3,805,1,1,2,2,0,0,0,0,1,0,2,1,947,0,7,954,0
123,125,5,668,2,0,0,4,1,1,1,0,1,0,2,1,811,0,3,814,0
124,614,6,13,0,0,0,0,0,0,0,0,0,1,1,0,635,0,12,647,0
125,466,0,38,1,0,1,0,0,1,3,1,1,0,1,1,514,0,4,518,0
126,267,0,57,0,0,0,1,0,0,0,1,0,0,1,0,327,0,2,329,0
127,521,0,223,1,0,0,2,0,0,1,1,1,0,0,0,750,0,3,753,0
128,65,2,808,8,0,0,9,0,1,2,1,1,0,0,0,897,0,18,915,0
129,46,2,672,3,1,0,0,0,1,0,0,1,2,1,1,730,0,4,734,0
130,74,1,511,2,0,0,7,0,1,1,0,0,0,0,1,598,0,15,613,0
131,90,6,675,2,0,1,6,0,2,1,2,5,5,5,0,800,0,17,817,0
132,144,1,278,2,0,0,3,0,1,1,0,0,1,1,2,434,0,4,438,0
133,18,1,685,7,0,0,0,0,1,1,0,0,0,3,0,716,0,1,717,0
134,30,0,670,3,1,1,0,0,1,0,0,0,0,2,0,708,0,1,709,0
135,234,3,533,0,0,1,3,3,2,3,1,1,2,5,2,793,0,17,810,0
136,49,2,792,2,0,0,3,1,1,0,0,0,0,1,0,851,0,3,854,0
137,18,2,544,4,1,1,2,0,2,2,0,0,0,2,1,579,0,2,581,0
138,8,0,423,2,0,0,1,0,0,0,0,0,1,0,0,435,0,3,438,0
139,17,3,570,2,1,0,1,0,0,0,0,0,1,2,0,597,0,5,602,0
140,24,4,656,8,1,1,2,4,0,0,1,0,2,1,0,704,0,5,709,0
141,60,2,698,1,0,0,4,2,2,3,0,1,1,1,2,777,0,3,780,0
142,21,1,867,5,0,1,2,1,0,0,1,0,1,0,0,900,0,0,900,0
143,33,1,574,8,0,0,0,0,0,0,0,0,0,0,1,617,0,6,623,0
144,19,2,772,1,0,0,3,1,0,0,0,0,1,4,1,804,0,2,806,0
145,39,5,648,5,2,0,3,0,3,1,0,2,2,1,0,711,0,6,717,0
146,468,1,92,2,0,1,23,0,0,2,0,0,1,0,0,590,0,13,603,0
147,159,7,310,5,0,2,3,2,0,0,0,0,1,5,5,499,0,10,509,0
148,144,0,126,1,0,1,3,0,0,0,0,0,0,1,0,276,0,4,280,0
149,478,2,224,2,0,1,0,0,0,2,0,0,4,5,4,722,0,5,727,0
150,117,2,508,1,1,0,4,1,1,2,1,1,5,2,1,647,0,6,653,0
151,502,5,229,2,0,0,4,0,1,0,1,0,4,3,3,754,0,15,769,0
152,359,6,348,2,2,0,3,0,2,2,0,2,1,5,2,734,0,25,759,0
153,312,4,195,2,0,0,9,0,0,1,0,0,0,0,1,524,0,7,531,0
154,85,4,407,3,1,1,11,1,0,0,0,0,1,1,0,515,0,12,527,0
155,498,16,388,6,0,3,2,1,0,2,2,0,1,3,3,925,0,12,937,0
156,258,4,288,1,0,0,5,2,1,0,0,0,2,5,1,567,0,10,577,0
157,250,3,212,0,0,0,4,0,0,1,0,1,1,0,0,472,0,3,475,0
158,291,2,374,4,0,0,5,1,1,0,2,0,1,2,0,683,0,8,691,0
159,426,7,306,4,2,0,3,1,0,3,2,0,1,3,2,760,0,15,775,0
160,472,2,95,2,0,0,7,0,1,2,0,0,1,1,0,583,0,13,596,0
161,624,4,94,1,0,0,10,0,2,2,0,1,1,2,2,743,0,15,758,0
162,434,2,64,0,1,0,7,0,0,0,0,1,1,0,1,511,0,8,519,0
163,427,1,49,0,0,0,9,0,2,0,0,0,0,0,0,488,0,5,493,0
164,648,2,70,0,0,1,4,1,1,1,1,0,1,0,0,730,0,8,738,0
165,518,5,202,1,1,0,5,0,1,1,0,0,0,1,1,736,0,31,767,0
166,535,1,89,0,0,0,5,0,0,0,0,0,0,0,0,630,0,11,641,0
167,302,0,83,1,0,1,4,3,0,1,1,0,0,0,0,396,0,5,401,0
168,315,1,226,0,0,0,8,1,0,2,0,0,1,1,1,556,0,14,570,0
169,297,1,87,1,0,0,2,2,0,0,0,0,0,1,0,391,0,2,393,0
170,340,2,104,1,0,0,7,0,0,0,1,0,1,4,0,460,0,5,465,0
171,614,8,414,4,1,0,6,1,0,0,0,1,4,10,6,1069,0,32,1101,0
172,649,1,263,3,0,1,6,1,1,1,2,0,0,2,1,931,0,13,944,0
173,717,1,151,0,0,0,15,3,2,2,1,0,0,3,0,895,0,25,920,0
174,420,1,149,0,0,1,4,0,0,1,0,0,1,2,1,580,0,6,586,0
175,225,7,91,0,0,0,2,0,1,0,0,2,1,4,3,336,0,13,349,0
176,587,6,164,1,0,1,2,0,0,5,0,0,1,1,2,770,0,24,794,0
177,439,2,322,4,1,1,3,3,2,1,0,1,2,5,1,787,0,12,799,0
178,358,3,205,1,0,1,0,1,0,3,0,0,1,3,0,576,0,6,582,0
179,330,3,183,3,1,3,1,0,1,0,2,2,1,1,3,534,0,9,543,0
180,287,6,470,4,2,0,2,3,2,2,1,0,3,13,3,798,0,7,805,0
181,307,4,593,4,1,2,0,0,0,1,0,0,3,6,2,923,0,6,929,0
182,239,2,609,5,1,2,1,0,4,0,1,2,3,12,4,885,0,6,891,0
183,204,10,554,9,1,3,1,2,3,3,2,1,10,14,6,823,0,13,836,0
184,392,3,380,4,1,1,1,0,0,0,1,0,2,7,0,792,0,7,799,0
185,443,0,83,1,1,0,2,0,1,7,0,0,0,0,1,539,0,6,545,0
186,581,1,107,0,0,0,2,2,0,1,1,0,0,0,0,695,0,8,703,0
187,463,1,56,0,1,0,3,0,0,4,0,0,0,0,1,529,0,8,537,0
188,466,1,392,8,2,2,3,1,0,1,0,0,1,1,1,879,0,28,907,0
189,705,1,224,2,0,0,11,0,0,2,0,0,0,3,5,953,0,5,958,0
190,243,4,415,1,0,0,0,0,0,3,1,0,1,1,1,670,0,9,679,0
191,633,5,394,8,3,1,1,0,4,0,1,1,8,4,4,1067,0,32,1099,0
192,250,9,451,3,0,0,0,1,0,0,0,1,3,3,1,722,0,5,727,0
193,697,0,189,2,0,0,4,0,1,4,1,0,1,0,0,899,0,12,911,0
194,335,10,543,2,0,0,1,1,2,1,2,2,7,8,1,915,0,14,929,0
195,427,0,194,0,0,2,5,0,0,6,0,0,0,4,1,639,0,12,651,0
196,452,3,94,1,0,1,3,0,0,4,0,0,0,0,1,559,0,5,564,0
197,385,4,170,2,0,0,1,1,2,3,0,0,1,2,0,571,0,6,577,0
198,196,2,309,5,2,0,1,1,2,0,1,1,3,1,4,528,0,7,535,0
199,549,2,196,2,1,1,10,1,2,5,1,0,0,0,0,770,0,18,788,0
200,239,3,101,1,0,1,0,0,0,1,0,1,0,2,5,354,0,7,361,0
201,256,6,270,4,1,1,0,1,2,0,0,1,3,8,3,556,0,17,573,0
202,286,2,198,1,0,0,2,0,2,1,0,0,1,0,2,495,0,5,500,0
203,439,3,275,2,1,0,3,0,0,0,0,1,1,3,3,731,0,14,745,0
204,670,1,174,0,0,1,9,1,1,2,0,0,0,3,2,864,0,10,874,0
205,894,1,114,1,0,0,12,0,1,1,0,0,1,1,1,1027,0,13,1040,0
206,782,1,170,1,0,0,6,0,0,1,1,3,1,3,2,971,0,25,996,0
207,690,5,137,1,0,0,7,1,0,5,1,0,6,5,3,861,0,19,880,0
208,464,1,83,0,0,0,3,0,0,2,0,0,0,0,0,553,0,8,561,0
209,395,4,105,1,1,0,3,3,0,3,0,0,2,3,3,523,0,14,537,0
210,765,4,195,1,0,0,10,1,0,10,0,1,1,1,3,992,0,24,1016,0
211,697,4,229,0,0,0,9,0,1,9,0,0,1,1,2,953,0,12,965,0
212,495,4,254,2,0,0,3,0,2,2,0,2,2,3,4,773,0,17,790,0
213,439,4,254,2,0,0,0,0,1,1,1,3,3,5,2,715,0,7,722,0
214,528,2,210,0,0,0,2,0,1,1,0,0,0,7,1,752,0,12,764,0
215,533,0,202,1,1,0,1,1,1,3,1,0,0,0,2,746,0,5,751,0
216,426,4,307,1,1,1,9,0,0,0,0,2,0,3,2,756,0,14,770,0
217,523,4,170,0,0,0,6,1,0,0,0,0,1,4,0,709,0,10,719,0
218,447,5,188,3,0,2,5,1,0,1,3,1,4,2,0,662,0,4,666,0
219,590,5,272,3,0,0,3,0,1,3,0,0,3,4,4,888,0,12,900,0
220,500,1,170,1,0,0,9,0,0,2,1,0,0,1,1,686,0,7,693,0
221,185,2,528,2,0,0,4,0,1,3,0,0,2,4,0,731,0,11,742,0
222,388,2,450,4,1,1,2,0,2,1,0,2,2,11,6,872,0,30,902,0
223,49,6,865,4,0,0,0,1,2,2,1,1,4,3,3,941,0,5,946,0
224,36,2,867,1,0,1,1,0,0,0,0,0,2,1,4,915,0,5,920,0
225,63,3,804,0,2,1,0,0,0,2,1,0,4,4,3,887,0,5,892,0
226,167,3,457,2,0,0,0,0,0,0,0,0,2,1,1,633,0,2,635,0
227,558,3,286,3,1,0,5,2,3,9,1,2,2,2,2,879,0,14,893,0
228,378,6,466,1,1,3,3,0,0,0,0,0,0,7,3,868,0,6,874,0
229,545,5,242,3,0,0,5,2,0,1,0,3,1,1,1,809,0,11,820,0
230,349,7,471,4,0,1,3,4,2,2,1,1,2,14,7,868,0,16,884,0
231,303,4,337,3,0,1,1,1,1,0,1,0,3,7,4,666,0,6,672,0
232,63,1,311,2,0,0,1,1,2,0,1,0,2,6,4,394,0,9,403,0
233,516,1,89,0,0,0,2,1,1,4,0,0,0,1,1,616,0,7,623,0
234,345,0,130,1,0,0,0,0,0,1,0,0,1,0,0,478,0,2,480,0
235,319,3,214,1,1,0,1,2,0,0,1,0,2,2,2,548,0,3,551,0
236,321,7,286,2,0,0,0,1,2,1,0,1,1,4,0,626,0,12,638,0
237,471,2,416,1,0,0,0,0,1,2,2,1,4,7,2,909,0,11,920,0
238,217,7,348,2,0,0,2,0,1,2,0,0,0,6,3,588,0,10,598,0
239,227,3,469,5,2,2,0,0,0,0,1,0,1,1,2,713,0,3,716,0
240,227,6,549,12,8,1,0,1,0,0,0,2,4,5,4,819,0,14,833,0
241,595,1,196,3,0,0,1,0,0,0,0,0,0,0,0,796,0,3,799,0
242,395,0,421,2,1,1,1,1,0,1,1,0,1,2,1,828,0,10,838,0
243,263,3,437,1,0,1,1,0,0,0,0,1,1,5,3,716,0,24,740,0
244,461,5,219,5,1,0,0,1,0,2,0,0,2,6,2,704,0,10,714,0
245,429,6,164,4,0,0,0,0,0,0,0,0,0,2,0,605,0,17,622,0
246,106,3,298,7,0,0,1,2,1,1,0,1,1,6,3,430,0,3,433,0
247,353,2,340,0,1,3,1,0,0,0,1,1,2,1,2,707,0,8,715,0
248,178,5,483,8,1,2,1,0,2,0,2,1,4,5,2,694,0,15,709,0
249,360,5,155,1,0,0,0,0,2,3,1,0,1,2,1,531,0,3,534,0
250,282,2,163,3,1,1,1,0,4,4,0,1,1,2,4,469,0,10,479,0
251,360,3,168,2,0,0,2,0,0,0,0,0,0,1,1,537,0,2,539,0
252,82,0,461,4,1,1,1,0,1,0,0,0,2,8,1,562,0,5,567,0
