Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
34,703,58,1,0,0,0,0,23,0,0,0,0,0,0,1,2,22,1,15,826,0,826,0,0
35,85,602,5,2,0,0,0,7,0,0,0,0,0,0,1,6,2,4,4,718,0,718,0,0
36,482,34,0,0,0,1,0,18,0,0,0,0,0,0,0,0,1,1,9,546,0,546,0,0
37,422,22,2,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,11,471,0,471,0,0
38,703,39,1,0,0,1,0,8,1,0,1,0,1,0,0,0,1,0,14,769,0,769,0,0
39,669,61,1,0,0,0,0,20,0,0,0,0,0,0,0,2,1,0,12,766,0,766,0,0
40,620,58,0,0,0,0,0,31,0,0,0,0,0,0,0,1,2,0,15,727,0,727,0,0
41,610,52,1,0,0,0,0,25,0,0,0,0,0,0,1,1,1,0,10,701,0,701,0,0
42,556,50,0,0,0,1,0,20,0,0,0,0,0,0,0,3,2,0,16,648,0,648,0,0
43,540,41,0,0,0,0,0,13,0,0,2,0,2,0,0,0,1,0,9,607,0,607,0,0
44,944,55,1,0,0,1,0,12,0,0,0,0,0,0,0,4,3,0,16,1036,0,1036,0,0
45,140,168,1,0,0,1,0,19,0,0,0,0,0,0,1,1,0,0,6,338,0,338,0,0
46,603,26,1,0,0,0,0,12,0,0,0,0,0,0,0,1,4,0,10,657,0,657,0,0
47,462,37,0,0,0,0,0,8,0,0,1,0,1,0,0,3,2,0,10,523,0,523,0,0
48,460,41,0,1,0,0,0,8,2,0,1,0,1,0,0,1,0,0,13,527,0,527,0,0
49,370,33,0,0,1,0,0,10,0,0,1,0,1,1,0,0,0,0,4,420,0,420,0,0
50,712,59,1,0,0,0,0,26,0,0,0,0,0,0,0,1,2,0,11,812,0,812,0,0
51,370,79,4,2,2,1,0,3,0,1,0,0,0,1,0,6,6,1,2,479,0,479,0,0
52,580,82,1,0,0,0,0,11,0,0,0,0,0,1,0,3,1,0,7,686,0,686,0,0
53,312,236,1,0,2,1,0,7,0,0,1,1,2,3,2,11,1,1,2,581,0,581,0,0
54,796,64,4,3,0,0,0,22,0,0,0,0,0,0,0,4,1,0,20,914,0,914,0,0
55,465,89,0,0,1,0,0,25,0,0,0,0,0,0,1,0,0,0,10,591,0,591,0,0
56,332,43,0,0,0,0,0,13,0,1,0,0,0,0,2,1,0,0,9,401,0,401,0,0
57,440,64,1,0,4,1,0,14,0,1,0,1,1,0,0,2,3,0,7,538,0,538,0,0
58,432,362,10,0,0,0,0,24,0,0,0,1,1,1,5,25,9,5,3,878,0,878,0,0
59,513,257,3,0,1,2,0,18,0,0,1,2,3,0,6,20,23,12,5,867,0,867,0,0
60,810,67,3,0,0,0,0,35,1,0,1,0,1,0,0,2,4,1,5,929,0,929,0,0
61,648,54,0,0,0,0,0,24,0,1,1,0,1,0,1,2,7,6,11,755,0,755,0,0
62,180,21,2,0,0,0,1,5,1,0,0,0,0,0,0,1,0,0,2,213,0,213,0,0
63,891,85,1,0,0,0,0,14,0,1,0,0,0,0,0,2,1,0,8,1003,0,1003,0,0
64,565,34,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,9,626,0,626,0,0
65,547,38,0,0,1,0,0,24,0,0,0,0,0,0,0,0,1,0,5,616,0,616,0,0
66,676,35,0,0,0,0,0,15,0,0,0,0,0,1,0,2,1,0,10,740,0,740,0,0
67,413,25,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,3,450,0,450,0,0
68,619,42,0,0,0,1,0,14,0,0,0,0,0,0,0,0,1,0,10,687,0,687,0,0
69,702,79,0,1,0,0,0,14,0,1,0,0,0,1,0,4,6,1,19,828,0,828,0,0
70,564,36,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,6,617,0,617,0,0
71,506,41,0,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,11,581,0,581,0,0
72,455,27,1,0,0,0,0,9,0,0,0,0,0,1,0,0,3,0,8,504,0,504,0,0
73,551,41,0,0,1,0,1,10,0,0,0,0,0,0,1,2,0,0,10,617,0,617,0,0
74,713,81,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,29,856,0,856,0,0
75,583,37,0,1,0,0,0,21,0,0,0,0,0,0,0,2,1,0,11,656,0,656,0,0
76,481,30,0,0,0,0,0,15,0,1,0,0,0,0,0,5,0,0,13,545,0,545,0,0
77,423,37,0,0,0,0,0,24,0,1,0,0,0,2,0,0,1,0,9,497,0,497,0,0
78,467,32,1,0,0,0,1,11,0,0,0,0,0,0,0,1,0,0,4,517,0,517,0,0
79,641,83,2,1,1,0,0,9,0,1,1,1,2,0,14,3,2,2,3,765,0,765,0,0
80,550,147,3,1,0,0,0,20,0,0,1,0,1,1,1,7,2,0,9,743,0,743,0,0
81,917,52,0,0,1,0,0,16,0,0,0,0,0,2,0,2,1,0,13,1005,0,1005,0,0
82,518,26,0,0,0,0,0,12,0,1,0,0,0,0,0,3,1,0,10,571,0,571,0,0
83,733,81,1,0,0,0,0,10,0,1,0,0,0,2,0,4,1,0,14,847,0,847,0,0
84,826,50,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,8,904,0,904,0,0
85,745,44,0,0,0,0,0,19,1,0,0,0,0,0,0,2,7,3,11,832,0,832,0,0
86,769,81,0,1,0,0,0,23,0,0,0,0,0,0,0,6,1,0,29,910,0,910,0,0
87,824,58,2,0,0,0,0,19,0,0,0,0,0,0,0,4,1,0,8,916,0,916,0,0
88,547,167,4,0,1,1,0,21,0,1,1,1,2,4,5,14,3,0,8,779,0,779,0,0
89,710,66,0,0,1,1,0,25,0,1,0,0,0,1,1,1,3,0,17,828,0,828,0,0
90,628,46,0,1,0,0,0,21,0,0,0,1,1,0,0,0,1,1,10,709,0,709,0,0
91,568,23,0,0,0,1,0,13,1,1,0,0,0,0,0,0,1,0,8,616,0,616,0,0
92,989,50,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,15,1086,0,1086,0,0
93,467,45,1,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,5,533,0,533,0,0
94,733,60,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,1,19,843,0,843,0,0
95,733,47,0,0,0,1,0,21,0,0,0,0,0,0,0,5,0,1,23,831,0,831,0,0
96,456,32,0,0,0,0,0,13,0,1,0,0,0,0,0,1,2,0,7,512,0,512,0,0
97,603,28,1,0,0,0,0,26,1,1,0,0,0,0,0,7,1,1,18,687,0,687,0,0
98,624,49,1,0,0,0,0,22,0,0,0,1,1,0,1,2,0,0,8,708,0,708,0,0
99,815,41,0,0,0,0,0,22,0,0,0,0,0,0,1,3,1,0,10,893,0,893,0,0
100,575,48,2,0,0,0,0,13,0,0,1,0,1,0,0,1,1,1,9,651,0,651,0,0
101,464,83,1,0,0,0,0,19,0,0,0,0,0,1,0,3,5,0,12,588,0,588,0,0
102,396,194,4,0,1,1,0,18,0,0,0,1,1,0,3,5,0,3,14,641,0,641,0,0
103,635,134,3,1,0,0,0,17,0,0,0,1,1,0,1,1,1,1,12,807,0,807,0,0
104,571,70,1,2,0,0,0,21,0,0,0,0,0,0,1,4,1,0,11,682,0,682,0,0
105,488,39,1,0,0,1,0,16,1,1,0,0,0,1,0,4,3,0,13,568,0,568,0,0
106,671,47,1,0,0,0,0,27,0,0,0,0,0,0,0,1,0,1,17,765,0,765,0,0
107,828,54,1,0,0,0,1,22,0,0,0,0,0,0,0,2,0,0,20,928,0,928,0,0
108,631,197,13,0,1,0,0,26,0,0,0,0,0,0,0,2,1,2,12,885,0,885,0,0
109,800,61,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,20,907,0,907,0,0
110,602,43,2,0,1,0,1,19,1,0,0,0,0,0,0,0,0,0,8,677,0,677,0,0
111,588,144,3,0,0,0,0,23,2,0,0,1,1,0,3,7,3,3,10,790,0,790,0,0
112,690,123,2,0,0,0,0,14,0,1,0,0,0,1,2,3,9,3,8,856,0,856,0,0
113,310,99,9,0,0,0,0,2,1,0,0,0,0,0,2,5,0,0,3,431,0,431,0,0
114,301,89,1,0,1,1,0,11,2,3,3,0,3,2,3,8,5,2,1,437,0,437,0,0
115,531,114,0,0,1,1,0,6,0,1,1,1,2,2,1,8,4,0,2,673,0,673,0,0
116,340,70,3,0,1,0,0,3,0,0,0,0,0,1,0,0,1,1,1,422,0,422,0,0
117,743,80,1,0,1,0,0,22,0,0,1,0,1,2,0,3,1,0,14,868,0,868,0,0
118,480,165,9,0,2,0,0,8,0,0,1,0,1,0,0,3,6,2,10,686,0,686,0,0
119,641,90,2,0,1,0,1,5,0,1,2,0,2,2,2,7,4,0,13,771,0,771,0,0
120,279,336,6,1,0,0,1,7,0,2,1,0,1,4,5,16,3,2,2,666,0,666,0,0
121,386,335,9,0,0,0,1,32,0,1,0,0,0,0,0,2,1,2,20,789,0,789,0,0
122,300,82,0,1,0,0,0,5,1,0,0,1,1,0,0,6,1,0,8,406,0,406,0,0
123,380,84,0,1,1,1,1,3,0,0,0,1,1,1,1,6,1,1,3,485,0,485,0,0
124,605,120,2,3,3,0,0,17,0,0,0,1,1,0,0,2,2,0,14,769,0,769,0,0
125,522,166,3,0,2,1,0,17,0,1,0,0,0,0,1,5,2,0,11,731,0,731,0,0
126,259,259,6,0,0,0,0,15,0,0,0,0,0,0,1,1,5,0,4,550,0,550,0,0
127,799,102,4,0,4,0,0,15,0,0,1,0,1,0,1,2,3,2,10,943,0,943,0,0
128,451,42,1,0,0,0,1,14,0,0,0,0,0,0,0,1,0,1,4,515,0,515,0,0
129,678,85,0,0,1,2,1,10,0,0,0,0,0,0,2,5,2,1,7,795,0,795,0,0
130,391,52,1,0,1,0,0,4,0,0,0,0,0,1,0,3,3,2,2,461,0,461,0,0
131,428,82,0,1,1,1,0,5,0,1,1,0,1,1,2,2,4,1,0,531,0,531,0,0
132,830,101,0,0,1,0,1,18,0,0,0,0,0,1,0,2,3,1,8,968,0,968,0,0
133,460,44,4,1,2,0,1,2,1,0,0,1,1,0,0,7,0,1,3,528,0,528,0,0
134,481,126,2,0,1,2,1,6,3,0,0,0,0,2,2,5,1,1,6,640,0,640,0,0
135,540,100,5,0,0,1,1,0,0,1,1,0,1,0,1,9,1,0,2,663,0,663,0,0
136,705,100,6,5,2,0,0,5,1,0,0,0,0,2,1,8,2,0,7,845,0,845,0,0
137,320,347,6,0,0,0,2,22,1,1,0,0,0,2,1,2,8,3,9,724,0,724,0,0
138,650,116,2,0,0,1,1,3,1,3,0,1,1,3,10,18,2,0,1,815,0,815,0,0
139,493,215,9,2,3,0,1,4,2,1,0,1,1,1,0,9,17,8,4,771,0,771,0,0
140,485,95,2,0,0,1,0,5,2,1,0,0,0,0,0,3,6,1,6,607,0,607,0,0
141,453,57,1,1,0,0,1,8,0,0,0,1,1,1,0,9,4,12,12,560,0,560,0,0
142,409,80,3,2,0,0,0,4,0,1,0,0,0,0,0,6,1,0,0,508,0,508,0,0
143,188,499,11,2,0,0,0,21,2,0,0,0,0,1,0,1,5,2,20,752,0,752,0,0
144,571,152,5,1,0,1,0,19,0,1,1,0,1,1,5,4,7,3,7,779,0,779,0,0
145,564,115,5,3,1,0,0,5,1,1,0,0,0,1,1,18,16,2,2,735,0,735,0,0
146,684,211,15,2,0,1,0,7,0,1,0,0,0,0,0,1,3,0,9,934,0,934,0,0
147,447,242,9,2,1,0,1,33,1,0,1,1,2,1,0,3,1,0,18,761,0,761,0,0
148,446,66,1,0,1,0,0,6,0,0,0,0,0,0,1,5,1,0,4,531,0,531,0,0
149,604,244,5,2,1,0,0,12,0,0,0,0,0,1,0,8,0,0,23,900,0,900,0,0
150,783,72,0,1,0,1,0,11,1,2,0,0,0,0,0,3,3,0,13,891,0,891,0,0
151,556,82,0,0,0,0,0,15,0,1,0,1,1,0,1,2,1,1,6,666,0,666,0,0
152,558,66,6,0,0,0,0,16,1,0,0,0,0,0,0,3,0,0,5,655,0,655,0,0
153,586,108,2,1,0,0,0,18,0,0,2,0,2,0,0,8,9,1,8,743,0,743,0,0
154,759,70,0,0,1,0,0,10,0,0,0,2,2,1,1,3,8,0,9,866,0,866,0,0
155,701,82,0,0,1,2,0,32,2,0,0,0,0,0,0,5,3,0,15,843,0,843,0,0
156,815,56,1,0,0,0,1,17,1,0,0,0,0,0,3,8,6,1,19,929,0,929,0,0
157,446,56,0,0,1,0,0,8,0,0,0,0,0,0,0,1,2,0,9,523,0,523,0,0
158,681,63,0,0,0,0,0,16,0,1,0,0,0,0,0,5,8,2,16,793,0,793,0,0
159,486,24,0,0,0,0,1,20,0,1,0,0,0,0,0,5,2,0,6,546,0,546,0,0
160,627,51,0,0,1,1,0,15,0,1,1,0,1,0,0,5,2,0,13,718,0,718,0,0
161,499,38,2,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,9,560,0,560,0,0
162,680,87,1,0,0,0,0,17,0,0,0,0,0,1,0,4,6,0,12,808,0,808,0,0
163,562,167,2,0,0,0,1,16,1,1,0,1,1,0,1,3,0,1,17,773,0,773,0,0
164,658,157,4,0,1,0,0,10,0,0,0,0,0,0,2,2,1,2,15,853,0,853,0,0
165,642,82,1,1,0,0,0,18,1,1,0,0,0,0,1,8,1,1,18,775,0,775,0,0
166,773,52,2,1,0,0,2,26,0,0,0,0,0,0,1,4,2,0,18,881,0,881,0,0
167,707,70,1,0,0,0,0,15,0,1,0,1,1,0,0,4,3,1,10,813,0,813,0,0
168,318,451,17,4,0,0,1,29,0,0,1,0,1,1,1,3,0,0,6,833,0,833,0,0
169,529,183,8,0,0,0,0,8,1,0,0,0,0,1,1,4,1,1,16,755,0,755,0,0
170,518,16,0,1,1,0,0,1,0,0,0,0,0,0,1,1,2,0,9,550,0,550,0,0
171,802,96,2,1,0,0,0,18,0,1,1,1,2,2,2,10,2,0,7,948,0,948,0,0
172,758,63,1,1,0,3,1,8,0,0,0,0,0,1,1,2,0,0,3,842,0,842,0,0
173,581,35,0,0,0,0,0,5,0,1,0,0,0,0,1,1,1,0,11,636,0,636,0,0
174,730,97,1,0,1,1,0,10,2,0,0,0,0,1,1,6,1,0,4,856,0,856,0,0
175,482,318,12,2,0,0,0,27,0,1,2,0,2,0,0,5,4,2,12,867,0,867,0,0
176,353,112,6,0,0,1,0,3,0,0,0,0,0,2,1,2,2,1,5,488,0,488,0,0
177,675,158,6,1,0,0,0,10,0,1,0,0,0,0,1,11,1,0,11,875,0,875,0,0
178,690,69,4,0,0,0,0,8,0,1,0,1,1,1,0,3,2,0,15,794,0,794,0,0
179,623,53,2,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,9,696,0,696,0,0
180,677,182,4,1,0,0,1,14,0,0,1,0,1,2,0,3,1,1,9,896,0,896,0,0
181,419,69,0,0,1,0,0,8,0,0,0,0,0,0,0,2,1,0,2,502,0,502,0,0
182,492,141,2,1,0,0,0,5,1,1,0,0,0,0,1,2,5,2,3,656,0,656,0,0
183,384,89,4,1,0,0,1,14,0,0,0,0,0,0,0,1,2,2,3,501,0,501,0,0
184,342,61,0,0,0,0,1,10,0,0,0,3,3,1,1,5,2,0,5,432,0,432,0,0
185,739,77,0,0,1,0,0,14,0,0,0,0,0,0,1,2,0,0,13,847,0,847,0,0
186,448,67,3,0,1,0,0,6,0,0,0,0,0,0,0,4,1,1,2,535,0,535,0,0
187,529,170,4,0,0,0,0,15,0,0,0,0,0,0,1,3,2,1,10,736,0,736,0,0
188,584,90,4,0,0,0,1,9,0,1,1,0,1,0,1,3,8,0,8,710,0,710,0,0
189,426,73,0,0,1,0,0,10,0,0,0,1,1,1,0,1,3,0,6,522,0,522,0,0
190,277,62,0,0,0,0,0,8,0,0,0,0,0,0,2,1,3,0,5,358,0,358,0,0
191,541,88,3,1,0,0,1,22,0,1,0,0,0,0,0,2,0,0,17,676,0,676,0,0
192,488,101,0,0,1,0,0,15,0,0,0,0,0,0,1,2,0,1,6,615,0,615,0,0
193,566,65,1,4,0,0,2,25,0,0,0,0,0,0,1,1,4,2,16,688,0,688,0,0
194,423,63,1,0,0,0,0,10,0,0,0,0,0,0,0,1,3,0,12,514,0,514,0,0
195,642,206,0,0,0,0,0,24,0,0,0,0,0,0,0,1,5,3,25,906,0,906,0,0
196,422,177,5,1,1,0,0,18,1,0,2,0,2,0,1,5,8,4,12,657,0,657,0,0
197,19,478,0,0,1,0,0,42,0,0,0,0,0,0,0,0,0,0,10,550,0,550,0,0
198,28,396,1,0,1,0,0,22,0,0,0,0,0,1,1,1,1,3,5,460,0,460,0,0
199,13,413,1,0,0,0,0,23,0,0,0,0,0,1,0,0,0,1,4,456,0,456,0,0
200,31,549,2,0,0,2,1,48,0,0,0,0,0,0,0,2,0,0,4,639,0,639,0,0
201,28,590,3,0,0,0,0,32,0,0,1,0,1,0,0,2,0,0,5,661,0,661,0,0
202,22,606,0,0,0,1,2,38,0,0,0,0,0,0,1,3,4,2,8,687,0,687,0,0
203,36,521,4,0,2,0,0,42,0,1,1,0,1,0,0,2,2,5,9,625,0,625,0,0
204,18,603,1,1,1,0,2,24,0,0,0,0,0,0,0,3,0,2,8,663,0,663,0,0
205,28,657,4,0,0,2,0,23,0,0,0,0,0,1,5,3,4,18,7,752,0,752,0,0
206,80,668,2,0,0,0,0,19,0,0,0,3,3,0,1,6,0,3,1,783,0,783,0,0
207,23,492,2,0,1,0,0,18,2,0,0,3,3,0,0,3,0,1,5,550,0,550,0,0
208,22,577,1,0,1,0,0,16,0,0,0,1,1,1,1,2,1,2,3,628,0,628,0,0
209,18,353,3,0,1,0,0,23,0,0,0,0,0,0,0,1,0,1,3,403,0,403,0,0
210,26,476,1,1,0,0,0,15,0,0,0,1,1,2,0,1,0,1,5,530,0,530,0,0
211,20,564,3,0,0,0,0,34,2,1,0,0,0,0,0,1,0,10,2,637,0,637,0,0
212,43,651,1,0,1,0,0,26,1,0,1,0,1,0,5,2,0,3,5,739,0,739,0,0
213,59,592,3,1,0,0,0,64,0,1,1,3,4,1,1,5,3,4,4,742,0,742,0,0
214,59,671,2,0,0,0,2,16,2,2,2,1,3,0,1,2,3,4,1,770,0,770,0,0
215,48,624,4,0,0,0,4,82,0,0,1,0,1,4,2,4,0,3,2,779,0,779,0,0
216,14,401,2,0,0,0,0,31,1,1,0,1,1,0,0,2,0,2,7,462,0,462,0,0
217,59,635,0,1,0,1,0,32,1,1,1,0,1,0,0,5,1,0,8,746,0,746,0,0
218,48,599,3,2,0,0,0,18,1,0,0,0,0,2,1,3,0,3,2,682,0,682,0,0
219,37,476,4,0,0,1,1,22,1,0,0,0,0,1,5,7,0,9,9,573,0,573,0,0
220,38,689,0,0,0,0,0,37,0,0,1,1,2,1,0,3,5,26,2,804,0,804,0,0
221,25,556,1,0,0,0,0,18,0,0,0,0,0,0,3,3,1,6,0,613,0,613,0,0
222,32,554,3,0,1,1,0,9,0,0,1,0,1,0,2,1,0,1,2,608,0,608,0,0
223,42,694,4,0,0,0,1,30,0,0,0,0,0,2,1,4,0,1,6,788,0,788,0,0
224,23,753,6,0,2,0,0,9,0,0,1,2,3,1,4,8,11,15,6,841,0,841,0,0
225,22,651,5,0,0,0,2,37,0,0,0,1,1,0,0,1,1,1,10,732,0,732,0,0
226,12,538,0,0,0,0,2,40,0,0,0,0,0,0,2,0,0,2,0,596,0,596,0,0
227,537,57,0,0,2,0,0,2,0,0,0,0,1,1,0,17,10,0,2,629,0,629,0,0
228,339,161,6,3,3,3,3,4,5,3,4,5,4,7,10,18,14,10,7,609,0,609,0,0
229,406,54,2,1,0,0,0,5,0,0,1,0,0,0,0,2,1,0,9,481,0,481,0,0
230,507,139,5,1,0,0,0,13,0,0,1,0,0,2,2,9,4,2,7,692,0,692,0,0
231,660,55,0,0,0,0,1,2,1,0,0,0,0,0,3,12,7,1,1,743,0,743,0,0
232,339,119,5,0,2,0,0,5,0,0,1,0,1,1,0,8,2,1,1,485,0,485,0,0
233,360,208,5,1,1,0,0,6,0,1,0,1,1,2,4,12,4,2,1,609,0,609,0,0
234,35,566,1,0,2,2,0,29,0,1,0,1,3,0,2,4,1,0,7,654,0,654,0,0
235,118,410,3,0,1,0,0,17,0,0,0,0,1,0,3,6,0,2,4,565,0,565,0,0
236,2,114,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,121,0,121,0,0
237,35,703,6,2,0,0,2,24,0,2,0,2,1,4,6,7,0,4,0,798,0,798,0,0
238,327,90,2,2,1,0,0,10,0,1,0,2,1,0,1,12,1,1,3,454,0,454,0,0
239,23,438,0,0,0,0,0,50,0,0,0,0,1,1,2,1,0,4,0,520,0,520,0,0
240,15,404,1,1,0,0,1,29,0,0,0,0,0,0,1,2,0,1,4,459,0,459,0,0
241,14,551,3,1,0,0,0,85,0,0,1,0,0,1,0,1,1,4,5,667,0,667,0,0
242,30,632,9,1,0,1,0,15,0,0,0,0,0,0,6,4,3,0,6,707,0,707,0,0
243,149,366,5,0,1,1,1,17,0,0,0,0,0,1,2,1,10,4,5,563,0,563,0,0
244,25,373,1,0,0,0,1,21,0,0,0,0,1,0,0,4,1,3,4,434,0,434,0,0
245,498,53,0,1,0,1,0,0,1,1,1,2,1,1,1,11,1,2,1,576,0,576,0,0
246,349,103,2,2,1,0,0,3,1,0,1,0,2,1,4,19,11,1,8,508,0,508,0,0
247,373,25,2,0,2,1,1,0,0,1,0,1,2,3,2,15,5,2,3,438,0,438,0,0
248,175,457,7,1,1,0,0,6,0,0,0,1,1,1,3,5,7,11,3,679,0,679,0,0
249,60,448,6,0,0,0,0,18,1,0,3,1,1,2,0,6,4,3,0,553,0,553,0,0
250,204,392,2,0,0,0,0,3,0,0,2,0,0,0,0,1,3,0,1,608,0,608,0,0
251,97,305,3,0,1,0,0,9,0,0,0,0,0,0,4,7,5,6,0,437,0,437,0,0
252,285,566,5,1,2,1,3,8,0,0,0,0,0,1,1,3,1,2,0,879,0,879,0,0
253,78,672,5,3,1,0,0,11,1,1,0,0,0,0,1,5,2,2,1,783,0,783,0,0
254,712,86,0,0,0,0,0,12,0,0,0,0,0,0,1,6,11,1,9,838,0,838,0,0
255,211,113,1,0,0,0,0,10,0,0,0,0,0,0,0,3,1,2,2,343,0,343,0,0
256,330,23,1,1,0,0,1,3,0,0,1,0,1,1,2,10,2,0,3,379,0,379,0,0
257,547,52,5,0,0,0,0,14,0,0,0,0,0,0,1,4,7,1,8,639,0,639,0,0
258,360,18,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,6,390,0,390,0,0
259,607,47,1,0,0,0,0,1,0,1,1,0,0,0,3,6,1,0,5,673,0,673,0,0
260,649,49,0,1,0,0,0,6,1,0,1,0,0,1,1,27,4,0,0,740,0,740,0,0
261,630,48,1,4,1,0,0,1,0,1,2,1,1,4,3,10,5,1,2,715,0,715,0,0
262,357,234,7,0,0,0,0,4,0,1,1,0,2,0,2,1,2,3,6,620,0,620,0,0
263,389,92,3,0,1,2,1,1,0,0,1,0,2,2,2,8,4,1,4,513,0,513,0,0
264,397,187,9,1,0,0,0,4,1,2,1,0,2,1,2,11,9,4,1,632,0,632,0,0
265,161,595,14,1,0,2,0,12,0,2,1,1,1,0,3,4,1,7,13,818,0,818,0,0
266,372,300,62,1,0,1,0,5,0,0,0,0,0,0,2,13,13,6,10,785,0,785,0,0
267,26,630,1,1,0,0,0,33,0,0,0,1,0,0,0,2,2,3,5,704,0,704,0,0
268,16,428,5,0,1,0,0,33,0,0,0,0,0,0,0,1,1,1,9,495,0,495,0,0
269,45,622,4,1,0,0,0,40,0,0,0,0,0,0,0,0,0,7,7,726,0,726,0,0
270,39,590,2,1,0,0,0,13,2,1,0,0,1,0,3,1,3,3,12,671,0,671,0,0
