Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
45,151,103,2,4,3,2,2,3,2,1,3,0,5,2,283,0,8,291,0
46,440,169,17,12,7,6,7,5,4,12,7,12,5,8,711,0,14,725,0
47,136,145,4,3,0,1,6,1,1,0,6,1,4,7,315,0,13,328,0
48,199,80,2,0,0,1,3,0,2,0,4,2,2,10,305,0,14,319,0
49,234,100,6,7,1,0,3,2,1,2,1,3,2,5,367,0,17,384,0
50,243,76,4,1,2,2,7,2,0,3,2,6,3,4,355,0,16,371,0
51,233,118,4,8,3,2,4,4,2,2,1,2,6,3,392,0,30,422,0
52,247,77,0,1,0,0,0,0,0,0,0,0,1,0,326,0,0,326,0
53,389,77,3,5,1,3,0,0,0,1,3,3,4,6,495,0,10,505,0
54,227,108,3,1,0,1,1,1,0,0,1,0,5,5,353,0,19,372,0
55,262,106,8,0,0,2,5,0,1,2,2,2,2,4,396,0,9,405,0
56,196,74,1,4,0,0,3,1,1,0,1,0,2,7,290,0,5,295,0
57,229,157,3,2,8,0,2,1,0,0,3,0,6,1,412,0,5,417,0
58,153,42,1,143,2,1,6,3,0,1,5,3,5,3,368,0,5,373,0
59,310,182,4,5,3,2,1,1,2,2,1,1,8,5,527,0,13,540,0
60,118,345,10,4,7,0,5,1,0,1,3,1,4,7,506,0,13,519,0
61,62,166,5,6,0,1,0,0,0,1,2,3,6,6,258,0,9,267,0
62,77,119,2,1,0,1,3,3,2,3,0,4,5,11,231,0,6,237,0
63,170,277,9,21,0,1,3,2,3,3,2,6,7,5,509,0,8,517,0
64,295,99,7,3,3,2,7,2,2,2,1,4,8,8,443,0,15,458,0
65,93,141,5,2,2,1,7,0,0,1,2,4,3,5,266,0,6,272,0
66,324,67,2,10,1,0,3,1,2,1,2,3,4,2,422,0,5,427,0
67,76,113,3,0,0,0,0,1,0,0,0,1,0,3,197,0,4,201,0
68,420,137,2,13,2,4,1,2,1,7,4,4,5,18,620,0,15,635,0
69,235,84,4,0,0,1,12,0,1,0,0,1,7,3,348,0,6,354,0
70,285,231,3,2,1,2,9,2,1,3,6,2,14,13,574,0,33,607,0
71,102,148,5,0,0,0,0,0,2,0,0,1,7,4,269,0,2,271,0
72,227,211,2,5,1,2,2,2,1,3,8,2,5,8,479,0,13,492,0
73,124,233,4,1,2,3,13,1,0,1,4,0,9,4,399,0,11,410,0
74,94,115,2,0,0,0,5,0,0,0,2,0,4,1,223,0,6,229,0
75,106,81,0,1,0,1,6,0,0,0,0,0,1,1,197,0,4,201,0
76,150,216,10,2,0,1,0,1,1,2,1,3,8,22,417,0,14,431,0
77,260,87,6,2,2,1,8,1,0,3,4,1,7,8,390,0,13,403,0
78,321,140,11,6,0,1,13,1,1,1,1,1,7,12,516,0,10,526,0
79,145,21,0,0,1,2,4,0,0,0,2,1,3,2,181,0,6,187,0
80,246,132,8,3,4,1,3,2,1,1,3,2,6,7,419,0,15,434,0
81,316,167,8,4,2,1,2,3,1,4,3,4,7,13,535,0,19,554,0
82,360,190,7,8,1,3,5,4,0,1,6,4,12,10,611,0,20,631,0
83,84,125,9,0,1,1,0,1,0,0,1,1,2,2,227,0,3,230,0
84,158,96,3,0,0,0,11,0,0,2,0,2,6,1,279,0,10,289,0
85,225,19,0,1,2,1,1,2,0,0,1,2,1,3,258,0,4,262,0
86,84,137,1,0,0,0,4,1,1,0,1,0,0,7,236,0,2,238,0
87,200,113,0,1,0,1,11,0,0,0,1,2,0,2,331,0,5,336,0
88,88,143,1,1,0,0,2,0,0,1,0,0,3,6,245,0,7,252,0
89,286,98,2,0,2,0,5,1,0,1,1,3,4,4,407,0,13,420,0
90,213,129,0,0,0,1,1,0,0,0,1,4,3,3,355,0,10,365,0
91,247,156,1,2,0,4,3,0,4,2,5,4,5,10,443,0,9,452,0
92,356,55,1,26,0,2,2,1,2,2,3,2,5,6,463,0,17,480,0
93,212,165,5,1,1,2,1,3,1,2,1,1,4,6,405,0,5,410,0
94,158,157,7,3,0,2,7,1,2,0,1,0,2,1,341,0,11,352,0
95,212,38,5,8,1,1,0,3,1,2,1,2,1,7,282,0,8,290,0
96,250,79,24,7,0,0,4,3,0,2,3,1,10,9,392,0,23,415,0
97,373,146,6,3,0,3,14,2,2,2,1,5,8,7,572,0,14,586,0
98,306,112,10,6,4,2,16,2,0,1,3,4,8,3,477,0,6,483,0
99,193,78,1,114,2,0,4,2,2,7,5,6,9,9,432,0,13,445,0
100,178,83,2,6,0,0,6,2,1,2,6,2,6,4,298,0,12,310,0
101,96,79,4,38,3,0,4,1,2,1,13,4,5,10,260,0,9,269,0
102,192,154,0,0,1,1,1,1,4,2,1,2,3,2,364,0,12,376,0
103,344,177,9,7,2,1,9,2,1,2,2,3,5,6,570,0,10,580,0
104,102,43,1,3,1,1,3,2,1,1,2,0,2,1,163,0,2,165,0
105,76,114,5,1,1,0,3,0,1,0,2,0,7,2,212,0,8,220,0
106,74,41,1,4,2,3,10,0,2,1,15,2,4,3,162,0,4,166,0
107,251,57,1,1,0,0,5,1,0,0,0,2,2,3,323,0,5,328,0
108,186,127,6,0,0,2,2,1,0,2,8,2,3,8,347,0,5,352,0
109,135,128,4,0,0,0,2,0,1,0,0,0,2,1,273,0,3,276,0
110,299,138,0,3,2,5,0,0,2,2,0,2,1,1,455,0,5,460,0
111,282,63,5,6,1,1,3,2,0,1,3,3,5,11,386,0,21,407,0
112,284,171,9,7,1,0,6,1,0,1,1,2,6,12,501,0,15,516,0
113,109,66,1,1,0,2,3,0,2,0,0,2,5,1,192,0,12,204,0
114,192,54,3,4,0,0,2,0,1,0,2,0,1,6,265,0,6,271,0
115,205,167,5,0,0,3,9,0,1,1,0,6,7,10,414,0,9,423,0
116,293,148,7,7,3,0,0,1,0,1,6,2,5,13,486,0,18,504,0
117,296,111,2,5,2,1,11,2,1,2,2,3,8,5,451,0,18,469,0
118,330,52,3,3,2,1,8,4,3,3,4,4,5,2,424,0,10,434,0
119,254,100,4,13,2,2,1,3,2,2,7,4,6,2,402,0,7,409,0
120,297,136,5,23,3,1,1,2,1,1,39,1,3,3,516,0,3,519,0
121,427,78,4,24,1,1,3,2,4,3,14,2,0,3,566,0,5,571,0
122,190,118,5,1,1,3,3,1,0,1,0,2,5,9,339,0,3,342,0
123,233,55,5,6,12,0,3,1,1,1,2,1,5,5,330,0,9,339,0
124,254,54,1,1,2,0,2,0,0,2,6,1,2,2,327,0,8,335,0
125,508,43,5,17,2,5,3,4,0,5,3,7,15,9,626,0,16,642,0
126,445,34,4,9,3,0,3,2,3,1,2,11,14,15,546,0,4,550,0
127,379,17,4,23,1,2,2,3,3,1,4,7,5,6,457,0,15,472,0
128,306,54,2,31,1,0,3,1,1,0,4,3,2,3,411,0,8,419,0
129,251,111,4,9,0,0,3,3,0,2,3,3,4,5,398,0,6,404,0
130,445,20,5,13,1,1,4,4,3,2,4,3,6,2,513,0,7,520,0
131,302,39,4,15,1,3,4,0,2,2,3,0,2,3,380,0,6,386,0
132,581,44,5,35,4,4,3,3,4,3,10,6,8,5,715,0,12,727,0
133,330,37,4,1,0,0,0,0,1,1,0,0,2,3,379,0,4,383,0
134,196,19,3,0,0,0,2,1,1,1,3,2,4,5,237,0,4,241,0
135,169,9,1,1,0,2,0,0,0,0,0,0,1,0,183,0,3,186,0
136,401,17,1,8,0,0,2,3,0,1,0,0,4,6,443,0,11,454,0
137,317,7,1,33,0,0,0,2,0,0,2,4,3,3,372,0,12,384,0
138,158,15,3,5,1,0,0,1,0,0,1,0,0,0,184,0,0,184,0
139,306,7,4,16,2,0,4,2,2,2,1,4,1,2,353,0,5,358,0
140,284,10,3,15,1,0,2,1,2,1,2,2,3,6,332,0,4,336,0
141,178,224,12,1,0,2,3,1,0,1,1,0,4,9,436,0,17,453,0
142,307,81,2,10,1,0,5,1,0,5,3,6,6,6,433,0,21,454,0
143,275,65,2,8,1,0,7,0,0,0,0,0,3,1,362,0,6,368,0
144,171,315,5,2,5,1,7,4,1,1,1,2,14,8,537,0,12,549,0
145,328,244,7,3,1,2,4,6,2,0,6,2,5,12,622,0,13,635,0
146,221,71,7,1,0,0,1,3,2,1,3,2,6,6,324,0,13,337,0
147,229,113,3,8,1,0,1,2,0,1,3,1,9,7,378,0,23,401,0
148,153,226,14,1,1,0,14,3,1,0,3,2,11,10,439,0,26,465,0
149,279,245,23,9,3,2,3,2,0,6,4,5,12,14,607,0,19,626,0
150,409,111,2,2,1,4,2,0,0,3,1,1,6,7,549,0,14,563,0
151,350,223,10,36,0,0,3,0,0,0,3,2,2,2,631,0,7,638,0
152,132,41,0,1,0,0,2,0,0,1,0,0,2,1,180,0,3,183,0
153,310,42,0,0,0,0,17,0,0,0,0,0,1,0,370,0,5,375,0
154,327,51,1,12,1,0,4,1,0,0,1,0,0,3,401,0,10,411,0
155,425,70,0,10,0,1,10,0,0,0,0,4,4,1,525,0,14,539,0
156,544,113,1,2,1,4,9,0,0,1,3,1,3,1,683,0,19,702,0
157,159,498,5,1,2,1,2,0,0,0,4,1,2,2,677,0,16,693,0
158,260,128,1,1,1,0,4,0,0,0,0,1,0,1,397,0,11,408,0
159,373,125,2,2,0,1,3,2,1,3,17,1,5,4,539,0,14,553,0
160,144,217,10,1,0,2,3,0,0,2,2,1,4,3,389,0,5,394,0
161,266,119,1,6,1,1,6,0,1,0,4,2,5,2,414,0,2,416,0
162,273,41,3,0,0,0,9,0,0,0,1,1,0,0,328,0,9,337,0
163,294,191,6,18,2,4,15,3,0,1,1,4,10,5,554,0,16,570,0
164,362,356,9,4,2,2,6,2,0,0,5,4,14,5,771,0,28,799,0
165,466,161,3,3,0,1,15,0,0,0,0,0,0,2,651,0,11,662,0
166,309,62,0,0,0,0,1,0,0,0,0,0,1,0,373,0,12,385,0
167,363,67,0,1,0,0,8,0,0,1,0,0,2,0,442,0,9,451,0
168,436,167,2,4,2,1,14,3,0,2,0,0,2,4,637,0,10,647,0
169,259,231,5,2,0,0,14,0,0,0,0,2,4,3,520,0,11,531,0
170,222,463,4,0,1,0,5,1,2,0,17,6,18,21,760,0,42,802,0
171,175,312,5,1,0,1,3,1,0,1,0,1,2,5,507,0,5,512,0
172,480,158,1,11,0,0,4,1,0,0,1,0,3,0,659,0,13,672,0
173,399,210,3,11,0,1,8,0,0,0,2,1,3,1,639,0,9,648,0
174,219,460,13,3,2,1,20,0,0,1,2,4,10,8,743,0,10,753,0
175,242,299,10,3,3,2,2,2,0,1,1,2,6,4,577,0,12,589,0
176,191,219,5,0,1,3,2,1,0,0,1,1,1,12,437,0,9,446,0
177,342,150,0,3,0,0,8,4,0,1,0,0,3,4,515,0,14,529,0
178,307,128,1,5,0,1,14,0,0,0,1,0,1,2,460,0,6,466,0
179,237,199,1,2,1,3,1,2,0,1,0,0,1,2,450,0,4,454,0
180,256,92,5,0,0,3,2,2,1,0,2,0,1,2,366,0,8,374,0
181,98,6,1,1,1,0,0,1,0,0,1,0,0,0,109,0,2,111,0
182,367,36,2,10,1,0,3,3,2,5,10,11,14,13,477,0,50,527,0
183,379,49,8,4,5,3,3,7,4,8,4,9,24,5,512,0,20,532,0
184,293,38,4,16,2,3,4,5,5,7,4,8,8,8,405,0,16,421,0
185,266,223,7,48,17,1,3,5,2,5,5,7,14,12,615,0,30,645,0
186,407,58,3,38,1,0,2,0,1,1,2,0,5,4,522,0,12,534,0
187,102,76,1,57,4,1,6,1,0,0,6,4,5,2,265,0,7,272,0
188,111,97,1,9,0,0,4,1,0,1,0,1,3,1,229,0,5,234,0
189,139,82,0,2,0,1,4,0,1,1,5,0,4,2,241,0,9,250,0
190,141,125,7,12,1,2,3,2,0,0,4,2,4,0,303,0,6,309,0
191,67,141,3,0,0,0,0,1,1,0,0,0,2,1,216,0,3,219,0
192,328,116,4,2,0,1,0,0,2,1,1,0,5,5,465,0,10,475,0
193,277,152,6,18,1,0,7,1,1,1,2,0,5,4,475,0,6,481,0
194,107,317,6,60,2,4,4,2,3,5,4,4,8,14,540,0,14,554,0
195,184,328,17,23,0,3,2,7,0,0,2,2,5,8,581,0,12,593,0
196,387,76,4,64,1,2,9,6,1,0,4,5,11,11,581,0,24,605,0
197,247,168,8,29,2,4,8,3,0,1,5,7,14,14,510,0,34,544,0
198,217,272,6,40,0,2,4,1,2,0,6,4,2,5,561,0,9,570,0
199,256,173,3,27,1,0,11,0,1,1,3,1,1,3,481,0,7,488,0
200,260,303,2,45,2,0,4,3,2,2,9,1,5,8,646,0,15,661,0
201,194,151,6,5,2,4,9,2,1,1,2,1,10,8,396,0,11,407,0
202,174,139,3,132,5,4,13,2,4,1,5,2,6,3,493,0,7,500,0
203,248,208,12,120,3,2,39,1,3,0,4,3,15,10,668,0,9,677,0
204,107,230,17,6,1,1,0,3,0,1,3,5,6,3,383,0,6,389,0
205,38,409,2,4,0,0,2,0,0,0,0,0,1,3,459,0,2,461,0
206,388,115,10,10,1,2,4,4,4,2,20,12,11,9,592,0,28,620,0
207,355,173,16,105,5,4,9,6,8,10,16,10,7,12,736,0,14,750,0
208,277,274,7,12,4,5,7,4,2,6,4,6,16,25,649,0,36,685,0
209,59,277,3,6,1,0,1,1,1,0,0,1,4,1,355,0,4,359,0
210,165,274,6,11,4,1,4,6,3,5,9,9,13,14,524,0,21,545,0
211,136,338,5,9,2,1,0,4,3,9,5,4,9,6,531,0,9,540,0
212,145,120,3,5,3,0,1,2,0,0,2,7,4,6,298,0,12,310,0
213,169,136,9,18,2,0,0,0,1,1,1,1,10,1,349,0,8,357,0
214,56,67,1,1,0,0,1,0,1,1,1,0,1,2,132,0,1,133,0
215,294,162,19,25,2,7,5,4,7,11,9,5,15,12,577,0,23,600,0
216,257,57,4,8,1,2,4,4,0,4,4,3,7,9,364,0,20,384,0
217,170,88,6,7,0,1,0,3,1,3,0,4,7,3,293,0,9,302,0
218,219,116,11,4,1,2,1,3,1,2,7,10,10,11,398,0,23,421,0
219,250,52,3,11,0,0,2,0,0,0,1,2,2,2,325,0,7,332,0
220,264,44,4,1,0,1,0,1,3,1,1,7,2,3,332,0,9,341,0
221,330,119,3,16,4,3,0,3,4,5,14,16,15,38,570,0,56,626,0
222,271,145,11,25,1,4,2,9,1,5,13,8,16,17,528,0,32,560,0
223,403,92,18,25,4,2,5,3,6,5,4,9,16,20,612,0,35,647,0
224,196,66,4,152,1,3,9,2,0,3,11,5,6,6,464,0,11,475,0
225,244,23,1,127,3,2,10,0,2,5,10,2,8,3,440,0,10,450,0
226,447,123,6,2,2,5,3,3,3,1,3,5,4,16,623,0,19,642,0
227,521,72,2,53,4,4,5,4,3,2,11,5,15,7,708,0,19,727,0
228,157,83,5,37,1,2,3,3,1,2,12,5,6,9,326,0,15,341,0
229,416,63,6,21,2,2,2,3,1,3,5,6,11,7,548,0,23,571,0
230,230,109,4,14,1,0,2,3,0,1,3,1,2,3,373,0,3,376,0
231,222,146,5,14,3,2,1,1,2,1,4,4,14,5,424,0,17,441,0
232,350,89,6,58,3,0,4,1,1,2,2,3,9,9,537,0,14,551,0
233,392,68,6,52,2,0,8,4,4,2,8,0,9,11,566,0,19,585,0
234,345,24,2,20,1,0,2,0,0,2,7,2,1,1,407,0,5,412,0
235,677,50,5,53,1,3,2,4,5,6,3,4,15,5,833,0,18,851,0
236,213,16,2,13,3,1,2,0,1,1,9,0,3,0,264,0,2,266,0
237,327,43,3,33,0,0,7,0,1,1,25,4,5,5,454,0,12,466,0
238,491,56,4,27,2,2,3,3,5,4,56,6,9,14,682,0,28,710,0
239,470,32,7,16,1,0,1,2,0,0,7,4,5,13,558,0,32,590,0
240,402,36,1,171,1,2,9,1,2,6,18,1,9,10,669,0,22,691,0
241,181,358,2,4,1,1,2,1,2,0,0,2,6,5,565,0,10,575,0
242,378,163,3,66,5,2,9,3,4,1,4,6,7,7,658,0,18,676,0
243,378,142,0,9,1,1,14,0,1,1,0,2,4,3,556,0,11,567,0
244,543,157,9,46,4,1,12,2,2,8,8,8,11,16,827,0,23,850,0
245,505,246,5,20,2,0,15,0,0,1,9,2,7,8,820,0,18,838,0
246,550,94,7,36,3,2,4,3,2,2,2,4,5,5,719,0,16,735,0
247,510,84,6,40,1,0,3,1,5,2,1,2,3,5,663,0,7,670,0
248,424,81,7,47,2,0,9,0,1,1,7,5,3,3,590,0,6,596,0
249,267,256,1,18,0,1,7,3,0,0,4,1,4,2,564,0,10,574,0
250,330,70,6,64,0,1,1,0,1,3,3,3,2,4,488,0,10,498,0
251,268,46,4,1,1,0,2,4,0,2,1,5,10,18,362,0,31,393,0
252,309,38,6,0,3,0,5,1,4,5,2,8,12,16,409,0,42,451,0
253,414,205,6,1,2,0,5,1,2,1,5,9,8,14,673,0,21,694,0
254,322,85,5,5,3,3,3,5,4,3,5,6,16,14,479,0,33,512,0
255,245,22,4,4,1,0,3,3,2,5,3,9,7,6,314,0,25,339,0
256,303,50,3,3,2,3,3,2,1,0,4,3,8,4,389,0,33,422,0
257,249,33,5,4,3,1,2,1,1,3,3,5,8,12,330,0,51,381,0
258,264,40,4,1,1,0,5,3,1,0,2,5,11,8,345,0,40,385,0
259,218,35,1,12,1,3,2,1,3,3,4,6,8,8,305,0,38,343,0
260,74,608,5,1,1,1,4,5,3,2,2,0,10,8,724,0,13,737,0
261,91,604,8,4,1,1,8,0,3,2,4,0,8,6,740,0,10,750,0
