polling station,,,,,,,,,,,,,,,
,Kishanbhai Vestabhai Patel,Thakriya Ratilal Vajirbhai,Dr.K.C.Patel,Gaurangbhai Rameshbhai Patel,Talaviya Babubhai Chhaganbhai,Patel Govindbhai Ranchhodbhai,Patel Shaileshbhai Gandabhai,Dr.Pankajku mar Parabhubhai Patel,Vadiya Laxmanbhai Chhaganbhai,Patel Budhabhai Ranchhodbhai,None of The Above (NOTA),valid votes,rejected votes,total,tendered votes
253,87,10,157,9,3,3,0,2,7,10,6,294,0,294,0
254,125,6,207,10,4,5,3,4,6,11,15,396,0,396,0
255,177,3,86,5,2,0,0,1,1,6,10,291,0,291,0
256,242,14,332,12,2,4,1,9,14,19,18,667,0,667,0
257,196,9,164,16,2,0,3,5,10,8,13,426,0,426,0
258,108,21,368,16,6,2,3,9,8,18,23,582,0,582,0
259,301,27,417,35,7,8,10,9,15,22,43,894,0,894,0
260,384,16,219,21,4,3,1,7,9,18,25,707,0,707,0
261,191,12,161,5,3,2,1,1,6,4,10,396,0,396,0
262,310,7,262,7,2,1 Page 6,1,8,8,23,37,666,0,666,0
263,239,15,136,9,5,1,1,3,5,8,12,434,0,434,0
264,247,24,480,23,7,3,6,5,5,15,16,831,0,831,0
265,616,43,314,17,10,3,1,8,10,18,34,1074,0,1074,0
266,385,37,511,36,10,8,5,7,21,26,51,1097,0,1097,0
267,255,19,420,17,4,1,4,6,3,22,23,774,0,774,0
268,426,19,220,16,3,0,0,0,4,10,9,707,0,707,0
269,197,31,435,38,7,7,3,11,16,30,36,811,0,811,0
270,409,10,360,20,6,2,3,2,6,15,20,853,0,853,0
271,398,40,372,36,4,4,7,3,6,14,22,906,0,906,0
