polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid Votes,No. of  rejected  votes,NOTA,Total,No.of      tendered  votes
,Katara  Singjibhai  Jaljibhai,Jasvantsinh  Sumanbhai  Bhabhor,Taviyad  Dr.Prabhaben  Kishorsinh,Bamaniya  Jyotishkumar  Bapubhai,Bhabhor  Mavjibhai  Titubhai,K. C.  Muniya  Advocate,Meda  Jagdishbha i Manilal,Ramsingbhai  Nanjibhai  Kalara,Kumari  Induben  Nathubhai  Sangada,Bhura  Navalbhai  Manabhai,,,,,
175,7,369,156,7,0,0,0,1,4,2,546,Nil,9,555,0
176,20,507,160,10,3,3,2,2,7,6,720,Nil,37,757,0
177,3,476,111,1,2,9,0,0,1,0,603,Nil,2,605,0
178,17,313,248,4,3,0,2,3,4,19,613,Nil,21,634,0
179,21,200,185,8,1,5,1,2,1,4,428,Nil,10,438,0
180,6,110,188,10,2,2,3,3,1,3,328,Nil,7,335,0
181,18,273,277,11,2,2,4,1,7,7,602,Nil,31,633,0
182,20,148,392,21,5,11,2,2,8,4,613,Nil,5,618,0
,2328,48506,34205,1387,434,777,436,406,761,1181,90421,0,3268,93689,0
,2328,48506,34205,1387,434,777,436,406,761,1181,90421,0,3268,93689,0
183,6,303,212,7,1,1,1,3,0,4,538,Nil,11,549,0
184,20,291,117,3,1,4,4,1,1,7,449,Nil,15,464,0
185,16,209,194,8,1,4,1,1,3,8,445,Nil,17,462,0
186,8,492,56,2,2,1,1,2,2,2,568,Nil,9,577,0
187,5,510,99,4,0,3,0,1,1,1,624,Nil,7,631,0
188,10,652,31,2,0,1,0,0,0,2,698,Nil,2,700,0
189,6,568,64,0,0,1,0,2,2,11,654,Nil,6,660,0
190,11,307,188,3,1,2,2,3,4,10,531,Nil,16,547,0
191,12,276,31,3,0,0,1,3,1,6,333,Nil,26,359,0
192,1,436,30,1,0,0,0,2,0,2,472,Nil,1,473,0
193,10,86,221,8,2,1,3,0,5,9,345,Nil,21,366,0
194,19,268,135,9,4,4,6,2,4,18,469,Nil,38,507,0
195,15,24,239,10,3,4,2,2,4,3,306,Nil,12,318,0
196,16,126,344,12,3,5,2,5,7,9,529,Nil,32,561,0
,2483,53054,36166,1459,452,808,459,433,795,1273,97382,0,3481,100863,0
,2483,53054,36166,1459,452,808,459,433,795,1273,97382,0,3481,100863,0
197,3,590,2,0,0,0,0,0,0,0,595,Nil,0,595,0
198,1,807,2,0,0,0,0,0,0,0,810,Nil,0,810,0
199,22,635,245,12,1,5,2,4,6,5,937,Nil,14,951,0
200,8,666,124,2,0,0,1,0,1,9,811,Nil,4,815,0
201,3,679,100,1,0,0,0,0,2,0,785,Nil,2,787,0
202,19,231,303,11,1,4,3,2,6,9,589,Nil,21,610,0
203,26,333,110,5,2,0,1,1,2,4,484,Nil,7,491,0
204,14,226,72,3,0,0,0,0,2,9,326,Nil,9,335,0
205,17,214,362,12,2,6,5,3,3,5,629,Nil,13,642,0
206,27,308,161,9,2,1,3,0,9,11,531,Nil,19,550,0
207,11,186,71,1,1,1,1,0,0,1,273,Nil,2,275,0
208,8,153,136,8,1,3,1,1,3,3,317,Nil,15,332,0
209,12,309,250,6,0,0,0,3,5,5,590,Nil,11,601,0
210,14,317,342,16,1,5,2,3,6,6,712,Nil,13,725,0
,2668,58708,38446,1545,463,833,478,450,840,1340,105771,0,3611,109382,0
,2668,58708,38446,1545,463,833,478,450,840,1340,105771,0,3611,109382,0
211,23,167,297,13,3,5,8,5,8,8,537,Nil,51,588,0
212,21,323,187,13,0,3,0,2,2,17,568,Nil,18,586,0
213,17,167,346,21,1,7,10,5,5,3,582,Nil,21,603,0
214,6,168,46,0,1,1,1,0,6,7,236,Nil,5,241,0
215,10,399,128,8,1,3,0,3,5,5,562,Nil,3,565,0
216,12,234,129,3,1,0,0,1,4,1,385,Nil,4,389,0
217,18,232,170,12,2,9,1,1,4,2,451,Nil,49,500,0
218,1,422,8,0,0,0,0,0,0,1,432,Nil,0,432,0
219,21,313,281,15,8,2,2,2,4,9,657,Nil,21,678,0
220,12,202,210,8,2,0,0,1,1,3,439,Nil,11,450,0
221,8,375,97,2,0,1,2,1,0,4,490,Nil,3,493,0
222,23,298,235,6,0,0,3,6,7,11,589,Nil,25,614,0
223,16,269,199,6,1,4,3,3,5,8,514,Nil,10,524,0
