polling station,No. of Valid Votes cast in favor of,,,,,,,,,,,,,,,Total of valied votes  tendered,No. of rejected votes (Test  votes),Votes for NOTA option,Total votes
,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),Dinsha Patel,Pandav Bhailalbhai Kalubhai,Abdul Razakkhan Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj Govindbhai,Khristi Adward Khushalbhai,Chauhan Devusing Motishing,Pathan Amanullakha Sitabkha,Parikh Viral Hasmukhbhai,Malek Yakubmiya Nabhimiya,Malek Sadik Hushen Mahammd Hushen,Malek Sabirhusen Ismaelbhai,Ratansinh Udesinh Chauhan,Roshan Priyavadan  Shah,,,,
97,215,132,7,0,0,0,0,2,0,0,0,0,1,3,6,366,0,5,371
98,96,107,0,1,0,0,0,1,0,0,0,0,4,0,0,209,0,8,217
99,117,33,1,1,2,0,0,0,0,0,0,0,0,0,0,154,0,1,155
100,85,113,1,0,0,0,0,2,0,0,1,1,6,1,6,216,0,4,220
101,325,131,3,0,0,0,0,0,1,0,0,0,3,3,3,469,0,3,472
102,155,198,1,1,0,0,0,2,0,0,0,0,1,1,3,362,0,13,375
103,167,280,4,0,2,0,0,0,1,1,1,1,3,1,7,468,0,8,476
104,159,117,2,0,0,0,0,2,0,0,0,1,2,2,0,285,0,5,290
105,255,215,4,0,1,0,1,0,1,2,0,1,4,4,3,491,0,4,495
106,251,145,2,0,0,0,1,1,0,0,0,1,2,3,6,412,0,7,419
107,283,110,3,0,0,0,1,1,0,1,2,1,3,3,8,416,0,10,426
108,301,73,2,1,1,0,0,1,1,0,1,1,3,3,3,391,0,9,400
109,373,328,3,1,3,3,0,1,2,2,1,2,3,2,3,727,0,12,739
110,258,54,2,2,1,0,1,1,2,0,1,4,1,2,1,330,0,17,347
111,548,138,3,0,0,1,0,2,1,0,0,2,0,2,4,701,0,12,713
112,196,376,5,2,0,0,0,1,0,0,0,1,4,2,13,600,0,9,609
113,299,391,4,2,0,0,1,1,0,0,1,1,4,4,8,716,0,15,731
114,261,195,2,0,0,0,0,0,0,0,0,1,5,2,7,473,0,17,490
115,106,102,0,0,0,0,0,0,1,0,0,1,3,1,4,218,0,3,221
116,14,246,1,1,0,0,0,2,1,0,0,1,1,2,6,275,0,2,277
117,584,58,0,0,0,1,0,1,0,0,0,0,0,0,0,644,0,1,645
118,211,342,2,0,2,1,1,0,0,0,1,0,0,1,2,563,0,5,568
119,51,274,3,0,0,0,0,1,0,0,0,1,1,1,2,334,0,4,338
120,71,107,0,0,0,0,0,1,0,0,0,0,0,1,4,184,0,1,185
121,177,69,2,1,2,0,0,1,0,0,0,0,2,0,2,256,0,6,262
122,180,75,1,0,0,1,1,3,0,0,0,0,0,0,0,261,0,3,264
123,106,126,4,1,1,0,0,1,0,0,0,0,0,2,1,242,0,6,248
124,265,344,3,0,0,0,1,2,0,3,1,2,6,6,7,640,0,21,661
125,168,341,2,0,2,0,1,3,1,1,3,2,2,5,7,538,0,2,540
126,221,60,2,2,0,0,0,2,0,0,0,0,0,0,1,288,0,3,291
127,124,75,2,0,0,1,0,0,0,0,0,1,0,1,0,204,0,2,206
128,216,236,2,0,3,0,1,1,0,0,0,0,2,3,0,464,0,5,469
129,250,116,2,0,1,0,0,2,0,1,0,0,3,2,0,377,0,4,381
130,388,173,2,0,3,0,0,2,1,0,0,0,0,1,7,577,0,11,588
131,285,173,3,0,0,0,0,2,0,0,0,0,0,0,3,466,0,3,469
132,228,178,2,0,1,0,1,0,0,0,0,0,1,1,5,417,0,8,425
