polling station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes (Test Vot,NOTA,Total,No. of tendered votes
,L K Advani,Kiritbhai Ishvarbhai  Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar  Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh  Javansinh,Dipikaben Sutariya,Desai Khodabhai  Laljibhai,Pagi Ganpatbhai  Mavjibhai,Birjusinh Motisinh  Kshatriya,Brahmbhatt  Sanjaybhai ,Amarkumar Raj Prajapati,Rahul Chimanbhai  Mehta,Vaghela Kishorsinh  Mahobatsinh,M. K. Shah,,,,,
90,333,320,8,2,1,0,0,5,2,1,2,1,1,3,8,19,9,10,725,,6,731,
91,274,244,11,4,3,0,0,5,1,4,1,0,0,3,1,7,5,1,564,,2,566,
92,153,607,7,1,0,0,0,3,0,0,0,0,0,0,2,2,2,2,779,,1,780,
93,308,410,16,3,0,0,0,14,0,0,2,0,1,1,0,7,2,4,768,,8,776,
94,584,143,1,3,0,0,0,8,0,0,0,1,1,0,2,4,1,1,749,,7,756,
95,645,93,2,0,1,0,1,6,0,0,0,0,0,0,1,3,3,1,756,,8,764,
96,681,118,1,0,0,0,0,7,0,0,0,0,0,0,0,2,3,1,813,,3,816,
97,477,95,0,0,0,0,0,5,0,0,1,0,0,1,0,7,0,1,587,,11,598,
98,246,125,8,1,0,0,1,3,0,0,0,0,1,1,2,6,1,1,396,,6,402,
99,478,75,3,0,0,1,0,2,0,0,0,0,0,0,1,3,4,0,567,,9,576,
100,295,215,1,0,0,0,0,11,0,0,0,0,1,0,2,7,3,3,538,,9,547,
101,549,66,2,0,0,0,0,7,0,0,0,1,0,1,0,1,1,0,628,,8,636,
102,712,65,0,1,1,0,1,10,0,0,1,0,0,1,0,0,2,1,795,,2,797,
103,461,30,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,495,,6,501,
104,420,18,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,444,,2,446,
105,560,35,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,0,608,,6,614,
106,667,91,1,0,1,0,0,3,0,0,0,0,2,0,0,3,1,0,769,,13,782,
