Polling Station,,,,,,,,,,,,,,,valid,Total of Reject ed Votes (Test Vote),Votes for NOTA Option,No of Tender ed Votes,total
,Jadeja Kandhalbh ai Saramanb hai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhada s,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbh ai,,,,,
222,118,135,1,1,3,1,1,0,0,0,1,0,1,6,268,0,12,0,280
223,58,99,2,3,1,0,1,0,0,0,1,0,1,0,166,0,4,0,170
224,95,165,2,3,2,1,1,1,5,0,0,1,1,2,279,0,4,0,283
225,192,347,6,4,3,3,0,3,0,1,3,3,1,5,571,0,12,0,583
226,53,515,3,1,0,0,0,1,2,0,5,1,1,3,585,0,2,0,587
227,56,272,8,2,6,0,2,0,2,0,1,1,3,3,356,0,4,0,360
228,98,272,15,4,5,0,3,1,0,0,2,1,3,1,405,0,9,0,414
229,155,354,8,1,9,1,1,6,2,2,5,1,1,7,553,0,15,0,568
230,91,210,2,0,2,0,0,0,0,0,0,1,0,0,306,0,7,0,313
231,254,144,10,1,8,1,1,1,2,0,0,6,4,2,434,0,11,0,445
232,203,264,4,0,3,2,0,1,1,0,0,2,2,1,483,0,9,0,492
233,144,235,1,4,1,0,5,0,0,0,1,3,0,1,395,0,6,0,401
234,148,248,1,4,3,3,0,1,0,0,0,2,1,3,414,0,5,0,419
235,61,365,0,2,2,1,2,0,1,0,1,2,0,0,437,0,9,0,446
236,66,495,3,2,0,1,1,1,2,0,0,1,2,2,576,0,12,0,588
237,48,509,4,0,4,2,0,2,0,0,0,0,0,0,569,0,7,0,576
238,288,67,6,1,8,0,0,1,0,0,3,2,6,2,384,0,16,0,400
