Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes,of 11
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,,
70,370,74,1,1,0,0,0,8,0,0,1,0,1,0,2,2,1,1,1,463,0,463,0,0,
71,485,125,2,1,0,1,0,2,1,1,3,0,3,4,5,16,9,3,2,660,0,660,0,0,
72,624,98,2,1,1,0,0,4,0,0,2,2,4,3,0,12,7,1,3,760,0,760,0,0,
73,432,66,1,0,0,0,0,2,1,0,1,0,1,1,2,3,18,4,5,536,0,536,0,0,
74,551,125,7,2,0,0,1,4,0,0,0,1,1,1,2,16,9,0,6,727,0,727,0,0,
75,137,107,11,0,0,0,0,0,0,0,0,0,0,1,2,9,1,2,0,270,0,270,0,0,
76,597,142,2,5,0,1,2,3,1,1,1,1,2,0,9,28,11,2,4,812,0,812,0,0,
77,187,188,1,0,0,2,0,2,0,1,1,0,1,1,6,18,10,6,4,429,0,429,0,0,
78,336,75,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,419,0,419,0,0,
79,389,36,1,2,0,0,0,0,0,0,0,0,0,0,2,4,4,0,1,439,0,439,0,0,
80,410,357,6,1,1,0,0,0,0,0,1,2,3,2,2,15,11,5,3,816,0,816,0,0,
81,85,277,5,4,0,0,2,11,0,0,0,0,0,0,0,5,3,3,1,396,0,396,0,0,
82,574,191,1,1,0,0,0,22,1,1,0,0,0,2,3,21,4,3,7,833,0,833,0,0,
83,330,231,3,0,1,0,1,4,0,0,1,0,1,0,1,12,11,4,2,601,0,601,0,0,
84,499,155,1,0,0,0,0,2,0,0,0,0,0,2,2,17,25,7,7,717,0,717,0,0,
85,324,26,2,1,1,1,0,1,0,0,1,1,2,1,2,9,3,2,3,379,0,379,0,0,
86,368,46,2,1,0,0,0,6,0,2,0,1,1,0,1,12,4,4,7,454,0,454,0,0,
87,243,301,9,0,0,1,0,2,0,0,1,0,1,0,5,11,18,12,7,611,0,611,0,0,
88,110,379,3,1,1,0,0,3,0,0,0,0,0,2,1,5,3,5,4,517,0,517,0,0,
89,448,90,5,0,2,1,0,2,2,0,0,3,3,0,5,27,19,5,1,611,0,611,0,0,
90,76,629,14,2,0,1,0,3,0,1,0,0,0,2,14,21,8,22,23,816,0,816,0,0,
91,501,207,2,3,3,2,0,0,1,2,3,2,5,5,7,17,18,9,8,795,0,795,0,0,
92,102,430,2,0,0,0,0,1,0,1,1,0,1,1,4,6,2,7,0,559,0,559,0,0,
93,172,331,34,0,2,0,0,0,1,0,1,1,2,3,4,12,3,4,3,571,0,571,0,0,
94,247,130,5,1,1,1,0,0,1,2,0,0,0,3,2,6,8,2,2,412,0,412,0,0,
95,191,124,2,1,0,1,0,1,0,0,1,1,2,1,0,8,0,2,0,333,0,333,0,0,
96,327,156,27,2,0,0,2,3,0,1,0,0,0,1,3,19,13,4,10,570,0,570,0,0,
97,359,223,7,0,1,1,1,1,0,0,1,1,2,2,5,10,8,5,8,634,0,634,0,0,
98,162,140,4,0,1,0,1,0,3,0,2,1,3,4,4,7,5,1,1,338,0,338,0,0,
99,371,145,6,1,0,0,0,0,0,1,0,2,2,0,1,5,0,0,0,533,0,533,0,0,
100,491,211,4,2,2,0,1,5,0,4,2,2,4,1,9,23,7,3,1,774,0,774,0,0,
101,129,83,0,1,0,0,0,1,0,0,1,1,2,2,5,11,3,5,3,246,0,246,0,0,
102,100,259,0,0,0,0,1,2,0,2,2,0,2,1,1,7,5,9,3,393,0,393,0,0,
103,161,253,5,1,1,2,0,2,1,0,0,0,0,1,5,13,3,6,7,461,0,461,0,0,
104,289,335,11,0,1,1,0,0,0,3,1,0,1,4,10,11,4,4,3,680,0,680,0,0,
105,204,21,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,230,0,230,0,0,
106,261,189,2,0,1,0,0,1,1,0,0,0,0,1,1,2,2,0,1,462,0,462,0,0,
107,150,245,3,1,1,0,0,1,1,0,0,0,0,0,3,5,0,0,1,413,0,413,0,0,
108,527,100,3,2,0,0,0,1,0,0,0,1,1,2,3,17,9,1,8,677,0,677,0,0,
109,157,241,4,0,0,0,1,0,0,0,0,0,0,1,3,6,1,1,1,416,0,416,0,0,
110,125,167,0,0,1,0,0,1,0,0,0,0,0,0,2,11,1,3,1,312,0,312,0,0,
