polling station,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhdas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadiya G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
22,33,436,6,4,7,1,0,1,0,0,0,0,1,2,491,0,3,494,0
23,37,399,4,2,6,1,0,0,1,2,0,1,0,0,453,0,1,454,0
24,129,263,9,5,1,2,0,1,4,1,1,4,0,3,423,0,3,426,0
25,1,339,1,0,0,0,0,0,0,0,1,0,0,2,344,0,0,344,0
26,52,514,7,4,8,1,1,0,3,1,1,1,7,7,607,0,5,612,0
27,133,588,40,8,18,3,3,2,1,2,1,4,2,11,816,0,8,824,0
28,32,457,7,3,4,0,0,1,3,0,2,3,2,4,518,0,8,526,0
29,60,320,3,3,1,0,2,2,1,0,1,1,1,4,399,0,6,405,0
30,105,257,16,2,6,4,1,1,4,3,1,9,5,2,416,0,4,420,0
31,61,206,4,2,0,0,1,3,1,0,1,2,1,3,285,0,5,290,0
32,40,635,5,1,7,0,0,0,1,1,0,0,3,4,697,0,9,706,0
33,58,295,7,1,7,0,0,0,0,1,0,2,1,9,381,0,5,386,0
34,111,333,5,2,7,2,1,1,0,1,1,1,4,5,474,0,9,483,0
35,36,651,17,3,2,0,0,2,0,2,1,2,3,7,726,0,1,727,0
36,39,123,2,0,0,1,0,1,1,0,1,0,2,6,176,0,4,180,0
37,19,278,10,1,0,0,0,0,0,1,1,0,1,1,312,0,4,316,0
38,22,260,5,0,1,2,2,0,1,1,1,2,8,9,314,0,9,323,0
39,117,325,27,5,9,1,1,1,2,0,1,0,0,5,494,0,17,511,0
40,63,456,5,5,4,1,0,3,0,1,2,2,1,8,551,0,11,562,0
41,61,272,4,0,1,0,0,1,0,0,1,0,2,1,343,0,3,346,0
42,253,166,19,5,5,0,1,1,0,0,1,6,1,1,459,0,10,469,0
43,28,144,7,5,2,0,1,0,1,1,2,2,2,3,198,0,8,206,0
44,81,411,26,2,8,1,1,1,0,0,2,2,1,5,541,0,3,544,0
45,52,457,5,2,2,3,1,1,0,2,0,1,3,6,535,0,6,541,0
46,107,478,7,0,7,0,1,0,0,0,0,2,0,1,603,0,11,614,0
47,95,504,5,1,4,0,0,1,2,2,0,0,1,2,617,0,6,623,0
48,24,555,6,1,7,0,2,2,1,2,2,0,1,6,609,0,4,613,0
49,101,260,46,3,5,0,0,1,2,1,0,0,1,1,421,0,5,426,0
50,33,569,5,0,4,1,0,0,1,0,0,0,1,4,618,0,4,622,0
51,151,361,10,2,0,1,0,0,1,0,0,1,0,1,528,0,12,540,0
52,77,322,2,1,4,1,1,1,12,0,0,1,2,5,429,0,6,435,0
53,142,315,5,6,12,4,1,2,10,1,1,0,3,1,503,0,2,505,0
54,64,323,4,2,5,0,0,0,7,0,2,0,1,2,410,0,2,412,0
55,68,282,4,2,5,1,1,1,0,0,4,1,2,2,373,0,5,378,0
56,65,391,3,0,3,0,0,0,9,1,2,1,3,2,480,0,3,483,0
57,45,519,6,2,13,1,0,0,1,0,2,2,3,3,597,0,10,607,0
58,103,419,10,2,11,1,0,2,1,1,1,7,6,8,572,0,19,591,0
59,75,345,6,12,11,0,3,1,4,0,3,3,2,3,468,0,11,479,0
60,37,293,4,3,6,0,2,1,2,0,0,0,1,2,351,0,8,359,0
61,17,205,1,0,3,0,0,0,0,0,0,2,0,0,228,0,10,238,0
62,27,276,3,0,5,0,0,1,0,0,0,0,0,0,312,0,8,320,0
63,64,386,3,1,16,0,2,1,0,0,0,1,3,2,479,0,25,504,0
64,32,433,3,1,7,0,1,0,1,0,1,1,2,0,482,0,4,486,0
65,50,382,1,1,11,1,0,2,2,2,1,3,3,3,462,0,12,474,0
66,25,135,1,1,6,1,0,0,0,0,2,0,0,2,173,0,4,177,0
67,50,486,3,3,3,0,0,2,0,0,1,1,2,2,553,0,10,563,0
68,40,591,2,0,13,0,1,0,0,1,0,1,1,6,656,0,11,667,0
69,68,457,5,1,7,0,2,0,1,0,1,1,1,1,545,0,15,560,0
70,47,441,2,4,10,0,0,0,0,1,0,1,1,2,509,0,24,533,0
