No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
60,4,860,43,0,6,1,1,2,917,0,2,919,0
61,3,833,15,1,7,1,0,0,860,0,8,868,0
62,3,443,80,1,9,0,0,6,542,0,1,543,0
63,6,777,75,2,11,0,0,1,872,0,10,882,0
64,3,840,30,1,12,0,0,0,886,0,3,889,0
65,13,927,33,1,11,1,0,3,989,0,4,993,0
66,6,909,38,2,6,0,0,2,963,0,10,973,0
67,3,889,27,0,12,0,0,2,933,0,7,940,0
68,4,439,18,1,10,0,1,4,477,0,2,479,0
69,1,807,41,0,10,1,0,1,861,0,8,869,0
70,2,691,21,1,14,0,0,0,729,0,3,732,0
71,0,548,19,1,17,3,0,1,589,0,5,594,0
72,1,805,42,1,27,0,1,2,879,0,5,884,0
73,3,749,39,2,8,1,0,1,803,0,8,811,0
74,6,733,50,0,10,0,2,4,805,0,7,812,0
75,0,507,22,0,9,1,0,7,546,0,5,551,0
76,1,651,18,3,18,0,0,1,692,0,1,693,0
77,6,686,30,1,4,0,0,13,740,0,3,743,0
78,6,246,324,1,10,1,2,1,591,0,7,598,0
79,5,649,98,0,3,2,1,44,802,0,3,805,0
80,3,501,23,1,17,1,1,6,553,0,4,557,0
81,3,553,56,0,10,1,0,29,652,0,7,659,0
82,1,779,57,1,12,0,1,34,885,0,11,896,0
83,4,543,37,1,10,1,0,1,597,0,0,597,0
84,5,632,58,5,12,2,0,5,719,0,6,725,0
85,3,560,38,2,15,1,2,7,628,0,7,635,0
86,2,586,43,2,15,0,1,6,655,0,10,665,0
87,3,504,32,0,9,0,1,5,554,0,3,557,0
88,1,662,18,0,15,0,0,1,697,0,4,701,0
89,0,531,33,0,5,1,0,12,582,0,4,586,0
90,2,735,32,3,13,0,0,2,787,0,6,793,0
91,1,684,43,0,28,0,1,4,761,0,2,763,0
92,6,726,28,2,11,0,1,0,774,0,7,781,0
93,1,640,43,1,8,1,0,9,703,0,5,708,0
94,5,592,35,2,10,2,1,12,659,0,6,665,0
95,5,527,37,2,5,0,1,16,593,0,6,599,0
96,0,633,12,0,13,0,1,1,660,0,8,668,0
97,0,530,17,0,13,0,0,0,560,0,1,561,0
98,1,471,28,0,13,2,0,1,516,0,6,522,0
99,1,508,18,1,9,0,2,0,539,0,3,542,0
100,1,802,42,2,12,0,0,1,860,0,10,870,0
101,2,840,38,3,52,0,1,0,936,0,7,943,0
102,4,1008,39,1,19,4,1,0,1076,0,10,1086,0
103,43,255,83,0,54,2,0,0,437,0,3,440,0
104,6,653,94,1,39,3,0,1,797,0,10,807,0
105,4,753,49,1,23,0,0,0,830,0,7,837,0
106,2,690,12,1,11,0,0,1,717,0,3,720,0
107,6,575,43,0,13,1,2,0,640,0,7,647,0
108,1,643,29,0,10,0,1,15,699,0,9,708,0
109,5,541,26,1,7,0,1,5,586,0,3,589,0
110,3,492,27,0,5,1,0,6,534,0,3,537,0
111,6,854,36,1,15,1,0,16,929,0,6,935,0
112,6,886,60,1,11,1,0,2,967,0,10,977,0
113,2,593,27,1,7,1,0,0,631,0,8,639,0
114,4,685,25,3,7,0,2,1,727,0,2,729,0
115,2,870,61,1,19,0,2,1,956,0,6,962,0
116,3,758,51,1,16,0,0,0,829,0,8,837,0
117,0,694,85,0,22,1,5,1,808,0,13,821,0
118,0,813,41,2,26,0,0,1,883,0,2,885,0
119,2,725,56,0,17,1,0,0,801,0,9,810,0
120,2,715,180,1,17,1,0,1,917,0,11,928,0
121,1,838,37,1,37,0,1,1,916,0,7,923,0
122,2,533,28,0,5,1,1,0,570,0,1,571,0
123,2,457,41,0,9,0,0,0,509,0,2,511,0
124,2,564,15,1,8,0,0,1,591,0,5,596,0
125,7,799,80,2,6,0,3,4,901,0,5,906,0
126,3,624,60,0,11,0,0,1,699,0,4,703,0
127,4,549,21,0,9,0,0,1,584,0,4,588,0
128,4,604,81,1,12,1,0,2,705,0,9,714,0
129,5,636,54,0,7,0,0,2,704,0,11,715,0
130,2,455,35,1,4,1,0,1,499,0,3,502,0
131,2,447,44,1,18,0,0,0,512,0,3,515,0
132,4,560,84,2,11,2,2,0,665,0,1,666,0
133,8,549,52,4,9,1,2,2,627,0,5,632,0
134,4,636,44,0,15,1,2,2,704,0,3,707,0
135,2,222,28,0,6,1,2,1,262,0,3,265,0
136,12,379,54,4,19,3,2,0,473,0,3,476,0
137,2,784,38,0,6,0,2,3,835,0,3,838,0
138,23,650,48,3,8,0,1,4,737,0,4,741,0
139,8,433,45,1,19,0,0,2,508,0,3,511,0
140,11,572,47,2,6,0,1,4,643,0,6,649,0
141,2,443,60,3,4,1,2,1,516,0,4,520,0
142,2,620,56,1,19,1,1,3,703,0,6,709,0
143,4,689,101,0,19,0,0,1,814,0,15,829,0
144,6,699,38,0,9,0,1,2,755,0,12,767,0
145,1,478,27,0,8,0,0,0,514,0,1,515,0
146,1,654,32,2,7,1,2,0,699,0,3,702,0
147,1,831,36,3,11,0,0,1,883,0,3,886,0
148,3,605,19,1,3,1,0,1,633,0,5,638,0
149,2,616,46,0,14,0,0,0,678,0,12,690,0
150,1,859,43,0,11,0,0,1,915,0,15,930,0
151,5,764,44,1,9,1,1,2,827,0,9,836,0
152,4,727,33,0,12,0,0,0,776,0,17,793,0
153,1,573,33,0,7,0,0,1,615,0,10,625,0
154,1,771,70,2,8,1,1,2,856,0,10,866,0
155,8,683,75,4,7,3,4,7,791,0,12,803,0
156,4,160,27,0,4,0,0,2,197,0,5,202,1
157,4,212,51,1,2,4,0,0,274,0,5,279,0
158,2,629,56,4,10,2,2,3,708,0,5,713,0
159,4,451,68,1,8,2,1,0,535,0,4,539,0
160,4,676,52,1,12,0,0,0,745,0,7,752,0
161,4,586,88,1,15,3,3,1,701,0,11,712,0
162,0,369,50,1,6,0,0,0,426,0,2,428,0
163,6,226,187,2,13,1,1,1,437,0,2,439,0
164,2,524,133,0,6,2,4,0,671,0,3,674,0
165,3,360,94,0,9,0,0,0,466,0,2,468,0
166,2,264,28,0,3,0,0,0,297,0,3,300,0
167,1,415,46,2,8,3,0,0,475,0,6,481,0
168,5,773,38,0,8,0,0,6,830,0,4,834,0
169,4,755,58,1,22,2,0,4,846,0,5,851,0
170,2,659,195,2,8,0,1,19,886,0,9,895,0
171,4,583,136,3,23,1,0,4,754,0,7,761,0
172,1,742,23,2,3,2,1,1,775,0,6,781,0
173,1,672,32,0,19,2,0,0,726,0,8,734,0
174,2,297,195,2,10,0,1,3,510,0,7,517,0
175,1,433,84,1,3,0,5,3,530,0,6,536,0
176,5,558,162,2,9,1,2,0,739,0,4,743,0
177,1,468,60,0,1,0,0,0,530,0,5,535,0
178,0,384,33,0,3,0,0,0,420,0,3,423,0
179,1,313,17,0,2,0,1,1,335,0,3,338,0
180,1,281,97,1,8,0,1,1,390,0,4,394,0
181,0,453,117,0,12,0,14,0,596,0,5,601,0
182,6,231,251,3,4,2,4,1,502,0,3,505,0
183,1,224,94,0,7,0,0,2,328,0,2,330,0
184,2,486,46,0,12,0,0,1,547,0,5,552,0
185,3,699,38,3,16,0,1,26,786,0,2,788,0
186,1,535,29,3,7,0,0,11,586,0,2,588,0
187,1,489,35,1,4,0,0,1,531,0,4,535,0
188,2,507,17,1,9,3,1,11,551,0,10,561,0
189,2,406,22,2,7,1,0,11,451,0,2,453,0
190,1,453,28,1,10,2,1,13,509,0,5,514,0
191,3,667,23,3,10,0,1,31,738,0,5,743,0
192,6,856,50,1,12,0,2,32,959,0,6,965,0
193,1,540,86,1,4,0,0,14,646,0,4,650,0
194,3,349,37,0,5,1,0,12,407,0,3,410,0
195,4,742,42,2,11,0,2,5,808,0,9,817,0
196,2,518,29,0,14,0,1,2,566,0,4,570,0
197,3,601,33,2,8,0,1,5,653,0,2,655,0
198,0,858,38,1,12,0,0,2,911,0,7,918,0
199,1,506,40,1,13,1,0,3,565,0,3,568,0
200,1,717,42,1,14,0,0,8,783,0,9,792,0
201,2,793,23,2,7,0,2,1,830,0,5,835,0
202,3,816,35,1,14,1,0,1,871,0,7,878,0
203,1,793,59,1,24,0,0,0,878,0,11,889,0
204,1,482,28,2,11,1,0,2,527,0,4,531,0
205,4,433,34,1,11,2,0,4,489,0,6,495,0
206,3,585,55,1,6,0,0,5,655,0,6,661,0
207,1,221,25,0,2,0,0,0,249,0,1,250,0
208,4,290,64,2,10,0,12,1,383,0,3,386,0
209,2,136,107,4,12,0,0,0,261,0,0,261,0
210,4,157,41,2,9,0,0,0,213,0,0,213,0
211,1,152,42,1,11,2,1,0,210,0,1,211,0
212,1,239,6,1,6,1,0,0,254,0,2,256,0
213,2,693,19,1,8,0,2,2,727,0,1,728,0
214,1,279,74,1,6,1,1,0,363,0,6,369,0
215,4,397,113,1,8,1,0,1,525,0,2,527,0
216,1,600,41,0,2,1,0,2,647,0,4,651,0
217,5,456,39,1,8,0,1,1,511,0,3,514,0
218,6,617,56,0,14,0,0,10,703,0,2,705,0
219,2,391,27,0,18,0,0,1,439,0,2,441,0
220,0,355,18,0,4,0,0,4,381,0,2,383,0
221,1,500,23,1,7,0,0,1,533,0,7,540,0
222,3,447,35,0,3,0,0,4,492,0,6,498,0
223,0,330,21,0,5,0,0,1,357,0,5,362,0
224,2,480,8,0,2,0,0,1,493,0,4,497,0
225,3,502,13,1,5,1,0,0,525,0,10,535,0
226,1,533,18,0,16,0,0,0,568,0,3,571,0
227,4,685,11,0,17,1,0,0,718,0,4,722,0
228,2,635,22,2,4,0,0,2,667,0,3,670,0
229,1,818,30,0,27,1,1,0,878,0,9,887,0
230,2,646,35,1,13,0,1,0,698,0,9,707,0
231,1,298,20,0,15,0,0,0,334,0,0,334,0
232,2,589,36,0,8,0,0,3,638,0,5,643,0
233,2,503,32,3,8,0,0,2,550,0,1,551,0
234,1,476,34,1,8,0,0,0,520,0,3,523,0
235,3,113,477,1,23,1,3,2,623,0,5,628,0
236,0,167,102,0,1,1,4,1,276,0,2,278,0
237,4,114,222,2,7,0,1,2,352,0,2,354,0
238,1,64,208,0,6,0,0,0,279,0,1,280,0
239,1,140,140,1,18,3,1,1,305,0,1,306,0
240,1,71,618,2,26,1,5,2,726,0,11,737,0
241,3,47,541,5,17,1,3,1,618,0,5,623,0
242,7,120,323,2,8,0,2,0,462,0,7,469,0
