Sr. No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Varde Rajubhai Bhimrav,Sonal Kelog,Arun S. Pathak (Patrakar),Keshavji L. Sardva,Parsi Munsi,Ramzan Mansuri (Patrakar),Ravsaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhel),Saiyad Mehmud Aehmad,Hasan Sheikh,,,,,
281,19,490,309,7,2,0,6,1,2,0,1,6,3,1,7,9,8,9,4,884,0,9,893,0
282,7,374,220,5,0,0,1,0,1,1,2,2,3,4,6,6,2,4,0,638,0,3,641,0
,1782,125361,45193,848,279,142,1177,183,237,169,232,553,415,571,1026,1794,691,1444,823,182920,0,1501,184421,0
,,,,,,,,,,,,,,,,,,,,,,,,
,1782,125361,45193,848,279,142,1177,183,237,169,232,553,415,571,1026,1794,691,1444,823,182920,0,1501,184421,0
283,11,478,193,7,0,2,7,1,1,0,0,4,1,1,1,8,9,4,4,732,0,13,745,0
284,15,317,308,5,2,2,2,2,0,3,1,3,2,6,5,9,2,5,5,694,0,3,697,0
285,10,321,184,0,0,1,2,0,0,0,0,3,0,1,1,5,2,1,1,532,0,0,532,0
286,6,231,200,7,1,0,10,0,0,0,0,0,1,0,1,2,0,0,0,459,0,0,459,0
287,11,493,203,6,0,0,3,0,0,3,1,1,1,4,4,9,1,4,4,748,0,0,748,0
288,7,163,183,1,1,1,6,0,0,1,1,1,0,1,0,5,3,1,2,377,0,5,382,0
289,4,276,212,4,1,0,1,1,4,4,4,2,3,0,6,1,1,2,0,526,0,0,526,0
290,3,291,202,2,0,0,2,0,1,1,1,5,2,3,4,4,2,5,3,531,0,1,532,0
291,10,485,265,8,4,2,6,0,1,1,0,2,0,2,6,6,7,18,26,849,0,6,855,0
292,11,336,185,0,0,1,4,0,0,1,0,4,3,0,4,5,3,3,4,564,0,2,566,0
293,5,416,178,2,2,0,0,0,2,3,1,3,2,2,4,3,2,6,0,631,0,5,636,0
294,3,312,161,2,1,1,4,2,1,0,3,2,0,4,4,13,3,14,11,541,0,1,542,0
295,21,281,317,5,2,2,7,1,1,3,3,1,8,7,12,20,4,1,7,703,0,13,716,0
,1899,129761,47984,897,293,154,1231,190,248,189,247,584,438,602,1078,1884,730,1508,890,190807,0,1550,192357,0
,,,,,,,,,,,,,,,,,,,,,,,,
,1899,129761,47984,897,293,154,1231,190,248,189,247,584,438,602,1078,1884,730,1508,890,190807,0,1550,192357,0
296,12,162,302,13,3,3,0,3,7,2,5,8,7,11,6,23,0,2,2,571,0,2,573,0
,1911,129923,48286,910,296,157,1231,193,255,191,252,592,445,613,1084,1907,730,1510,892,191378,0,1552,192930,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1911,129923,48286,910,296,157,1231,193,255,191,252,592,445,613,1084,1907,730,1510,892,191378,0,1552,192930,0
