polling station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
57,161,246,4,0,2,0,0,2,0,0,1,1,1,0,1,2,7,7,0,2,2,0,3,0,3,445,0,8,453,0
58,193,96,3,0,2,0,0,0,1,2,0,1,1,2,1,5,8,1,2,0,0,1,0,0,0,319,0,3,322,0
59,159,199,1,0,5,0,0,0,2,1,3,2,1,0,3,4,2,0,4,2,3,1,0,0,2,394,0,7,401,0
60,344,133,9,1,0,1,0,0,0,1,2,1,1,0,4,8,7,6,1,2,1,1,1,1,0,525,0,7,532,0
61,77,323,5,3,6,0,0,2,0,0,0,1,1,1,5,3,2,6,2,2,1,1,0,0,0,441,0,4,445,0
62,76,303,4,1,5,2,0,1,0,1,0,0,1,0,3,4,2,5,1,3,4,1,2,0,4,423,0,3,426,0
63,151,300,2,1,5,0,0,2,0,2,0,1,1,3,1,5,0,5,2,2,1,1,3,1,1,490,0,11,501,0
64,168,138,7,3,3,1,1,1,0,3,3,3,1,1,6,5,3,0,2,0,1,0,2,0,1,353,0,2,355,0
65,59,237,1,0,0,0,2,0,0,0,0,1,0,0,2,0,1,3,0,1,1,0,0,0,0,308,0,0,308,0
66,92,62,2,0,1,0,0,0,0,0,1,0,0,1,0,1,3,2,0,0,1,0,0,0,0,166,0,3,169,0
67,181,321,7,0,4,1,0,1,1,0,1,1,0,0,4,4,4,5,2,1,0,0,1,0,1,540,0,2,542,0
68,46,242,2,0,4,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0,0,301,0,2,303,0
69,106,131,2,0,1,0,0,0,0,3,1,3,1,1,0,5,8,1,0,2,0,0,0,1,1,267,0,1,268,0
70,233,110,0,1,1,2,2,1,0,2,0,0,0,1,1,5,4,0,0,0,1,0,1,1,0,366,0,3,369,0
71,232,263,4,0,7,1,1,0,1,0,0,1,1,2,1,7,3,1,0,1,2,0,0,1,4,533,0,1,534,0
72,209,597,4,1,1,1,0,0,0,1,5,5,4,5,5,8,4,5,0,1,1,0,0,0,1,858,0,4,862,0
73,62,295,5,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,369,0,4,373,0
74,175,167,1,0,1,0,0,0,0,0,2,0,10,1,1,2,0,2,3,17,2,1,2,0,0,387,0,0,387,0
75,157,204,5,1,1,1,1,1,0,0,0,0,0,1,2,4,7,10,1,1,0,0,0,0,0,397,0,3,400,0
76,95,56,1,0,3,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,160,0,1,161,0
