Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,KOLI PATEL SOMABHAI GANDALAL,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVAJIBHAI GOVINDBHAI,JETHABHAI MANJIBHAI PATEL,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVDA PALABHAI NANAJIBHAI,PARMAR PRABHUBHAI GOKALBHAI,PARMAR VASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRABHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,MANSINH SHIVUBHA ZALA,VADALIYA KALUBHAI MALUBHAI,VAGHELA PRAKASHBHAI BACHUBHAI,VORA BHAVANBHAI DEVAJIBHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI,Total of Valid votes,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
173,354,15,101,23,2,1,1,50,0,2,1,0,1,2,6,9,6,574,0,4,578,
174,498,11,85,18,13,0,3,127,0,0,0,1,1,5,4,10,13,789,0,15,804,
175,330,4,500,13,0,0,0,16,0,2,0,3,2,5,3,15,5,898,0,25,923,
176,145,1,522,18,1,0,0,2,0,0,0,3,0,0,0,1,0,693,0,18,711,
177,171,1,524,19,0,0,0,0,0,0,0,1,0,1,0,1,1,719,0,29,748,
178,240,3,504,21,0,2,0,1,1,0,3,1,0,2,0,4,8,790,0,29,819,
179,127,3,820,21,0,1,0,1,0,0,0,0,1,5,4,1,2,986,0,21,1007,
180,356,8,258,10,0,0,1,2,1,0,1,1,0,1,1,3,3,646,0,13,659,
181,448,15,305,15,14,1,0,12,1,0,0,0,1,2,1,2,16,833,0,14,847,
182,76,1,611,29,1,0,0,1,0,0,0,0,0,2,0,3,3,727,0,29,756,
183,57,1,636,23,1,0,1,0,0,1,1,0,0,0,0,1,2,724,0,26,750,
184,86,1,639,36,1,0,0,3,1,0,0,0,1,0,0,1,1,770,0,27,797,
185,63,3,499,9,0,0,0,0,0,0,3,0,1,2,0,3,0,583,0,10,593,
186,106,2,571,11,0,1,0,0,1,0,0,4,0,0,0,5,5,706,0,26,732,
187,231,8,574,7,1,3,0,6,0,1,2,1,5,6,4,7,18,874,0,10,884,
188,236,8,289,8,1,0,0,0,2,0,1,1,2,6,3,5,8,570,0,3,573,
,,,,,,,,,,,,,,,,,,,,,,
189,321,8,326,20,3,3,1,8,0,2,0,0,2,1,4,4,8,711,0,10,721,
190,394,4,152,7,0,1,0,0,1,0,0,2,1,2,1,1,7,573,0,8,581,
191,184,11,372,19,1,0,0,0,1,0,2,0,0,9,2,4,1,606,0,2,608,
192,141,2,346,38,0,0,0,2,0,1,0,0,0,3,3,5,4,545,0,8,553,
193,33,6,537,21,1,0,0,1,2,0,0,2,3,3,1,6,3,619,0,8,627,
194,152,3,228,3,0,0,0,1,1,1,1,2,1,1,5,9,4,412,0,3,415,
195,196,4,247,3,0,1,0,2,1,0,1,1,2,4,3,4,3,472,0,0,472,
196,52,2,211,4,3,0,1,0,0,1,2,2,0,1,2,13,5,299,0,8,307,
197,35,0,626,1,0,1,0,1,1,0,0,0,0,4,3,3,2,677,0,1,678,
198,57,6,399,48,4,1,1,3,0,0,2,5,2,0,1,6,4,539,0,1,540,
199,122,12,394,15,2,1,2,4,2,1,0,0,2,4,3,9,8,581,0,10,591,
200,251,9,331,11,1,0,1,6,0,1,1,1,1,4,3,9,10,640,0,11,651,
201,102,5,456,15,0,0,0,0,0,1,0,0,0,1,1,2,2,585,0,6,591,
202,236,5,316,9,1,1,0,1,0,0,0,0,0,0,0,4,16,589,0,9,598,
203,124,11,590,5,0,1,2,0,2,2,0,0,2,2,3,8,4,756,0,6,762,
204,55,6,505,8,0,0,0,0,3,1,0,1,0,2,1,8,5,595,0,4,599,
205,333,2,98,3,0,0,0,6,0,0,0,0,0,1,1,12,5,461,0,2,463,
206,168,7,238,4,1,0,0,2,2,0,1,1,0,3,1,5,3,436,0,7,443,
207,175,4,348,23,0,0,0,2,1,1,0,0,1,2,3,5,8,573,0,3,576,
208,149,9,296,12,1,2,2,1,2,0,0,1,3,2,3,10,4,497,0,3,500,
209,79,16,581,2,1,0,2,5,0,0,0,1,2,4,2,6,9,710,0,8,718,
210,74,5,338,6,1,1,0,0,0,1,0,0,2,0,3,5,2,438,0,3,441,
,,,,,,,,,,,,,,,,,,,,,,
211,179,4,88,1,0,0,0,1,0,0,0,1,2,1,0,6,7,290,0,1,291,
212,276,5,193,2,1,0,0,3,1,0,2,1,2,2,10,18,3,519,0,1,520,
213,296,4,358,4,4,2,0,4,1,2,0,2,7,2,6,19,4,715,0,2,717,
214,56,10,585,5,2,2,1,0,0,0,0,5,0,1,3,8,3,681,0,9,690,
215,172,13,472,8,2,2,0,4,1,1,1,5,2,4,10,21,5,723,0,6,729,
216,42,1,351,6,0,0,0,1,0,0,1,1,3,3,1,12,7,429,0,1,430,
217,72,5,290,5,1,1,1,5,0,0,0,0,0,2,4,10,7,403,0,6,409,
218,288,3,134,6,1,0,1,2,0,0,0,0,0,1,6,8,7,457,0,3,460,
219,311,4,244,2,0,1,0,1,1,1,2,1,0,1,2,10,5,586,0,5,591,
220,40,2,272,6,1,0,0,0,2,0,0,0,4,1,2,3,1,334,0,2,336,
221,57,2,498,9,0,0,1,2,0,1,0,1,6,5,3,10,3,598,0,17,615,
222,252,5,179,1,1,0,0,2,0,0,0,0,1,1,2,8,5,457,0,3,460,
223,178,5,291,3,0,2,0,0,1,1,0,3,5,8,2,5,3,507,0,3,510,
224,68,8,404,6,3,0,1,0,1,0,0,1,1,3,3,10,3,512,0,1,513,
225,50,6,373,4,1,2,0,1,1,0,1,0,1,2,2,4,1,449,0,0,449,
226,207,15,214,5,3,1,3,2,5,1,1,2,2,3,6,29,6,505,0,4,509,
227,137,9,362,7,1,0,1,0,1,1,0,0,2,1,2,10,7,541,0,5,546,
228,46,4,367,6,1,2,1,0,0,1,0,0,1,4,4,7,3,447,0,5,452,
229,223,7,389,9,2,1,6,0,3,1,0,0,3,5,2,16,0,667,0,5,672,
230,66,5,460,5,2,1,0,0,0,0,3,1,1,2,3,4,4,557,0,3,560,
231,240,5,458,4,2,1,1,0,0,2,1,3,2,6,4,13,8,750,0,8,758,
