Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,,,,,,
Serial No. of Polling Station,Chaudhary Haribhai Parthibhai Patel Joitabhai Kasnabhai Mahant Parsotamgiri Turantgiri Choudhary Adambhai Nasirbhai Sanjaykumar Somnathbhai Raval Gamar Vadhabhai Radhabhai Thakor Bhupataji Ravaji Dabhi Navajibhai Madhabhai Babaji Thakor Mahendrabhai Kesarabhai Bumbadia Madhu Nirupaben Natvarlal Shrimali Ashokbhai Balchndbhai Solanki Dineshkumar Aljibhai Solanki Saybabhai Nanabhai,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
193,233,69,2,0,5,0,0,1,0,0,0,0,0,0,310,0,3,313,0
194,260,61,0,0,2,0,0,1,0,0,0,0,0,0,324,0,10,334,0
195,253,226,5,0,1,1,0,0,1,2,0,0,1,2,492,0,4,496,0
196,152,458,4,3,0,0,0,2,1,3,0,1,2,11,637,0,18,655,0
197,337,147,4,1,0,0,0,0,0,2,0,2,1,5,499,0,10,509,0
198,201,112,1,1,1,0,0,0,1,0,0,0,1,1,319,0,7,326,0
199,49,585,5,0,12,0,0,0,0,0,0,1,3,4,659,0,8,667,0
200,36,737,5,0,0,0,0,0,0,0,0,0,2,4,784,0,5,789,0
201,164,494,8,0,5,0,1,0,2,2,0,0,0,1,677,0,8,685,0
202,184,47,0,0,0,0,0,0,0,0,0,2,3,3,239,0,1,240,0
203,269,259,3,1,9,0,1,2,0,0,1,2,5,8,560,0,11,571,0
204,178,453,5,1,6,0,1,1,0,1,1,1,1,1,650,0,6,656,0
205,135,148,4,0,4,0,0,1,0,0,0,2,2,2,298,0,3,301,0
206,313,174,5,0,2,0,2,1,1,0,2,1,3,10,514,0,11,525,0
207,246,262,5,0,0,0,0,0,0,0,1,0,9,5,528,0,7,535,0
208,275,212,3,0,0,0,0,0,0,3,0,2,4,13,512,0,21,533,0
209,185,51,2,0,0,0,0,0,0,1,0,1,2,7,249,0,15,264,0
210,318,164,2,2,1,0,2,1,0,0,0,0,2,10,502,0,9,511,0
211,195,119,4,1,0,0,0,0,0,0,1,2,3,4,329,0,2,331,0
212,266,179,4,1,2,0,0,1,1,2,1,1,3,1,462,0,8,470,0
213,277,40,1,0,0,0,0,5,5,1,1,2,2,2,336,0,17,353,0
214,232,112,2,0,9,0,0,1,0,0,0,1,0,3,360,0,6,366,0
215,285,109,3,3,0,0,1,0,0,0,0,1,2,1,405,0,13,418,0
216,444,77,3,0,1,0,1,1,0,0,0,1,3,0,531,0,6,537,0
217,91,583,4,2,1,2,0,1,1,1,3,3,5,4,701,0,6,707,0
218,508,145,4,0,9,2,1,0,1,1,0,1,3,5,680,0,18,698,0
219,134,33,1,1,0,0,0,0,0,3,0,0,1,3,176,0,2,178,0
220,182,148,1,3,0,1,1,1,2,0,0,0,4,4,347,0,4,351,0
221,71,649,23,3,5,0,3,3,2,10,3,4,15,24,815,0,38,853,0
222,27,311,15,2,2,1,1,1,1,0,1,1,9,5,377,0,12,389,0
