No. of Polling Station,,,,,,,,,,,,,,,,,valid,No. of Rejected votes (test votes),Votes for 'NOTA' option,Total,No. of Tendered Votes
,"Chauhan Devusinh Jesingbhai (BJP) Dinsha Patel (INC) Pandav Bhailalbhai Kalubhai (BSP) Abdul Razakkhan Pathan (Apna Desh Party) Badhiwala Labhubhai Jivarajbhai (AAP) Ranveer Pranayraj Govindbhai (Bahujan Mukti  Party) Khristi Adward (Independent) Chauhan Devusing Motishing (Indepen.)  Pathan Amanullakha Sitabkha (Independent) Parikh Viral Hasmukhbhai (Independent) Malek Yakubmiya Nabimiya (Independent) Malek Sadik Hushen Mahammd Husen  (Independent) Malek Sabirhusen Ismealbhai (Independent) Ratansinh Udesinh Chauhan (Independent) Roshan Priyavadan Shah (Independent) ""None of the Above""(NOTA)",,,,,,,,,,,,,,,,,,,,
177,124,340,18,2,4,0,1,0,0,0,1,0,1,1,5,4,501,0,4,501,0
178,277,238,6,2,1,1,1,1,3,0,1,0,2,4,6,10,553,0,10,553,0
179,282,136,3,0,4,0,0,1,0,0,1,2,0,1,7,3,440,0,3,440,0
180,308,175,6,0,0,1,1,0,0,0,1,0,2,2,2,14,512,0,14,512,0
181,145,179,6,1,0,0,0,0,3,1,1,0,1,3,2,5,347,0,5,347,0
182,265,91,1,0,1,0,1,1,0,0,2,1,2,2,5,15,387,0,15,387,0
183,201,233,2,3,1,0,1,0,0,1,1,3,1,4,1,7,459,0,7,459,0
184,221,123,1,1,2,0,0,0,0,0,0,0,3,1,1,11,364,0,11,364,0
185,144,272,3,0,2,0,0,1,1,0,1,1,3,1,10,1,440,0,1,440,0
186,100,80,1,1,3,0,0,1,0,3,0,1,1,1,6,7,205,0,7,205,0
187,158,209,5,0,4,1,2,0,1,2,3,2,6,0,2,6,401,0,6,401,0
188,252,35,3,0,1,0,0,0,0,0,0,1,0,0,1,20,313,0,20,313,0
189,166,59,0,0,0,0,1,0,0,0,0,0,1,2,1,5,235,0,5,235,0
190,117,256,5,1,4,0,2,2,2,0,0,3,3,9,9,17,430,0,17,430,0
191,244,44,11,0,2,1,0,0,0,0,0,0,1,3,2,11,319,0,11,319,0
192,357,151,4,2,4,1,1,5,2,0,0,4,2,6,9,17,565,0,17,565,0
193,250,264,2,1,1,0,0,2,0,0,2,1,2,3,3,18,549,0,18,549,0
194,364,99,4,2,1,0,0,3,0,1,0,2,0,4,7,8,495,0,8,495,0
