polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
34,19,384,11,243,8,1,7,7,5,9,694,0,13,707,0
35,15,345,9,341,7,2,5,5,6,7,742,0,19,761,0
36,5,327,13,363,4,0,2,2,5,4,725,0,10,735,0
37,1,43,9,549,3,1,0,1,2,1,610,0,8,618,0
38,11,126,5,483,10,0,16,2,2,2,657,0,14,671,0
39,2,70,4,224,3,0,14,1,4,5,327,0,14,341,0
40,10,329,15,419,10,3,12,8,6,12,824,0,26,850,0
41,4,310,3,127,3,0,7,0,2,3,459,0,12,471,0
42,18,240,10,461,5,0,3,4,7,6,754,0,19,773,0
43,16,503,18,265,7,2,31,7,8,13,870,0,47,917,0
44,8,328,12,142,3,0,2,6,4,3,508,0,11,519,0
45,12,371,10,121,2,1,1,4,6,14,542,0,44,586,0
46,8,263,2,73,1,0,1,1,1,4,354,0,0,354,0
47,5,612,18,64,1,0,2,2,5,10,719,0,26,745,0
48,8,458,10,292,15,2,83,0,4,6,878,0,6,884,0
49,7,332,6,136,8,2,131,3,1,16,642,0,10,652,0
50,4,193,12,259,66,1,6,2,1,4,548,0,14,562,0
51,1,153,5,280,9,0,8,1,1,8,466,0,10,476,0
52,3,170,5,122,8,2,26,1,4,6,347,0,5,352,0
53,2,286,14,344,7,0,12,1,1,4,671,0,9,680,0
54,6,484,3,48,1,1,2,0,2,1,548,0,16,564,0
55,12,492,9,149,2,1,12,9,2,3,691,0,12,703,0
56,13,156,8,185,6,2,5,0,4,4,383,0,18,401,0
57,17,359,7,342,6,4,48,9,5,8,805,0,32,837,0
58,11,388,11,115,6,2,30,7,3,11,584,0,15,599,0
59,18,640,14,210,5,2,15,10,4,2,920,0,12,932,0
60,19,314,17,185,11,6,11,4,7,9,583,0,15,598,0
61,38,442,15,218,6,5,3,1,6,5,739,0,16,755,0
62,7,392,9,201,8,2,7,3,10,11,650,0,9,659,0
63,4,164,12,415,1,0,2,2,4,4,608,0,14,622,0
64,4,186,12,547,5,0,2,1,4,3,764,0,7,771,0
65,16,594,17,206,7,1,1,5,1,12,860,0,12,872,0
66,4,436,10,137,3,2,2,7,5,14,620,0,14,634,0
67,3,105,3,422,1,1,20,0,0,6,561,0,12,573,0
68,9,37,6,500,6,2,12,5,3,2,582,0,30,612,0
69,4,171,9,514,13,1,2,2,3,2,721,0,12,733,0
70,4,172,10,431,10,2,11,2,2,8,652,0,19,671,0
71,6,143,6,231,2,2,1,0,1,0,392,0,3,395,0
72,4,206,7,390,3,0,1,1,0,0,612,0,2,614,0
73,5,466,6,178,4,0,9,2,4,6,680,0,6,686,0
74,9,454,11,283,8,1,5,2,2,8,783,0,11,794,0
75,6,82,8,277,4,0,2,2,2,1,384,0,4,388,0
76,3,184,10,487,3,3,2,7,7,10,716,0,15,731,0
77,7,223,10,269,2,1,2,0,3,7,524,0,11,535,0
78,7,647,7,162,6,0,13,1,4,7,854,0,19,873,0
79,11,441,11,116,7,4,57,4,2,3,656,0,6,662,0
80,8,309,15,240,6,2,42,1,2,4,629,0,8,637,0
81,8,429,13,215,3,4,28,4,3,11,718,0,8,726,0
82,1,362,4,63,7,1,113,3,0,1,555,0,5,560,0
83,2,428,3,63,9,1,151,4,1,5,667,0,7,674,0
84,6,361,5,181,3,0,13,3,2,9,583,0,14,597,0
85,4,313,11,331,6,2,18,3,6,6,700,0,16,716,0
86,12,424,6,185,5,1,6,2,12,13,666,0,14,680,0
87,7,146,4,147,6,1,2,1,3,2,319,0,2,321,0
88,22,430,18,139,5,5,18,7,10,6,660,0,11,671,0
89,9,251,8,205,2,0,12,5,4,2,498,0,8,506,0
90,12,494,16,322,6,4,25,14,14,22,929,0,53,982,0
91,14,339,12,479,15,1,26,10,6,12,914,0,22,936,0
92,4,291,4,297,6,3,8,3,8,7,631,0,17,648,0
93,8,361,8,261,8,2,6,10,2,3,669,0,13,682,0
94,17,486,16,377,23,3,10,5,10,4,951,0,14,965,0
95,17,519,5,175,9,1,8,2,0,5,741,0,9,750,0
96,2,239,8,88,10,0,23,1,5,1,377,0,5,382,0
97,7,331,12,144,8,1,7,0,1,1,512,0,10,522,0
98,9,409,13,130,3,1,2,2,3,5,577,0,7,584,0
99,2,556,14,321,12,0,16,7,7,12,947,0,11,958,0
100,11,479,8,328,3,0,5,6,2,4,846,0,4,850,0
101,12,509,20,422,28,4,3,4,4,5,1011,0,10,1021,0
102,2,412,5,267,6,0,2,5,3,3,705,0,3,708,0
103,6,345,6,193,5,1,2,3,5,7,573,0,4,577,0
104,11,479,16,347,4,2,5,8,10,4,886,0,22,908,0
105,13,414,4,302,10,2,8,9,12,11,785,0,15,800,0
106,3,183,7,309,2,1,0,3,5,4,517,0,10,527,0
107,6,107,6,384,4,0,3,1,2,6,519,0,9,528,0
108,2,263,4,242,1,0,0,1,0,3,516,0,6,522,0
109,7,195,8,141,3,1,0,4,2,9,370,0,18,388,0
110,2,250,3,205,2,2,0,2,0,0,466,0,1,467,0
111,9,289,7,270,8,0,4,4,3,11,605,0,18,623,0
112,7,253,6,490,4,0,1,2,2,3,768,0,12,780,0
113,1,190,6,308,9,1,2,1,0,2,520,0,4,524,0
114,9,420,14,206,6,6,34,3,2,1,701,0,5,706,0
115,4,329,5,77,5,1,4,1,2,5,433,0,13,446,0
116,4,227,3,208,5,1,18,4,2,3,475,0,9,484,0
117,9,365,9,320,4,1,2,0,1,0,711,0,7,718,0
118,4,471,4,224,4,0,0,3,1,6,717,0,17,734,0
119,3,231,2,322,1,1,2,1,1,7,571,0,11,582,0
120,4,282,8,357,9,2,2,1,2,2,669,0,8,677,0
121,11,524,9,230,7,1,4,9,7,18,820,0,38,858,0
122,10,286,6,399,4,1,1,1,4,7,719,0,14,733,0
123,8,224,9,258,5,1,5,2,4,3,519,0,3,522,0
124,3,118,2,119,1,0,1,0,0,2,246,0,4,250,0
125,3,247,9,110,1,1,4,1,5,5,386,0,18,404,0
126,16,326,7,255,8,0,15,1,6,4,638,0,7,645,0
127,7,299,14,193,8,3,38,1,2,7,572,0,18,590,0
128,10,214,9,193,5,1,8,3,3,9,455,0,15,470,0
129,12,292,18,259,5,4,13,6,4,7,620,0,17,637,0
130,19,499,11,268,11,4,9,7,13,12,853,0,42,895,0
131,14,308,8,350,3,2,25,3,5,7,725,0,14,739,0
132,3,264,3,154,2,0,12,2,4,5,449,0,15,464,0
133,1,279,5,208,4,0,3,5,4,0,509,0,5,514,0
134,14,431,10,281,4,1,1,2,0,4,748,0,11,759,0
135,3,268,4,36,2,0,5,2,4,1,325,0,5,330,0
136,4,211,0,89,0,1,4,1,4,2,316,0,11,327,0
137,9,211,6,629,1,0,2,1,1,7,867,0,8,875,0
138,5,321,6,321,4,2,1,2,0,2,664,0,12,676,0
139,5,320,11,402,4,0,3,3,5,7,760,0,10,770,0
140,3,104,4,641,6,1,1,0,1,1,762,0,4,766,0
141,5,109,9,301,5,0,1,0,3,4,437,0,3,440,0
142,5,280,12,470,9,0,1,4,2,3,786,0,15,801,0
143,11,355,13,238,1,1,1,3,2,4,629,0,4,633,0
144,2,299,9,448,1,1,11,4,1,7,783,0,13,796,0
145,7,345,6,381,6,1,6,3,6,4,765,0,7,772,0
146,3,187,3,162,2,2,14,1,2,0,376,0,3,379,0
147,0,149,2,381,7,1,0,0,1,1,542,0,8,550,0
148,3,161,4,328,8,0,1,0,0,2,507,0,6,513,0
149,2,182,1,337,5,0,0,0,1,2,530,0,6,536,0
150,2,66,1,176,3,0,1,0,0,0,249,0,3,252,0
151,2,137,7,520,2,0,0,2,1,1,672,0,10,682,0
152,2,338,3,393,12,0,9,1,0,1,759,0,10,769,0
153,2,555,7,262,7,0,0,0,1,2,836,0,1,837,0
154,6,430,15,204,0,1,1,0,0,2,659,0,8,667,0
155,2,183,9,496,5,1,2,0,2,1,701,0,20,721,0
156,3,157,5,447,2,0,0,0,1,1,616,0,4,620,0
157,1,118,6,552,4,0,0,1,0,3,685,0,12,697,0
158,2,181,4,666,5,0,0,3,1,0,862,0,13,875,0
159,3,311,9,558,13,1,2,0,5,5,907,0,21,928,0
160,15,467,14,244,13,1,26,0,1,0,781,0,6,787,0
161,4,212,6,83,3,1,5,2,2,3,321,0,10,331,0
162,11,380,11,259,1,5,30,6,6,6,715,0,12,727,0
163,8,283,6,277,5,3,5,3,3,2,595,0,12,607,0
164,6,253,8,317,13,2,2,2,1,6,610,0,7,617,0
165,12,233,3,123,4,2,2,2,4,3,388,0,5,393,0
166,5,254,4,218,6,0,4,3,3,2,499,0,7,506,0
167,15,305,5,171,7,0,3,1,1,7,515,0,13,528,0
168,11,413,7,376,9,3,3,7,6,10,845,0,21,866,0
169,10,331,3,476,10,1,2,1,4,4,842,0,9,851,0
170,8,275,6,163,4,1,3,0,2,2,464,0,9,473,0
171,7,399,9,113,1,0,4,1,1,2,537,0,5,542,0
172,6,156,4,265,0,1,0,1,1,2,436,0,10,446,0
173,14,495,4,283,3,3,2,3,2,11,820,0,9,829,0
174,5,205,11,212,7,0,2,4,5,4,455,0,6,461,0
175,15,183,14,506,15,4,2,2,1,5,747,0,6,753,0
176,7,437,14,360,7,4,11,8,9,6,863,0,33,896,0
177,9,265,6,534,8,1,5,6,7,12,853,0,36,889,0
178,7,162,14,775,7,1,10,9,11,15,1011,0,13,1024,0
179,8,352,14,153,5,1,21,3,6,3,566,0,6,572,0
180,5,171,6,240,5,2,3,7,3,2,444,0,11,455,0
181,6,136,3,392,4,1,7,4,3,1,557,0,7,564,0
182,8,372,11,662,14,3,5,7,5,9,1096,0,21,1117,0
183,7,234,9,282,4,2,5,10,6,4,563,0,12,575,0
184,5,470,19,288,14,4,4,13,10,12,839,0,40,879,0
185,7,247,7,358,10,1,2,10,7,7,656,0,13,669,0
186,10,106,4,444,5,1,5,5,5,3,588,0,7,595,0
187,6,454,9,92,3,1,19,3,3,5,595,0,15,610,0
188,17,275,11,211,5,0,3,2,8,11,543,0,30,573,0
189,11,275,19,198,7,3,1,7,9,2,532,0,24,556,0
190,2,223,7,282,4,3,9,4,11,7,552,0,15,567,0
191,9,155,15,466,11,3,1,3,7,6,676,0,13,689,0
192,1,83,4,183,5,1,1,4,5,2,289,0,7,296,0
193,3,281,10,69,21,1,0,3,1,1,390,0,2,392,0
194,5,347,2,358,12,4,7,7,9,16,767,0,19,786,0
195,8,455,15,214,8,2,6,8,7,8,731,0,31,762,0
196,14,291,9,379,6,1,1,3,1,6,711,0,10,721,0
197,2,98,5,363,3,0,3,3,1,3,481,0,3,484,0
198,19,312,16,258,1,4,4,2,4,3,623,0,14,637,0
199,4,280,4,214,2,1,5,2,3,0,515,0,8,523,0
200,7,157,3,124,2,2,0,1,1,1,298,0,2,300,0
201,19,814,17,80,2,0,1,9,2,2,946,0,4,950,0
202,10,431,14,45,4,1,6,4,6,9,530,0,18,548,0
203,0,91,1,137,1,0,0,0,1,1,232,0,1,233,0
204,27,637,13,56,7,3,9,11,10,17,790,0,51,841,0
205,4,120,2,154,7,1,1,1,1,2,293,0,5,298,0
206,9,314,8,94,3,0,1,2,3,4,438,0,7,445,0
207,4,139,3,131,1,1,0,2,3,2,286,0,6,292,0
208,1,128,3,203,5,1,4,2,3,2,352,0,3,355,0
209,3,125,4,181,1,0,0,0,0,0,314,0,2,316,0
210,4,141,3,251,6,1,0,2,4,2,414,0,7,421,0
211,10,159,6,216,4,3,2,3,3,14,420,0,23,443,0
212,7,170,8,261,2,0,1,1,1,2,453,0,2,455,0
213,6,423,11,32,2,0,2,3,4,4,487,0,11,498,0
214,5,349,9,136,2,0,1,3,4,4,513,0,5,518,0
215,8,439,12,219,1,2,1,5,7,14,708,0,20,728,0
216,4,230,8,81,1,0,2,3,3,6,338,0,6,344,0
217,11,424,9,93,3,0,1,5,8,5,559,0,22,581,0
218,5,358,8,161,2,1,3,2,3,3,546,0,8,554,0
219,13,641,13,63,3,0,3,3,2,3,744,0,11,755,0
220,11,322,6,200,4,1,2,4,5,9,564,0,19,583,0
221,18,648,14,177,2,4,1,2,4,11,881,0,32,913,0
222,14,572,11,244,6,3,4,5,4,9,872,0,18,890,0
223,10,274,5,196,5,3,3,2,4,6,508,0,10,518,0
224,9,602,14,238,2,2,2,0,4,8,881,0,13,894,0
225,13,674,10,163,7,2,2,11,4,5,891,0,19,910,0
226,8,722,10,60,4,2,6,10,3,5,830,0,13,843,0
227,7,656,11,178,9,7,1,7,2,3,881,0,9,890,0
228,8,574,5,43,3,1,2,3,5,1,645,0,5,650,0
229,3,164,0,243,7,0,0,0,0,0,417,0,6,423,0
230,2,182,2,208,5,0,0,0,0,0,399,0,4,403,0
231,10,88,3,193,8,0,1,0,2,0,305,0,5,310,0
232,7,270,3,366,8,1,1,1,1,1,659,0,9,668,0
233,4,373,10,279,7,0,1,1,7,4,686,0,8,694,0
234,9,416,7,119,3,1,4,3,5,5,572,0,23,595,0
235,12,394,19,287,3,1,3,0,1,3,723,0,11,734,0
236,24,742,18,202,3,2,3,1,9,6,1010,0,15,1025,0
237,7,750,18,136,4,3,4,7,8,14,951,0,29,980,0
238,20,546,13,90,3,1,0,2,3,4,682,0,3,685,0
239,5,535,18,196,10,3,0,4,1,3,775,0,8,783,0
240,3,192,1,132,5,0,2,2,2,2,341,0,9,350,0
241,19,647,9,241,7,2,5,3,2,3,938,0,23,961,0
242,13,374,14,271,3,2,7,7,4,9,704,0,31,735,0
243,2,517,2,69,2,3,1,1,3,3,603,0,8,611,0
244,8,294,4,99,2,0,2,0,0,2,411,0,1,412,0
245,14,406,4,90,1,2,2,2,3,1,525,0,5,530,0
246,12,640,18,184,3,2,0,8,5,9,881,0,30,911,0
247,7,556,12,340,7,1,6,2,0,5,936,0,18,954,0
248,8,530,23,209,10,1,6,6,6,6,805,0,12,817,0
249,6,548,8,142,3,3,6,7,6,4,733,0,8,741,0
250,1,316,5,47,2,3,0,1,6,2,383,0,5,388,0
251,1,39,1,388,1,0,0,0,0,0,430,0,3,433,0
252,1,38,0,179,0,0,0,3,1,1,223,0,1,224,0
253,15,585,23,39,1,1,1,6,3,3,677,0,4,681,0
254,12,510,12,74,3,1,2,4,4,12,634,0,25,659,0
255,21,772,15,117,3,2,4,3,7,4,948,0,13,961,0
256,15,624,20,148,3,4,2,8,2,5,831,0,12,843,0
257,14,485,11,171,2,1,1,2,6,3,696,0,16,712,0
258,7,478,8,71,3,1,0,2,5,5,580,0,12,592,0
259,12,394,8,39,3,3,0,1,8,7,475,0,8,483,0
260,20,759,13,82,1,0,1,7,1,7,891,0,7,898,0
261,17,653,14,102,1,0,1,0,2,5,795,0,10,805,0
262,2,425,7,81,8,1,4,1,5,7,541,0,13,554,0
263,5,482,9,56,1,0,0,6,3,3,565,0,7,572,0
264,13,698,22,59,3,3,2,6,10,12,828,0,40,868,0
265,5,250,7,84,4,2,0,4,2,0,358,0,13,371,0
266,4,501,5,35,3,1,4,1,0,1,555,0,5,560,0
267,10,568,9,73,5,3,6,5,1,6,686,0,17,703,0
268,12,690,14,140,6,3,4,4,3,12,888,0,25,913,0
269,3,370,10,101,1,0,0,5,5,5,500,0,11,511,0
270,10,619,18,76,5,0,3,1,6,3,741,0,16,757,0
271,10,714,16,83,2,0,0,2,6,4,837,0,20,857,0
272,12,602,5,159,4,2,7,3,3,8,805,0,15,820,0
