polling station,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
63,249,107,94,2,0,1,4,4,0,0,0,4,2,1,468,0,4,472,0
64,419,73,16,3,1,0,0,1,0,0,0,2,2,2,519,0,9,528,0
65,181,109,0,5,2,1,1,4,0,3,1,1,1,3,312,0,8,320,0
66,155,67,1,0,1,0,0,0,1,1,1,1,1,0,229,0,5,234,0
67,155,172,2,4,1,0,2,3,0,0,0,1,1,2,343,0,6,349,0
68,207,79,0,1,1,2,1,0,0,0,0,0,0,0,291,0,4,295,0
69,107,97,4,2,1,0,0,0,0,0,1,4,3,3,222,0,8,230,0
70,27,542,26,5,3,1,0,3,1,1,3,3,4,8,627,0,13,640,0
71,205,264,31,5,2,3,3,5,3,3,1,6,3,4,538,0,13,551,0
72,174,238,1,5,0,0,1,0,0,0,1,0,0,3,423,0,6,429,0
73,179,143,3,4,2,1,0,2,0,1,1,2,3,1,342,0,1,343,0
74,97,246,5,4,1,1,2,2,2,2,0,2,3,6,373,0,6,379,0
75,103,158,6,1,3,1,1,1,1,1,0,1,1,2,280,0,5,285,0
76,392,162,17,7,1,2,6,3,1,1,2,1,1,4,600,0,6,606,0
77,192,108,2,0,0,0,2,5,1,0,1,3,1,3,318,0,4,322,0
78,140,116,2,2,0,2,0,1,0,0,0,1,2,1,267,0,3,270,0
79,237,299,17,7,4,1,3,3,1,5,4,7,4,9,601,0,18,619,0
80,95,102,3,0,0,0,0,0,1,1,0,2,0,0,204,0,1,205,0
81,186,154,8,5,2,3,2,3,0,1,1,8,9,9,391,0,25,416,0
82,169,245,2,2,9,1,0,1,1,0,1,4,3,3,441,0,5,446,0
83,258,286,14,6,6,4,2,7,3,2,2,4,4,5,603,0,11,614,0
84,284,173,20,3,1,0,1,3,0,0,2,6,1,2,496,0,8,504,0
85,223,332,3,2,7,4,2,5,6,4,6,11,7,9,621,0,11,632,0
86,240,236,16,2,2,1,2,3,1,1,3,7,1,5,520,0,24,544,0
87,84,407,1,0,14,1,0,0,0,1,5,1,1,0,515,0,20,535,0
88,93,336,3,1,15,0,0,1,0,0,1,0,1,1,452,0,14,466,0
89,88,331,7,2,5,2,1,1,0,0,0,1,0,0,438,0,14,452,0
90,114,376,1,3,6,1,0,0,0,0,0,0,0,1,502,0,12,514,0
91,79,508,8,3,0,2,5,4,4,2,2,4,3,8,632,0,7,639,0
92,286,400,4,1,10,1,3,3,2,2,0,4,2,6,724,0,17,741,0
93,475,298,12,5,7,4,0,1,0,3,1,7,2,5,820,0,25,845,0
94,329,334,0,3,6,1,4,2,1,2,0,2,1,3,688,0,10,698,0
95,304,299,9,3,0,1,0,3,1,1,0,1,3,2,627,0,39,666,0
96,432,353,1,3,8,3,0,4,2,4,2,2,1,5,820,0,19,839,0
97,238,481,7,3,4,0,0,6,1,0,1,5,3,5,754,0,13,767,0
98,224,485,3,2,9,1,1,1,0,2,1,3,2,1,735,0,19,754,0
99,399,301,7,2,4,1,0,2,0,1,1,3,2,4,727,0,27,754,0
100,182,442,8,2,2,1,1,6,1,0,1,1,1,4,652,0,8,660,0
101,711,285,7,11,3,3,4,10,6,1,0,6,7,11,1065,0,48,1113,0
102,476,441,5,12,10,6,1,11,0,5,11,13,8,25,1024,0,38,1062,0
103,280,369,6,2,2,2,2,6,1,0,3,13,6,6,698,0,19,717,0
104,144,402,15,6,7,2,2,12,3,1,1,3,13,6,617,0,23,640,0
105,89,465,7,0,11,1,0,1,0,0,0,1,2,2,579,0,9,588,0
106,149,406,2,2,18,0,2,0,1,0,0,1,0,2,583,0,9,592,0
107,184,539,1,0,11,2,0,1,0,0,1,2,3,2,746,0,14,760,0
108,203,300,4,1,9,1,0,1,0,0,0,0,1,2,522,0,7,529,0
109,140,591,2,1,9,1,0,0,1,0,0,2,1,0,748,0,7,755,0
110,81,370,5,1,15,2,0,0,1,1,2,2,2,2,484,0,9,493,0
111,60,419,2,1,3,0,0,1,1,0,1,2,2,1,493,0,11,504,0
112,163,411,2,0,9,1,0,0,0,0,2,2,1,3,594,0,22,616,0
113,88,256,2,1,3,0,0,0,0,0,1,2,0,3,356,0,12,368,0
114,150,421,2,0,5,0,0,1,0,0,2,0,1,4,586,0,12,598,0
115,101,375,3,1,5,0,1,3,1,3,2,0,2,4,501,0,12,513,0
116,94,457,2,1,12,0,1,0,1,0,1,1,2,2,574,0,20,594,0
117,196,528,4,1,4,1,0,0,0,0,0,1,2,7,744,0,9,753,0
118,200,560,3,1,9,1,1,1,0,1,1,1,5,11,795,0,27,822,0
119,100,529,5,1,7,1,0,1,0,0,0,2,2,0,648,0,9,657,0
120,143,339,3,2,4,1,1,0,0,0,2,2,1,3,501,0,18,519,0
121,205,483,6,2,14,0,0,4,1,0,0,2,0,5,722,0,31,753,0
122,231,443,4,1,5,0,1,2,0,0,0,6,1,6,700,0,8,708,0
123,202,490,2,1,18,1,0,4,1,0,1,5,3,8,736,0,15,751,0
124,224,429,99,0,0,1,0,1,0,1,1,5,4,5,770,0,22,792,0
125,548,95,4,0,12,1,2,2,1,0,2,0,1,2,670,0,23,693,0
126,454,106,3,3,17,1,1,1,0,0,0,3,3,0,592,0,27,619,0
127,518,114,4,2,15,0,0,3,1,0,1,8,5,1,672,0,17,689,0
128,619,121,0,5,15,1,1,2,0,1,0,4,0,4,773,0,29,802,0
129,417,99,0,5,11,2,1,3,0,0,0,5,4,2,549,0,21,570,0
130,584,51,1,3,8,2,0,1,1,0,1,5,3,0,660,0,17,677,0
131,477,97,68,2,0,2,1,1,0,0,0,8,1,6,663,0,34,697,0
132,107,366,3,3,5,1,0,0,0,0,0,0,1,0,486,0,9,495,0
133,87,393,6,1,7,1,1,2,0,1,1,1,0,3,504,0,5,509,0
134,124,254,2,3,13,1,1,1,0,0,0,2,1,0,402,0,19,421,0
135,414,288,1,3,23,2,0,0,0,1,0,4,1,2,739,0,20,759,0
136,96,374,1,0,3,0,0,0,1,1,0,4,2,3,485,0,14,499,0
137,54,469,1,0,4,1,1,0,0,0,0,0,1,2,533,0,8,541,0
138,117,426,1,1,13,0,0,0,1,0,2,1,2,1,565,0,19,584,0
139,77,520,3,1,15,1,0,0,1,1,0,0,1,0,620,0,12,632,0
140,99,390,0,2,5,0,1,0,0,2,0,0,1,2,502,0,6,508,0
141,146,496,2,3,10,1,0,0,1,0,0,0,4,3,666,0,13,679,0
142,251,411,7,5,7,1,3,2,2,0,1,2,2,2,696,0,10,706,0
143,159,518,1,1,11,0,0,3,1,1,1,2,0,4,702,0,16,718,0
144,242,378,11,3,5,1,3,5,0,2,1,2,4,5,662,0,28,690,0
145,93,483,2,1,13,1,1,3,1,0,0,1,0,4,603,0,11,614,0
146,126,522,5,3,15,3,1,1,0,0,0,0,0,0,676,0,18,694,0
147,109,686,2,1,20,0,2,0,0,0,0,2,1,3,826,0,27,853,0
148,210,487,2,3,16,1,1,2,0,0,0,1,3,1,727,0,15,742,0
149,151,476,3,5,11,0,0,1,0,0,0,1,0,3,651,0,13,664,0
150,148,207,1,1,6,0,2,0,1,0,1,2,0,1,370,0,6,376,0
151,156,381,7,0,7,1,0,0,0,0,1,1,2,3,559,0,25,584,0
152,86,461,4,1,15,1,0,0,0,0,0,0,1,0,569,0,16,585,0
153,144,414,3,2,9,1,0,2,1,0,0,1,2,3,582,0,26,608,0
154,101,698,0,4,19,0,0,0,0,0,0,1,0,1,824,0,21,845,0
155,140,599,3,1,6,1,1,0,0,2,0,0,1,3,757,0,15,772,0
156,258,437,2,2,8,3,1,4,2,2,0,1,15,2,737,0,21,758,0
157,137,648,4,0,8,0,1,2,0,2,0,1,1,1,805,0,19,824,0
158,140,453,7,2,7,0,0,1,0,0,0,0,0,1,611,0,18,629,0
159,91,663,4,0,18,1,3,0,1,0,1,0,0,0,782,0,18,800,0
160,155,585,2,4,8,1,2,2,1,0,0,3,1,1,765,0,21,786,0
161,138,568,5,1,15,3,1,1,0,0,0,2,0,0,734,0,17,751,0
162,182,497,3,2,7,2,0,0,0,1,0,1,0,0,695,0,19,714,0
163,87,451,2,3,8,0,0,1,0,0,0,0,0,0,552,0,20,572,0
164,96,433,2,5,4,1,0,2,0,1,1,0,1,0,546,0,11,557,0
165,59,502,1,1,6,0,0,0,2,0,1,0,0,1,573,0,22,595,0
166,86,418,0,1,14,1,0,1,2,0,0,2,0,1,526,0,21,547,0
167,250,302,2,1,11,0,0,0,0,0,0,1,2,2,571,0,26,597,0
168,113,392,3,0,7,1,0,3,0,0,1,1,0,0,521,0,25,546,0
169,113,492,4,1,19,0,0,0,0,0,1,0,1,0,631,0,19,650,0
170,63,451,2,1,8,0,0,1,0,2,0,0,0,1,529,0,32,561,0
171,195,410,3,1,21,1,1,0,1,0,1,2,0,0,636,0,25,661,0
172,142,487,3,2,10,2,0,0,0,1,0,0,1,2,650,0,18,668,0
173,113,579,7,2,8,0,0,0,0,1,2,0,0,0,712,0,25,737,0
174,94,503,3,0,8,1,0,1,0,0,2,1,0,1,614,0,27,641,0
175,101,538,4,0,9,0,1,1,1,2,0,1,0,0,658,0,32,690,0
176,220,424,18,0,3,0,1,1,1,0,2,6,5,3,684,0,18,702,0
177,378,304,30,6,10,0,0,3,1,1,1,5,1,2,742,0,16,758,0
178,544,116,39,5,5,3,3,12,1,1,0,8,0,2,739,0,29,768,0
179,292,375,27,8,7,7,0,3,0,1,1,9,3,1,734,0,9,743,0
180,184,314,5,1,3,2,0,0,3,0,1,1,1,1,516,0,16,532,0
181,177,361,13,3,7,1,0,2,0,2,0,5,0,2,573,0,12,585,0
182,160,402,2,5,9,2,1,1,1,0,1,4,1,3,592,0,9,601,0
183,272,404,5,1,5,2,2,6,3,4,4,5,8,2,723,0,27,750,0
184,247,427,5,2,3,1,0,3,2,0,5,4,6,1,706,0,12,718,0
185,213,486,10,3,4,1,1,4,0,0,0,2,0,4,728,0,10,738,0
186,224,337,11,3,4,1,3,0,1,3,0,3,2,0,592,0,14,606,0
187,312,257,3,1,1,0,2,2,1,1,1,3,3,5,592,0,28,620,0
188,212,305,2,0,2,0,1,1,1,1,1,2,2,4,534,0,7,541,0
189,278,321,6,3,8,1,1,0,1,2,2,0,1,2,626,0,8,634,0
190,231,270,2,1,2,1,2,2,2,0,0,0,1,1,515,0,14,529,0
191,251,279,1,4,5,0,0,2,0,0,1,0,2,2,547,0,11,558,0
192,349,281,77,2,3,3,0,1,1,0,2,2,2,3,726,0,19,745,0
193,245,368,92,3,6,0,3,3,3,1,1,5,3,7,740,0,20,760,0
194,523,120,150,2,8,0,2,1,0,0,0,1,2,3,812,0,22,834,0
195,298,237,3,2,4,3,1,1,0,0,2,0,3,4,558,0,16,574,0
196,219,406,5,1,5,1,1,1,0,0,1,0,2,3,645,0,19,664,0
197,51,175,0,1,4,0,0,0,0,0,0,0,0,0,231,0,3,234,0
198,317,498,4,2,4,0,1,5,0,1,0,0,0,2,834,0,7,841,0
199,298,192,147,6,7,2,1,6,0,1,1,2,3,1,667,0,14,681,0
200,182,398,3,1,15,0,1,7,0,3,1,3,1,0,615,0,13,628,0
201,167,575,10,2,19,2,0,0,1,0,0,0,0,2,778,0,26,804,0
202,92,424,5,1,5,0,1,0,0,0,0,0,0,0,528,0,9,537,0
203,53,251,1,0,5,0,0,0,0,1,0,1,0,0,312,0,10,322,0
204,125,324,10,0,9,1,1,2,2,3,3,1,0,4,485,0,9,494,0
205,206,383,2,2,8,0,0,0,0,1,0,0,0,0,602,0,10,612,0
206,145,411,0,2,8,0,0,0,0,0,0,1,0,1,568,0,15,583,0
207,157,302,3,0,3,0,0,1,2,0,1,1,0,3,473,0,10,483,0
208,256,395,1,3,13,1,0,3,0,0,1,1,0,2,676,0,7,683,0
209,233,451,5,0,11,2,0,0,3,0,0,1,1,3,710,0,10,720,0
210,158,505,5,0,6,1,0,2,0,0,1,3,0,1,682,0,14,696,0
211,130,500,4,1,14,2,0,0,1,0,2,1,0,1,656,0,6,662,0
212,63,494,8,2,8,0,0,0,0,0,1,0,0,1,577,0,12,589,0
213,108,163,5,0,2,1,1,0,0,0,1,1,1,0,283,0,7,290,0
214,176,186,5,1,11,0,0,2,2,0,0,0,2,1,386,0,10,396,0
215,115,277,0,2,11,0,0,1,0,0,0,1,1,1,409,0,15,424,0
216,167,419,12,10,5,3,2,1,1,1,1,2,7,4,635,0,10,645,0
217,199,340,7,3,9,1,0,1,0,0,1,2,2,4,569,0,10,579,0
