polling station,,,,,,,,,,,,,,,,,,,,,,,,
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPA,No. Tendered Votes
84,455,362,4,0,1,0,2,34,0,2,0,0,0,0,1,1,1,0,14,877,0,877,0,0
85,458,331,3,1,0,0,0,35,0,0,0,1,1,0,2,5,1,1,28,866,0,866,0,0
86,447,297,1,2,0,1,2,39,0,0,0,0,0,0,0,0,3,3,25,820,0,820,0,0
87,437,240,1,4,1,0,0,38,0,0,0,1,1,0,0,1,2,3,18,746,0,746,0,0
88,203,150,3,0,0,0,0,14,1,1,0,0,0,0,0,1,0,1,13,387,0,387,0,0
89,471,245,7,1,0,0,2,44,0,0,0,0,0,0,0,4,3,0,19,796,0,796,0,0
90,755,154,1,0,0,0,2,50,0,1,1,0,1,0,0,3,1,0,22,990,0,990,0,0
91,384,398,12,0,0,1,0,27,0,1,0,0,0,0,3,3,0,0,18,847,0,847,0,0
92,494,311,2,0,0,0,0,30,0,0,0,0,0,0,3,3,3,1,18,866,0,866,0,0
93,215,94,3,0,0,1,1,16,0,0,0,0,0,1,0,0,0,2,6,339,0,339,0,0
94,463,183,1,5,0,0,2,22,0,0,0,0,0,0,4,2,1,0,9,692,0,692,0,0
95,244,90,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,11,373,0,373,0,0
96,274,345,21,5,0,0,1,32,0,1,0,1,1,1,0,3,4,1,13,702,0,702,0,0
97,351,219,16,1,0,0,0,29,0,0,0,0,0,0,0,1,2,0,5,624,0,624,0,0
98,246,214,6,0,0,1,2,36,0,0,0,1,1,0,2,0,2,1,11,522,0,522,0,0
99,614,272,1,0,0,0,0,62,0,0,0,0,0,0,0,1,15,8,30,1003,0,1003,0,0
100,303,381,3,0,0,0,0,24,0,0,0,0,0,0,0,1,3,3,11,729,0,729,0,0
101,341,265,9,1,0,0,1,22,0,1,0,0,0,0,2,2,3,0,11,658,0,658,0,0
102,441,299,5,0,1,1,0,43,0,0,1,0,1,0,0,1,9,1,27,830,0,830,0,0
103,536,308,6,1,1,0,5,25,1,0,0,0,0,0,0,4,8,5,24,924,0,924,0,0
104,482,395,8,4,0,2,2,35,0,3,0,0,0,1,1,2,3,2,20,960,0,960,0,0
105,397,154,3,0,0,0,0,25,0,0,0,0,0,0,0,2,1,0,14,596,0,596,0,0
106,385,250,5,1,0,0,2,45,1,0,0,2,2,0,1,1,2,3,17,715,0,715,0,0
107,308,243,1,1,1,0,2,21,0,1,0,0,0,0,0,8,3,2,20,612,0,612,0,0
108,418,304,4,0,0,2,16,15,0,0,0,0,0,0,0,2,1,2,19,783,0,783,0,0
109,289,236,5,4,0,1,5,20,0,1,0,0,0,0,0,1,1,0,12,575,0,575,0,0
110,361,86,1,4,0,0,2,33,0,1,0,0,0,0,2,2,0,0,16,508,0,508,0,0
