polling station,No.of valid votes cast in favour of,,,,,,,,,,,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
92,47,98,0,0,0,0,1,0,0,0,0,146,,2,148,0
93,50,646,3,0,2,0,27,0,0,0,1,729,,17,746,0
94,46,556,1,0,2,0,15,0,0,0,0,620,,12,632,0
95,46,872,0,0,1,0,12,0,0,0,1,932,,26,958,0
96,471,356,1,0,2,1,29,0,0,1,1,862,,26,888,0
97,43,894,1,1,0,0,12,1,0,2,3,957,,26,983,0
98,28,755,0,0,2,0,18,1,0,1,0,805,,15,820,0
99,60,841,1,0,0,1,24,1,0,1,1,930,,35,965,0
100,84,637,6,0,0,0,12,1,2,2,10,754,,16,770,0
101,231,403,6,2,0,0,70,1,0,2,3,718,,18,736,0
102,49,51,1,0,0,0,8,0,0,0,0,109,,1,110,0
103,531,28,0,0,0,0,51,1,0,1,0,612,,13,625,0
104,146,673,5,2,0,1,9,2,1,5,5,849,,19,868,0
105,28,629,4,0,0,0,10,1,1,1,1,675,,20,695,0
106,40,717,2,0,0,1,31,0,0,0,0,791,,36,827,0
107,91,784,1,0,2,1,11,1,0,0,0,891,,29,920,0
108,109,712,5,0,1,1,15,1,0,3,1,848,,22,870,0
109,46,769,2,2,1,0,20,2,0,1,1,844,,33,877,0
110,58,671,1,1,0,0,14,0,0,1,0,746,,25,771,0
111,42,728,3,0,1,0,9,1,0,1,1,786,,29,815,0
112,54,691,2,1,1,0,17,0,0,0,0,766,,23,789,0
113,32,753,1,0,2,1,13,0,0,0,0,802,,21,823,0
114,75,803,1,0,1,1,24,0,0,1,1,907,,24,931,0
115,118,681,3,0,3,2,19,2,1,3,6,838,,23,861,0
116,182,518,1,0,2,0,13,1,1,1,8,727,,12,739,0
117,179,491,2,0,1,1,45,0,0,0,3,722,,13,735,0
118,237,533,0,0,0,0,36,0,0,1,2,809,,28,837,0
119,46,561,2,0,0,0,8,0,2,0,5,624,,17,641,0
120,92,712,3,0,0,1,13,0,1,0,1,823,,27,850,0
121,56,835,0,1,3,1,20,1,0,0,0,917,,30,947,0
122,44,898,0,0,1,0,16,0,2,0,0,961,,25,986,0
123,97,873,2,0,1,0,24,0,0,0,0,997,,28,1025,0
124,50,717,2,2,2,0,23,1,0,0,0,797,,30,827,0
125,31,655,0,0,0,0,21,0,1,1,3,712,,15,727,0
126,154,768,5,0,0,1,12,0,1,2,3,946,,25,971,0
127,37,554,2,0,1,1,14,0,1,0,1,611,,24,635,0
128,118,582,1,1,1,1,12,2,1,0,6,725,,32,757,0
129,29,665,3,0,0,0,12,1,0,0,1,711,,18,729,0
130,30,818,1,0,2,0,19,1,0,0,2,873,,31,904,0
131,228,433,0,1,2,0,33,0,0,0,0,697,,46,743,0
132,103,442,0,0,0,1,29,0,0,0,1,576,,22,598,0
133,111,673,2,1,0,2,11,1,2,1,2,806,,19,825,0
134,189,411,1,1,1,1,20,0,0,0,0,624,,16,640,0
135,93,525,2,0,4,1,22,1,0,0,1,649,,14,663,0
136,47,580,1,0,2,0,7,0,0,0,0,637,,19,656,0
137,27,735,1,0,2,0,14,0,0,1,2,782,,27,809,0
138,74,854,1,3,0,0,30,0,0,0,1,963,,22,985,0
139,93,819,0,0,0,0,19,0,0,0,2,933,,30,963,0
140,68,891,8,0,2,0,8,0,0,1,0,978,,19,997,0
141,85,795,5,1,1,0,15,0,0,1,1,904,,35,939,0
142,53,557,3,0,1,1,14,1,1,2,2,635,,21,656,0
143,64,849,4,3,2,0,25,0,1,0,3,951,,15,966,0
144,44,870,1,0,0,0,20,0,0,0,1,936,,35,971,0
145,60,754,1,0,0,0,31,1,0,0,0,847,,25,872,0
146,77,563,7,0,1,0,14,0,0,4,2,668,,14,682,0
147,343,301,21,4,3,2,10,0,1,2,5,692,,6,698,0
148,54,800,0,1,1,0,23,0,0,0,1,880,,23,903,0
149,47,733,5,0,0,0,23,0,0,1,0,809,,26,835,0
150,35,707,2,0,0,0,21,0,0,0,0,765,,21,786,0
151,67,1005,4,0,0,0,21,1,0,0,0,1098,,15,1113,0
152,312,417,12,1,1,1,8,2,1,1,3,759,,12,771,0
153,111,253,5,1,2,0,8,0,0,1,2,383,,12,395,0
154,272,279,34,2,2,2,14,1,1,1,4,612,,9,621,0
155,97,451,7,1,0,2,8,1,1,3,5,576,,13,589,0
156,308,204,25,1,0,0,18,0,1,1,4,562,,12,574,0
157,98,663,5,1,0,0,37,1,1,0,0,806,,19,825,0
158,57,859,4,0,1,0,24,1,0,1,1,948,,21,969,0
159,50,712,0,0,0,1,23,0,0,0,1,787,,36,823,0
160,110,659,2,1,1,0,9,0,1,1,2,786,,14,800,0
161,39,587,0,0,0,0,5,1,0,0,0,632,,25,657,0
162,75,861,0,0,5,1,26,1,0,1,3,973,,33,1006,0
163,46,792,1,1,0,0,16,0,0,0,0,856,,24,880,0
164,69,843,1,1,1,2,11,0,0,1,1,930,,23,953,0
165,60,791,1,0,3,0,21,0,2,0,1,879,,28,907,0
166,53,651,0,0,0,0,12,2,2,3,4,727,,18,745,0
167,37,707,2,0,0,0,11,0,1,0,1,759,,12,771,0
168,95,576,1,1,0,0,15,1,2,0,2,693,,20,713,0
169,225,303,13,0,1,2,7,1,6,2,6,566,,23,589,0
170,126,686,5,2,3,0,22,1,1,2,4,852,,25,877,0
171,43,798,2,3,2,0,25,0,1,0,3,877,,25,902,0
172,60,940,1,0,1,0,9,0,0,1,1,1013,,22,1035,0
173,240,532,20,7,5,3,22,3,6,3,15,856,,19,875,0
174,93,584,2,2,4,0,10,3,2,4,4,708,,18,726,0
175,84,739,2,0,2,0,19,1,0,0,2,849,,18,867,0
176,50,799,8,3,1,0,7,3,0,1,1,873,,21,894,0
177,181,557,3,1,1,0,12,1,0,0,5,761,,20,781,0
178,131,653,7,1,0,1,17,2,0,1,7,820,,32,852,0
179,43,607,3,0,1,0,18,0,0,1,1,674,,20,694,0
180,60,798,5,0,0,0,19,0,0,1,0,883,,18,901,0
181,28,624,1,0,2,0,15,1,0,0,0,671,,25,696,0
182,49,882,2,0,1,0,12,0,0,0,0,946,,31,977,0
183,39,611,3,1,0,0,10,1,0,0,0,665,,19,684,0
184,41,635,0,1,0,0,18,0,1,1,1,698,,15,713,0
185,41,686,1,1,1,0,9,0,0,0,1,740,,8,748,0
186,43,888,0,1,0,0,12,1,0,0,1,946,,18,964,0
187,164,449,3,1,1,1,17,1,2,2,4,645,,11,656,0
188,332,350,21,1,0,0,22,0,1,0,3,730,,15,745,0
189,190,379,8,3,2,0,12,1,2,5,11,613,,19,632,0
190,195,445,18,0,2,1,12,1,0,11,14,699,,19,718,0
191,454,220,3,0,0,3,19,3,1,2,4,709,,2,711,0
192,327,226,2,3,1,1,14,1,4,3,2,584,,16,600,0
193,157,442,9,1,3,1,5,4,0,1,8,631,,21,652,0
194,199,453,47,0,2,3,22,4,2,8,7,747,,28,775,0
195,74,495,7,2,1,0,8,1,2,6,10,606,,11,617,0
196,89,365,3,0,3,0,12,0,0,2,3,477,,9,486,0
197,165,540,9,0,0,0,18,2,2,6,7,749,,16,765,0
198,60,649,2,0,0,2,12,0,0,4,6,735,,12,747,0
199,38,740,1,1,1,0,9,1,0,1,0,792,,21,813,0
200,44,821,0,0,1,2,21,2,1,0,0,892,,27,919,0
201,44,751,4,2,1,0,9,0,1,0,1,813,,21,834,0
202,52,832,4,0,1,1,18,0,0,0,0,908,,21,929,0
203,82,787,0,0,1,0,26,0,0,0,0,896,,21,917,0
204,34,649,3,0,2,0,8,1,2,0,0,699,,9,708,0
205,176,514,3,1,1,0,19,3,2,4,8,731,,17,748,0
206,69,682,6,1,1,0,12,2,0,0,4,777,,9,786,0
207,159,305,4,1,0,1,11,0,0,0,7,488,,11,499,0
208,61,364,0,1,0,0,8,1,0,0,1,436,,7,443,0
209,36,371,2,1,1,1,7,0,0,0,2,421,,10,431,0
210,75,712,3,0,0,1,20,1,2,1,2,817,,18,835,0
211,73,811,3,0,1,0,21,2,1,0,0,912,,21,933,0
212,77,586,3,0,0,0,26,1,0,1,1,695,,10,705,0
213,49,467,2,1,1,0,9,0,0,0,1,530,,12,542,0
214,40,688,3,0,1,0,14,1,0,0,1,748,,20,768,0
