Serial No of polling station,,,,,,,,,,,,,,,,,,valid,Rejected Votes,Nota,Total,No. of tendered votes
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samratbhai Jerambhai,Chavda Palabhai Nanjibhai,Parmar Prabhubhai Gokalbhai,Parmar Vashrambhai Bavalbhai,Makvana Ukabhai Amrabhai,Makvana Vashrambhai Karshanbhai,Mansinh Shivubha Zala,Vadliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devjibhai,Sapra Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,,,,,
145,210,1,137,4,1,1,0,2,1,2,0,0,1,3,2,8,2,375,0,4,379,0
146,163,9,304,5,1,1,1,2,5,3,3,2,3,10,6,8,11,537,0,9,546,0
147,272,5,333,3,0,1,1,3,0,1,0,0,1,4,6,12,10,652,0,4,656,0
148,11,1,35,2,1,0,0,0,0,0,0,0,0,0,1,0,1,52,0,0,52,0
149,126,8,431,5,0,0,1,2,1,2,0,0,3,3,2,9,7,600,0,13,613,0
150,324,11,174,6,0,1,0,1,2,1,3,1,2,2,7,16,7,558,0,3,561,0
151,286,13,270,8,3,2,0,0,1,0,0,0,3,3,3,13,2,607,0,8,615,0
152,156,6,234,2,1,5,0,2,0,2,3,1,1,5,5,11,4,438,0,6,444,0
153,400,6,126,3,0,1,0,1,0,0,0,1,1,1,3,13,8,564,0,4,568,0
154,254,5,113,1,0,1,1,1,2,1,1,2,2,2,8,5,8,407,0,7,414,0
155,618,11,73,2,1,1,1,1,0,1,2,1,2,0,1,4,10,729,0,1,730,0
156,247,6,83,5,0,0,0,0,1,0,0,1,1,3,2,8,11,368,0,2,370,0
157,139,3,81,0,0,1,0,0,0,0,0,1,1,1,3,2,5,237,0,2,239,0
158,178,1,141,1,2,0,2,1,0,1,1,1,1,2,0,3,1,336,0,0,336,0
159,340,3,187,1,0,2,0,0,0,1,0,0,0,1,0,5,6,546,0,2,548,0
160,206,9,134,2,5,2,0,0,0,1,0,3,2,4,5,10,11,394,0,3,397,0
161,354,10,239,5,1,0,4,3,5,1,3,1,2,4,1,20,12,665,0,12,677,0
162,273,8,227,9,1,1,1,3,0,1,0,2,4,6,7,14,2,559,0,2,561,0
163,270,7,157,3,2,0,1,1,0,2,0,1,3,1,2,9,7,466,0,2,468,0
164,133,5,384,2,0,1,0,1,0,1,1,0,3,3,0,4,1,539,0,5,544,0
165,102,2,298,3,0,1,0,1,0,1,0,0,0,1,2,8,13,432,0,3,435,0
166,335,10,134,5,0,0,1,1,1,2,1,0,3,6,3,9,3,514,0,4,518,0
167,383,6,131,5,1,0,0,1,0,0,1,1,3,1,2,6,12,553,0,4,557,0
168,303,8,136,6,2,0,0,1,2,0,0,1,0,4,3,6,8,480,0,3,483,0
169,137,2,136,2,0,1,1,3,1,0,0,1,1,2,4,7,6,304,0,2,306,0
170,153,5,203,5,0,2,0,1,2,0,4,1,1,3,6,14,4,404,0,13,417,0
171,75,4,285,6,3,2,1,1,1,0,0,0,1,3,3,3,3,391,0,0,391,0
172,209,4,229,4,0,2,1,0,2,0,1,0,2,1,5,13,6,479,0,4,483,0
173,349,9,168,0,1,5,1,2,1,0,2,1,3,1,3,15,8,569,0,2,571,0
174,375,13,149,5,1,0,2,2,2,2,0,0,0,3,4,8,11,577,0,2,579,0
175,137,6,177,3,2,1,1,1,2,0,1,1,1,2,3,6,3,347,0,2,349,0
176,357,4,33,4,0,1,0,1,0,1,1,0,3,1,0,4,4,414,0,2,416,0
177,347,7,307,3,1,1,2,1,1,0,0,2,1,5,4,8,8,698,0,2,700,0
178,315,2,115,3,3,0,2,3,0,0,4,1,3,4,8,14,11,488,0,5,493,0
179,331,7,87,3,1,1,0,0,1,1,1,0,0,0,7,7,4,451,0,1,452,0
180,270,3,165,4,0,0,0,1,0,1,0,1,0,3,2,7,7,464,0,2,466,0
181,322,3,46,6,0,0,0,2,1,0,0,1,2,1,1,8,21,414,0,2,416,0
182,137,3,102,2,2,0,0,0,1,5,2,0,0,5,0,10,4,273,0,4,277,0
183,404,17,217,3,2,0,1,0,2,0,4,3,2,4,2,7,10,678,0,5,683,0
184,301,6,248,2,2,0,1,0,1,1,0,0,0,1,1,6,5,575,0,2,577,0
185,399,6,163,4,1,2,1,0,1,3,2,1,3,2,5,10,11,614,0,6,620,0
186,11,0,390,2,0,0,0,0,0,0,0,0,0,0,0,1,0,404,0,0,404,0
187,122,5,116,2,0,0,1,0,1,0,0,1,1,1,3,4,3,260,0,0,260,0
188,137,2,403,4,1,0,0,1,0,1,0,1,3,9,3,3,9,577,0,2,579,0
189,346,1,114,1,1,0,0,0,0,0,1,1,0,1,1,3,4,474,0,3,477,0
190,313,5,118,3,1,0,0,1,2,2,1,4,1,3,5,13,10,482,0,8,490,0
191,360,1,50,3,1,0,1,1,3,1,0,1,1,1,1,6,10,441,0,0,441,0
192,217,4,322,5,1,0,0,1,0,0,1,1,2,2,0,2,7,565,0,6,571,0
193,5,0,30,0,0,0,0,2,0,0,0,0,0,2,0,2,0,41,0,1,42,0
194,92,4,139,4,0,1,1,0,1,2,0,1,2,4,5,13,5,274,0,3,277,0
195,139,8,144,7,1,1,1,2,1,0,1,3,4,2,2,10,10,336,0,6,342,0
196,151,7,138,1,1,0,4,3,4,1,0,0,1,0,6,7,12,336,0,2,338,0
197,267,4,119,3,0,0,2,4,2,0,1,5,2,4,7,14,15,449,0,1,450,0
198,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
199,240,4,117,2,1,0,0,0,0,0,0,0,0,0,0,5,3,372,0,2,374,0
200,212,2,118,2,0,3,1,3,4,0,1,0,3,3,3,5,3,363,0,1,364,0
201,306,8,183,5,0,0,1,0,2,0,0,2,0,0,0,7,8,522,0,2,524,0
202,246,1,187,6,2,0,2,1,2,0,1,1,4,5,4,10,15,487,0,4,491,0
203,242,3,172,6,8,1,3,0,2,0,0,1,5,5,7,7,7,469,0,2,471,0
204,285,4,159,2,1,1,1,0,1,1,0,0,0,1,1,0,3,460,0,4,464,0
205,107,5,41,2,1,0,0,0,1,0,1,0,1,1,2,3,4,169,0,0,169,0
206,21,3,73,5,0,0,0,0,1,1,0,0,0,0,0,0,0,104,0,3,107,0
207,264,5,312,6,1,1,1,0,2,3,1,3,3,3,0,10,14,629,0,5,634,0
208,298,7,269,9,2,4,2,1,1,0,1,0,4,0,4,7,9,618,0,4,622,0
209,244,6,254,8,0,1,0,1,1,0,1,2,1,1,6,9,8,543,0,5,548,0
210,315,10,325,5,2,0,0,4,2,0,0,2,3,8,6,13,4,699,0,9,708,0
211,64,4,231,4,1,0,0,0,0,0,1,1,0,2,0,2,1,311,0,0,311,0
212,111,4,443,4,1,1,0,2,1,0,0,0,1,1,1,4,5,579,0,2,581,0
213,134,2,126,2,0,0,0,1,1,0,0,1,1,4,0,3,3,278,0,3,281,0
214,132,3,123,3,0,0,0,0,0,0,0,1,2,2,0,5,3,274,0,4,278,0
215,88,3,339,8,0,4,1,0,2,0,0,1,2,4,1,3,1,457,0,3,460,0
216,143,5,125,2,1,0,1,1,2,0,0,0,0,0,0,11,3,294,0,1,295,0
217,104,5,324,6,2,2,0,1,1,2,1,2,1,4,3,11,8,477,0,11,488,0
218,177,4,151,4,0,0,1,2,0,0,0,1,1,1,3,8,2,355,0,5,360,0
219,186,7,96,2,1,0,1,1,1,1,0,0,1,4,2,12,2,317,0,0,317,0
220,66,8,312,2,0,0,4,1,0,0,1,2,18,6,6,5,5,436,0,8,444,0
221,185,2,156,3,0,0,0,0,1,0,0,1,0,2,6,11,9,376,0,5,381,0
222,257,5,61,2,0,2,1,0,0,0,1,1,2,2,3,5,4,346,0,6,352,0
223,152,5,155,2,2,0,2,0,0,0,0,1,0,11,1,4,4,339,0,1,340,0
224,113,5,145,7,1,0,0,0,0,0,0,1,1,1,0,7,1,282,0,2,284,0
225,142,4,285,25,0,1,1,1,0,1,2,0,1,1,2,5,2,473,0,5,478,0
226,239,6,435,11,0,0,0,0,0,1,1,0,3,2,2,8,8,716,0,5,721,0
227,247,8,342,8,1,2,0,1,3,0,1,2,2,4,6,8,8,643,0,7,650,0
228,141,6,220,2,1,3,0,1,1,0,0,0,0,4,3,8,4,394,0,6,400,0
229,102,3,331,5,1,0,0,0,1,0,0,1,3,5,2,6,6,466,0,3,469,0
230,67,1,303,7,0,0,0,0,0,0,0,1,1,0,2,3,3,388,0,4,392,0
231,139,4,418,14,0,0,0,1,1,0,1,0,1,1,3,3,3,589,0,7,596,0
232,101,8,524,4,2,0,0,1,1,0,0,0,0,6,1,5,5,658,0,4,662,0
233,145,1,431,9,0,0,1,0,0,0,0,1,0,5,0,6,4,603,0,8,611,0
234,25,3,662,5,0,0,1,0,0,0,0,0,0,3,3,4,9,715,0,15,730,0
235,280,7,225,10,0,0,0,0,0,0,0,1,0,1,2,8,14,548,0,13,561,0
236,258,1,344,4,0,3,1,2,1,0,0,0,1,2,1,6,5,629,0,4,633,0
237,186,2,113,13,1,0,1,1,0,0,1,1,2,3,1,11,2,338,0,0,338,0
238,209,6,93,12,0,1,1,1,1,0,1,0,1,11,1,5,4,347,0,8,355,0
239,179,3,103,1,0,1,1,0,0,0,1,0,0,2,1,4,3,299,0,3,302,0
240,81,1,246,3,0,0,0,1,0,0,0,0,0,2,0,0,0,334,0,4,338,0
241,185,3,138,2,2,0,0,1,1,1,0,0,0,2,3,8,6,352,0,8,360,0
242,254,5,283,18,0,3,0,1,0,1,0,0,0,1,0,4,6,576,0,5,581,0
243,294,8,298,35,0,0,1,1,0,1,1,2,0,3,3,5,12,664,0,1,665,0
244,202,4,310,5,0,0,0,1,4,1,0,2,3,2,2,9,4,549,0,8,557,0
245,277,8,226,7,1,1,0,0,0,1,1,0,2,3,3,19,9,558,0,4,562,0
246,345,11,234,5,2,1,1,4,2,1,0,0,4,6,7,13,11,647,0,5,652,0
247,337,6,217,6,1,2,0,1,0,0,3,0,2,9,10,14,17,625,0,9,634,0
248,280,5,214,3,2,0,1,1,1,1,0,1,2,2,5,8,9,535,0,7,542,0
249,14,2,299,2,2,0,0,0,0,0,0,0,1,1,1,0,2,324,0,0,324,0
250,303,5,272,5,1,0,2,1,0,0,0,0,1,5,2,8,20,625,0,3,628,0
251,293,17,279,5,2,1,4,2,0,0,2,4,2,6,5,12,8,642,0,3,645,0
252,74,9,340,4,1,2,0,2,1,1,3,4,3,2,3,6,10,465,0,8,473,0
253,266,5,219,4,2,2,0,4,1,2,1,1,0,4,1,11,1,524,0,2,526,0
254,279,6,219,2,0,0,0,1,0,0,0,0,2,2,4,5,11,531,0,1,532,0
255,113,5,143,1,0,0,0,1,1,0,0,0,1,1,2,3,6,277,0,0,277,0
256,96,5,154,0,0,0,0,0,0,0,0,0,0,1,2,3,2,263,0,1,264,0
257,308,6,212,5,0,2,0,1,2,0,0,0,5,0,7,5,2,555,0,2,557,0
258,370,6,180,5,0,1,0,1,0,1,0,1,1,0,5,7,13,591,0,3,594,0
259,355,6,348,6,2,1,1,4,1,0,1,0,1,3,4,18,4,755,0,5,760,0
260,238,5,251,9,1,0,0,1,3,0,2,1,3,4,4,5,10,537,0,8,545,0
261,266,9,249,14,1,0,4,2,0,0,1,1,2,2,5,14,11,581,0,13,594,0
262,246,5,159,1,0,0,0,0,0,0,1,0,0,6,1,9,8,436,0,4,440,0
263,124,1,122,2,0,3,0,1,0,1,0,1,3,2,0,10,3,273,0,4,277,0
264,295,2,145,0,1,0,0,0,0,0,0,1,3,0,1,7,17,472,0,9,481,0
265,94,9,155,3,1,1,1,3,2,0,1,2,6,6,6,15,9,314,0,9,323,0
266,106,5,160,2,0,0,2,0,2,3,1,0,0,2,6,5,5,299,0,3,302,0
267,189,2,178,4,2,0,2,1,0,0,2,2,9,1,4,6,4,406,0,3,409,0
268,155,10,463,4,0,0,1,3,0,1,1,2,4,7,2,5,7,665,0,9,674,0
269,334,7,297,15,1,0,0,2,2,0,0,0,1,4,4,11,14,692,0,8,700,0
270,60,1,262,2,2,0,1,1,0,0,2,0,1,4,3,9,4,352,0,4,356,0
271,195,5,109,2,1,0,0,0,0,0,0,0,1,0,1,5,10,329,0,0,329,0
272,131,7,293,9,0,2,1,0,1,2,1,2,2,2,1,6,4,464,0,2,466,0
273,74,2,332,8,0,0,0,0,0,2,0,0,1,4,7,4,4,438,0,7,445,0
274,78,4,412,2,1,3,2,0,2,1,0,1,1,4,2,2,6,521,0,11,532,0
275,139,5,536,8,3,0,0,4,3,1,5,3,5,3,7,23,12,757,0,15,772,0
276,283,7,191,5,2,0,1,2,1,0,0,3,2,3,5,15,18,538,0,3,541,0
277,295,7,171,4,1,0,1,0,1,0,2,1,2,2,6,10,17,520,0,10,530,0
278,300,7,267,4,0,1,1,1,1,2,0,1,0,3,6,11,18,623,0,10,633,0
279,406,10,233,7,1,0,0,2,1,1,0,0,1,3,4,8,11,688,0,6,694,0
280,230,8,112,4,1,0,0,0,2,0,0,0,0,2,3,2,8,372,0,5,377,0
