Sr.No of Polling Station,No.of Valid Votes Cast Favour of,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Voted,,Total,No.Tendred Votes
,KOLIPATEL SOMABHAI GANDABHAI,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVJIBHAI GOVINDBHAI,PATEL JETHABHAI MANJIBHAI,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVADA PALABHAI NANJIBHAI,PARMAR PARBHUBHAI GOKABHAI,PARMARVASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRATBHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,ZALA MANSINH SHIVUBHA ,VADALIYA KALUBHAI MALUBHAI,VAGEHLA PRAKASHBHAI BACHUBHAI,VORA BHAVABHAI DEVABHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI ,,,NOTA,,
189,182,6,160,3,1,0,2,2,0,0,1,0,2,2,4,8,3,376,,1,377,
190,186,7,140,5,1,1,0,4,0,0,0,1,2,8,2,8,7,372,,3,375,
191,218,10,328,9,3,2,0,4,0,2,0,2,6,5,2,11,5,607,,2,609,
192,93,5,209,3,0,0,0,0,0,0,0,0,2,1,2,9,5,329,,8,337,
193,162,11,341,7,0,2,0,1,0,0,1,1,5,5,3,7,3,549,,8,557,
194,148,5,295,1,0,0,0,1,1,1,3,1,1,0,2,8,2,469,,1,470,
195,135,6,250,2,1,0,1,1,1,1,1,0,0,0,2,7,11,419,,9,428,
196,114,12,428,12,1,2,1,2,0,0,1,1,6,10,4,10,9,613,,9,622,
197,95,0,178,5,0,1,0,0,0,1,0,0,1,0,0,6,2,289,,2,291,
198,80,1,161,1,1,0,2,0,1,0,0,0,0,3,3,7,2,262,,4,266,
199,60,7,252,7,2,1,0,0,2,1,1,0,2,4,3,11,7,360,,3,363,
200,143,4,131,4,0,1,0,1,0,1,1,0,0,3,0,3,0,292,,2,294,
201,199,1,150,2,2,0,0,1,0,0,1,1,4,3,2,5,4,375,,1,376,
202,168,5,114,8,0,0,1,0,0,1,0,0,3,3,2,5,8,318,,7,325,
203,111,3,292,4,0,1,1,0,2,0,2,1,2,11,1,5,1,437,,5,442,
204,221,0,155,4,3,0,0,1,0,0,0,0,0,1,2,9,2,398,,6,404,
205,118,4,402,3,2,0,1,0,0,2,1,0,2,4,4,6,7,556,,5,561,
206,197,5,131,5,0,0,0,3,0,0,1,0,2,1,1,6,4,356,,9,365,
207,68,6,167,3,1,0,0,0,1,1,2,2,1,4,0,6,1,263,,3,266,
208,310,1,166,5,0,0,0,1,0,1,0,1,0,3,0,4,1,493,,1,494,
209,92,3,207,3,0,1,0,0,0,0,1,0,0,1,5,6,3,322,,0,322,
210,281,3,95,2,0,0,0,1,1,0,2,0,1,1,3,7,6,403,,2,405,
