polling station,,,,,,,,,,,,,,,valid,No. of Rejected Votes,NOTA,Total,No. of Tendered Voters
,Patel Himmatsingh Prahladsingh,Paresh Rawal ,Rohit Rajubhai Virjibhai  Alias Manojbhai Sontariya,Aditya Raval,Khalifa Samsuddin Nasiruddin (Jugnu),Dutt Aakash - Advocate,Dinesh Vaghela,Naranbhai T. Sengal (Dr. N.T. Sengal),Buddhpriya Jasvant Somabhai ,Vijaykumar M. Vadhel ,Atikbhai Mev ,Anilkumar Sharma,Dashrathbhai M. Devda,Roshan Priyavadan Shah,,,,,
45,70,719,2,1,0,0,2,0,0,1,0,0,2,0,797,0,4,801,
46,64,897,4,0,1,1,3,1,0,1,0,0,1,2,975,0,13,988,
47,73,523,0,1,0,0,9,0,0,0,0,0,2,1,609,0,9,618,
48,42,844,2,0,0,0,5,0,0,0,0,0,1,0,894,0,6,900,
49,227,399,4,2,0,1,1,3,0,2,4,4,3,10,660,0,13,673,
50,167,523,5,1,0,0,2,0,1,2,1,3,16,11,732,0,32,764,
51,212,317,3,0,1,0,0,0,1,1,3,2,5,7,552,0,13,565,
52,192,213,0,0,1,0,1,0,0,0,4,1,2,2,416,0,2,418,
53,61,375,2,0,0,0,13,1,0,0,0,0,2,1,455,0,0,455,
54,76,662,2,0,1,0,3,0,0,0,1,0,2,0,747,0,6,753,
55,67,500,3,0,0,0,5,1,0,0,1,0,1,3,581,0,6,587,
56,63,429,3,0,0,1,8,0,0,0,1,1,0,0,506,0,5,511,
57,30,616,1,0,0,0,2,0,0,0,0,0,0,1,650,0,5,655,
58,37,732,1,0,0,1,5,0,0,0,0,0,0,0,776,0,3,779,
59,33,888,1,0,0,0,9,0,0,0,0,1,0,0,932,0,6,938,
60,82,704,2,0,0,0,5,1,0,1,0,1,1,2,799,0,10,809,
61,57,530,2,0,0,0,4,0,0,0,0,0,0,0,593,0,3,596,
62,37,381,0,0,0,0,3,0,0,0,0,0,0,2,423,0,7,430,
63,102,495,7,0,0,0,6,0,0,0,0,0,0,0,610,0,7,617,
64,92,593,1,1,0,1,4,0,0,1,1,1,0,0,695,0,7,702,
65,80,714,4,2,0,0,4,0,0,0,0,1,3,0,808,0,7,815,
66,90,644,5,1,0,0,4,0,0,0,1,0,1,4,750,0,11,761,
67,73,789,2,0,0,0,17,0,0,0,0,2,0,1,884,0,9,893,
68,77,868,3,0,0,1,1,0,0,0,0,0,0,1,951,0,7,958,
69,235,316,5,0,0,0,1,2,0,0,1,1,1,5,567,0,9,576,
70,160,348,4,1,1,0,3,0,0,1,0,2,2,5,527,0,11,538,
71,58,913,2,2,1,0,8,0,0,1,0,0,0,0,985,0,7,992,
72,129,650,6,1,0,2,10,2,0,0,0,1,3,4,808,0,13,821,
73,64,489,3,0,1,0,9,0,1,1,0,0,2,2,572,0,6,578,
74,49,512,4,0,0,0,10,0,1,1,0,0,1,1,579,0,5,584,
75,57,336,0,1,0,0,10,0,0,0,3,0,0,0,407,0,4,411,
76,52,413,6,0,0,0,7,0,1,0,1,0,0,2,482,0,5,487,
77,143,562,7,1,0,3,17,0,1,2,1,1,2,3,743,0,10,753,
78,65,655,2,2,0,1,6,0,0,0,0,0,2,2,735,0,10,745,
79,99,812,12,0,0,0,7,1,0,1,1,0,0,5,938,0,6,944,
80,197,576,7,2,0,2,18,1,2,2,0,3,1,0,811,0,4,815,
81,177,361,3,0,0,0,2,0,0,1,2,0,0,0,546,0,6,552,
82,70,446,2,1,0,0,5,0,0,0,1,0,1,1,527,0,3,530,
83,344,140,1,0,0,0,7,0,0,0,0,0,0,0,492,0,7,499,
84,328,28,0,1,0,0,11,0,1,1,1,0,0,0,371,0,9,380,
85,618,58,2,0,2,1,12,1,0,0,2,1,4,1,702,0,9,711,
86,584,241,5,1,0,2,5,1,2,1,1,2,5,7,857,0,36,893,
87,598,23,1,0,1,0,1,0,0,2,0,0,0,1,627,0,9,636,
88,208,467,4,0,0,1,0,2,0,1,1,0,3,6,693,0,16,709,
89,376,353,5,1,0,0,2,0,0,0,1,0,4,7,749,0,19,768,
90,142,573,5,2,3,0,1,2,0,1,0,0,5,5,739,0,13,752,
91,746,50,2,1,1,0,4,0,0,0,0,0,2,0,806,0,8,814,
92,432,37,1,0,1,1,9,0,0,1,0,0,0,2,484,0,5,489,
93,400,22,0,1,0,0,4,0,1,0,1,0,1,3,433,0,7,440,
