Serial No. of Polling Station,No. of valid votes cast in favour of,,,,Total of valid votes,No. of rejected votes,NOTA 5,Total,No. of tendered votes
54,472,302,8,1,783,0,4,787,0
55,201,433,7,2,643,0,4,647,0
56,356,460,4,0,820,0,8,828,0
57,196,627,7,2,832,0,8,840,0
58,281,356,5,1,643,0,6,649,0
59,494,365,15,4,878,0,7,885,0
60,271,422,8,4,705,0,7,712,0
61,161,600,19,14,794,0,22,816,0
62,223,271,8,2,504,0,3,507,0
63,79,145,8,0,232,0,11,243,0
64,228,438,11,2,679,0,11,690,0
65,361,310,4,1,676,0,6,682,0
66,135,293,8,5,441,0,20,461,0
67,111,347,6,6,470,0,10,480,0
68,238,77,4,3,322,0,19,341,0
69,295,412,20,6,733,0,14,747,0
70,273,77,5,2,357,0,7,364,0
71,415,204,6,3,628,0,16,644,0
72,209,520,19,10,758,0,24,782,0
73,309,392,6,3,710,0,10,720,0
74,340,175,10,7,532,0,23,555,0
75,44,371,6,2,423,0,4,427,0
76,219,291,4,7,521,0,6,527,0
77,278,126,2,2,408,0,6,414,0
78,255,497,10,6,768,0,23,791,0
79,386,465,6,4,861,0,12,873,0
80,135,369,40,5,549,0,8,557,0
81,127,222,10,1,360,0,4,364,0
82,387,259,5,4,655,0,14,669,0
83,187,206,5,2,400,0,12,412,0
84,45,135,1,0,181,0,1,182,0
85,202,187,3,1,393,0,10,403,0
86,363,417,19,13,812,0,41,853,0
87,162,192,4,4,362,0,2,364,0
88,266,202,7,2,477,0,14,491,0
89,341,418,6,1,766,0,10,776,0
90,247,357,7,7,618,0,4,622,0
91,132,211,8,4,355,0,15,370,0
92,115,99,2,0,216,0,4,220,0
93,220,119,5,4,348,0,38,386,0
94,264,402,9,8,683,0,14,697,0
95,143,363,11,4,521,0,10,531,0
96,236,363,10,8,617,0,16,633,0
97,318,277,13,6,614,0,20,634,0
98,120,47,4,3,174,0,4,178,0
99,636,58,4,0,698,0,5,703,0
100,162,484,5,5,656,0,7,663,0
101,235,335,9,1,580,0,6,586,0
102,193,286,5,3,487,0,9,496,0
103,90,573,4,7,674,0,14,688,0
104,142,435,2,0,579,0,4,583,0
105,127,416,19,6,568,0,13,581,0
106,293,265,9,6,573,0,18,591,0
107,137,175,6,5,323,0,5,328,0
108,324,160,12,9,505,0,17,522,0
109,171,545,11,5,732,0,15,747,0
110,196,114,3,4,317,0,6,323,0
111,41,18,3,5,67,0,91,158,0
112,127,435,4,3,569,0,5,574,0
113,214,306,15,6,541,0,24,565,0
114,201,301,4,8,514,0,24,538,0
115,75,179,2,1,257,0,4,261,0
116,454,211,8,13,686,0,33,719,0
117,280,211,0,2,493,0,5,498,0
118,395,303,8,9,715,0,23,738,0
119,266,165,8,14,453,0,23,476,0
120,234,108,7,9,358,0,15,373,0
121,133,404,6,9,552,0,22,574,0
122,151,58,7,3,219,0,11,230,0
123,300,201,9,10,520,0,10,530,0
124,213,618,21,13,865,0,24,889,0
125,174,223,10,3,410,0,12,422,0
126,235,535,25,18,813,0,33,846,0
127,115,511,27,6,659,0,29,688,0
128,51,373,13,9,446,0,10,456,0
129,145,291,6,10,452,0,9,461,0
130,84,166,4,0,254,0,4,258,0
131,88,186,3,7,284,0,7,291,0
132,303,343,6,7,659,0,9,668,0
133,124,44,2,1,171,0,3,174,0
134,161,120,3,4,288,0,13,301,0
135,243,202,3,7,455,0,16,471,0
136,41,132,2,0,175,0,9,184,0
137,93,298,8,6,405,0,8,413,0
138,129,228,5,3,365,0,11,376,0
139,150,198,2,1,351,0,1,352,0
140,98,255,11,7,371,0,15,386,0
141,61,112,4,4,181,0,0,181,0
142,197,441,15,13,666,0,19,685,0
143,109,217,7,4,337,0,12,349,0
144,99,75,7,4,185,0,5,190,0
145,160,249,7,4,420,0,18,438,0
146,128,212,6,5,351,0,4,355,0
147,177,132,2,1,312,0,6,318,0
148,336,135,5,1,477,0,7,484,0
149,300,191,4,4,499,0,16,515,0
150,252,188,3,7,450,0,5,455,0
151,147,242,3,1,393,0,10,403,0
152,231,296,5,8,540,0,9,549,0
153,54,387,12,2,455,0,5,460,0
154,30,263,5,5,303,0,5,308,0
155,237,386,8,2,633,0,5,638,0
156,172,241,3,5,421,0,4,425,0
157,271,237,10,5,523,0,13,536,0
158,351,373,9,5,738,0,19,757,0
159,297,292,7,10,606,0,17,623,0
160,177,266,5,4,452,0,13,465,0
161,314,384,17,8,723,0,35,758,0
162,257,136,3,5,401,0,11,412,0
163,51,268,5,5,329,0,1,330,0
164,203,330,8,6,547,0,27,574,0
165,212,454,9,7,682,0,24,706,0
166,324,228,9,6,567,0,3,570,0
167,145,433,18,13,609,0,27,636,0
168,219,322,11,3,555,0,6,561,0
169,264,239,18,7,528,0,16,544,0
170,320,441,53,16,830,0,38,868,0
171,234,426,22,11,693,0,16,709,0
172,76,420,12,3,511,0,2,513,0
173,340,298,17,7,662,0,4,666,0
174,245,189,6,8,448,0,9,457,0
175,186,241,4,9,440,0,7,447,0
176,143,410,21,8,582,0,20,602,0
177,179,560,180,17,936,0,41,977,0
178,166,271,7,3,447,0,6,453,0
179,70,156,2,0,228,0,5,233,0
180,283,299,6,3,591,0,9,600,0
181,374,261,3,2,640,0,21,661,0
182,192,182,3,2,379,0,9,388,0
183,52,201,8,2,263,0,0,263,0
184,111,383,12,1,507,0,17,524,0
185,77,389,2,2,470,0,6,476,0
186,126,413,12,3,554,0,14,568,0
187,122,163,3,2,290,0,17,307,0
188,217,224,7,2,450,0,3,453,0
189,324,201,5,5,535,0,4,539,0
190,275,208,7,3,493,0,11,504,0
191,50,235,3,2,290,0,5,295,0
192,222,405,8,3,638,0,5,643,0
193,126,119,3,2,250,0,7,257,0
194,149,149,3,2,303,0,1,304,0
195,164,210,5,3,382,0,6,388,0
196,106,214,5,1,326,0,8,334,0
197,101,358,7,4,470,0,6,476,0
198,196,329,12,10,547,0,8,555,0
199,1,74,3,0,78,0,3,81,0
200,171,110,1,1,283,0,5,288,0
201,15,216,4,3,238,0,3,241,0
202,74,242,4,2,322,0,3,325,0
203,72,58,1,2,133,0,0,133,0
204,138,237,3,0,378,0,7,385,0
205,43,194,3,1,241,0,4,245,0
206,49,179,3,5,236,0,1,237,0
207,53,292,3,0,348,0,3,351,0
208,296,279,8,2,585,0,12,597,0
209,313,138,11,0,462,0,15,477,0
210,451,14,24,2,491,0,10,501,0
211,228,35,4,1,268,0,21,289,0
212,411,213,9,9,642,0,12,654,0
213,110,517,3,6,636,0,5,641,0
214,274,249,5,10,538,0,16,554,0
215,221,29,1,2,253,0,13,266,0
216,123,134,4,6,267,0,13,280,0
217,373,452,21,16,862,0,21,883,0
218,242,55,3,2,302,0,12,314,0
219,97,430,8,4,539,0,13,552,0
220,252,267,10,3,532,0,12,544,0
221,280,155,9,12,456,0,18,474,0
222,290,384,16,8,698,0,32,730,0
223,431,355,21,6,813,0,18,831,0
224,287,525,27,12,851,0,38,889,0
225,179,197,6,3,385,0,4,389,0
226,215,112,6,1,334,0,9,343,0
227,104,492,15,7,618,0,7,625,0
228,262,595,18,17,892,0,23,915,0
229,178,316,25,12,531,0,16,547,0
230,232,317,3,0,552,0,8,560,0
231,290,260,5,1,556,0,4,560,0
232,355,364,23,9,751,0,25,776,0
233,624,218,7,1,850,0,5,855,0
234,324,413,9,11,757,0,15,772,0
235,256,354,17,12,639,0,30,669,0
236,142,147,19,2,310,0,7,317,0
237,348,250,4,3,605,0,6,611,0
238,240,201,20,7,468,0,12,480,0
239,343,394,12,6,755,0,26,781,0
240,304,291,9,7,611,0,21,632,0
241,475,147,21,13,656,0,32,688,0
242,77,415,17,12,521,0,12,533,0
243,273,110,8,9,400,0,14,414,0
244,76,185,10,2,273,0,7,280,0
245,212,113,3,1,329,0,4,333,0
246,293,192,4,5,494,0,12,506,0
247,113,256,23,7,399,0,9,408,0
248,193,168,10,4,375,0,7,382,0
249,143,287,5,4,439,0,23,462,0
250,172,394,3,4,573,0,9,582,0
251,159,271,9,6,445,0,10,455,0
252,32,245,12,4,293,0,5,298,0
253,244,264,18,10,536,0,10,546,0
254,159,382,15,6,562,0,11,573,0
255,313,161,5,7,486,0,14,500,0
256,16,179,3,2,200,0,7,207,0
257,304,70,10,9,393,0,22,415,0
258,176,130,7,6,319,0,11,330,0
259,89,173,5,8,275,0,8,283,0
260,62,207,6,7,282,0,6,288,0
261,200,121,9,3,333,0,5,338,0
262,157,107,8,3,275,0,10,285,0
263,461,150,10,3,624,0,7,631,0
264,21,89,4,3,117,0,4,121,0
265,222,63,5,4,294,0,7,301,0
266,314,154,6,2,476,0,19,495,0
267,135,267,15,5,422,0,12,434,0
268,360,146,5,3,514,0,15,529,0
269,206,231,7,15,459,0,29,488,0
270,175,163,6,5,349,0,13,362,0
271,190,198,12,3,403,0,15,418,0
272,269,153,16,5,443,0,12,455,0
273,397,151,10,7,565,0,18,583,0
274,310,258,12,8,588,0,22,610,0
275,162,472,6,1,641,0,17,658,0
276,368,268,10,10,656,0,24,680,0
277,238,178,6,6,428,0,6,434,0
278,302,387,20,7,716,0,35,751,0
279,271,276,5,0,552,0,8,560,0
280,90,216,8,2,316,0,3,319,0
281,117,249,15,8,389,0,22,411,0
282,260,516,11,7,794,0,13,807,0
283,200,299,12,1,512,0,26,538,0
284,203,306,10,5,524,0,9,533,0
285,183,117,5,3,308,0,4,312,0
286,272,195,12,6,485,0,8,493,0
287,315,412,31,33,791,0,30,821,0
288,35,273,5,2,315,0,8,323,0
289,454,311,19,10,794,0,28,822,0
290,217,159,3,6,385,0,14,399,0
291,176,395,29,13,613,0,52,665,0
292,191,303,23,12,529,0,32,561,0
293,175,189,13,7,384,0,24,408,0
294,231,183,6,3,423,0,4,427,0
295,602,274,12,7,895,0,17,912,0
296,179,193,8,6,386,0,7,393,0
297,217,91,5,1,314,0,13,327,0
298,197,153,4,4,358,0,11,369,0
299,364,268,17,6,655,0,27,682,0
300,453,274,23,14,764,0,33,797,0
301,322,193,19,8,542,0,9,551,0
302,142,172,6,0,320,0,4,324,0
303,260,61,12,3,336,0,9,345,0
304,402,87,9,6,504,0,19,523,0
305,137,272,3,3,415,0,5,420,0
306,154,185,2,2,343,0,11,354,0
307,76,233,17,8,334,0,16,350,0
308,160,200,22,8,390,0,20,410,0
309,233,112,3,4,352,0,13,365,0
310,87,337,34,13,471,0,73,544,0
311,114,299,25,18,456,0,39,495,0
312,201,325,37,30,593,0,66,659,0
313,211,267,12,6,496,0,9,505,0
314,90,195,8,2,295,0,9,304,0
315,82,190,13,3,288,0,5,293,0
316,244,374,15,12,645,0,8,653,0
317,270,246,2,6,524,0,14,538,0
318,181,171,6,5,363,0,13,376,0
319,237,111,10,3,361,0,3,364,0
320,208,70,5,2,285,0,15,300,0
321,339,245,6,3,593,0,5,598,0
322,446,271,24,7,748,0,33,781,0
323,200,214,9,2,425,0,9,434,0
324,142,142,6,2,292,0,12,304,0
325,169,241,11,4,425,0,11,436,0
326,239,311,12,10,572,0,13,585,0
327,425,224,30,5,684,0,40,724,0
328,148,181,3,3,335,0,19,354,0
329,326,172,23,16,537,0,43,580,0
330,120,222,15,3,360,0,24,384,0
331,207,247,10,6,470,0,39,509,0
332,129,331,54,13,527,0,38,565,0
333,235,330,17,17,599,0,19,618,0
334,88,88,4,3,183,0,5,188,0
335,157,227,34,4,422,0,21,443,0
336,271,309,5,2,587,0,10,597,0
337,114,194,8,6,322,0,5,327,0
338,177,211,8,6,402,0,4,406,0
339,220,242,18,6,486,0,8,494,0
340,156,183,6,3,348,0,7,355,0
341,171,154,11,4,340,0,6,346,0
342,72,265,30,6,373,0,11,384,0
343,416,419,41,17,893,0,47,940,0
344,222,324,16,13,575,0,17,592,0
345,304,298,42,25,669,0,43,712,0
346,297,57,9,2,365,0,18,383,0
347,272,310,24,13,619,0,37,656,0
348,198,211,12,12,433,0,12,445,0
349,158,293,16,4,471,0,5,476,0
350,32,416,10,2,460,0,3,463,0
351,89,143,17,7,256,0,10,266,0
352,51,383,14,9,457,0,31,488,0
353,58,223,21,7,309,0,18,327,0
354,1,2,0,0,3,0,0,3,0
355,58,223,40,10,331,0,18,349,0
356,73,170,22,8,273,0,5,278,0
357,5,298,2,1,306,0,3,309,0
358,29,135,3,0,167,0,0,167,0
