Sr. No. & Name of Polling Station,No. of Valid Votes cast in favour of,,,,,,,,,,,,,,,,Total  Valid  Votes tendered,No. of Rejected  Votes(Test Votes),Total,No. of Tendered Votes
,Chauhan devusinh  Jesingbhai (Chauhan  Devusinh),Dinsha Patel,Pandav Bhailalbhai  Kalubhai,Abdul Razakkhan  Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj  Govindbhai,Khristi Adward  Khushalbhai,Chauhan Devusing  Motishing,Pathan Amanullakha  Sitabkha,Parikh Viral  Hasmukhbhai,Malek  Yakubmiya  Nabimiya,Malek Sadik Husen  Mahammd Hushen,Malek Sabirhusen  Ismailbhai,Ratansinh Udesinh  Chauhan,Roshan Priyavadan  Shah,None Of the above  (NOTA),,,,
143,94,174,3,0,1,0,2,0,0,0,1,1,2,3,2,8,291,0,291,0
144,263,174,5,1,0,0,0,0,0,0,0,1,0,3,5,16,468,0,468,0
145,75,160,1,0,0,0,0,0,0,1,1,1,1,0,8,1,249,0,249,0
146,247,121,3,1,2,0,1,0,0,1,0,0,1,1,5,9,392,0,392,0
147,483,81,2,0,1,2,1,0,1,1,2,1,4,0,1,6,586,0,586,0
148,315,98,2,0,0,0,0,1,0,1,0,1,0,2,1,2,423,0,423,0
149,161,160,2,1,1,0,0,0,0,0,0,0,2,1,2,4,334,0,334,0
150,271,279,5,0,5,0,2,2,1,1,1,4,1,4,4,13,593,0,593,0
151,483,80,7,2,1,0,0,2,2,1,0,1,3,1,5,15,603,0,603,0
152,120,492,4,0,0,0,2,0,14,0,0,1,0,1,4,6,644,0,644,0
153,257,220,3,0,6,0,0,1,2,1,0,0,2,0,9,6,507,0,507,0
154,524,122,2,0,0,1,1,1,33,3,0,1,0,0,1,25,714,0,714,0
155,398,32,2,1,0,1,1,0,0,0,0,0,3,1,2,11,452,0,452,0
156,238,99,4,0,2,0,2,0,1,0,1,0,2,5,3,22,379,0,379,0
157,296,48,3,0,0,0,1,0,1,0,1,2,1,2,2,17,374,0,374,0
158,161,33,2,2,0,1,0,3,0,0,1,0,1,2,3,8,217,0,217,0
159,254,171,1,0,1,0,1,1,1,0,0,2,2,5,4,13,456,0,456,0
160,182,129,1,0,6,1,3,5,3,3,1,2,3,7,7,6,359,0,359,0
161,299,48,0,0,0,0,0,0,0,0,0,0,0,1,0,3,351,0,351,0
162,326,179,3,0,1,0,0,3,0,1,2,0,2,2,3,14,536,0,536,0
163,170,121,6,1,1,2,1,1,0,1,2,3,2,2,5,22,340,0,340,0
164,159,148,2,1,1,0,1,0,0,1,1,2,3,3,4,10,336,0,336,0
