polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid  Votes,No.of  rejected  votes,Votes for  'NOTA'  option,Total  Votes,No.of       tendered  votes
,3098,29856,21350,915,353,442,434,385,670,1108,58611,0,3200,61811,0
,3098,29856,21350,915,353,442,434,385,670,1108,58611,0,3200,61811,0
127,1,132,214,2,0,0,0,0,0,0,349,0,2,351,0
128,9,830,29,1,0,0,0,0,4,5,878,0,2,880,0
129,13,96,235,9,2,5,6,1,3,2,372,0,4,376,0
130,18,145,227,8,3,3,4,2,5,11,426,0,43,469,0
131,48,280,225,24,6,3,9,4,13,16,628,0,79,707,0
132,14,284,211,7,1,6,1,2,3,10,539,0,32,571,0
133,17,221,265,7,1,2,2,2,3,1,521,0,18,539,0
134,23,394,148,14,3,2,2,2,3,5,596,0,16,612,0
135,9,361,111,5,0,1,0,2,1,3,493,0,14,507,0
136,4,320,47,1,0,0,0,1,2,1,376,0,3,379,0
137,4,672,13,0,0,0,0,0,1,0,690,0,0,690,0
138,5,446,72,4,2,3,1,1,0,4,538,0,7,545,0
139,36,339,172,16,5,7,8,3,19,23,628,0,35,663,0
140,9,32,331,5,0,6,3,2,1,1,390,0,6,396,0
,3308,34408,23650,1018,376,480,470,407,728,1190,66035,0,3461,69496,0
,3308,34408,23650,1018,376,480,470,407,728,1190,66035,0,3461,69496,0
141,21,86,361,6,1,4,0,1,6,10,496,0,42,538,0
142,7,278,46,1,3,2,1,4,4,11,357,0,26,383,0
143,10,208,197,8,2,3,4,5,3,8,448,0,26,474,0
144,32,350,64,7,0,3,1,0,2,10,469,0,21,490,0
145,33,455,17,1,1,0,0,1,1,2,511,0,11,522,0
146,21,202,79,6,3,3,1,0,3,5,323,0,25,348,0
147,32,295,171,11,3,3,7,12,6,17,557,0,63,620,0
148,22,583,102,15,3,5,1,9,4,18,762,0,28,790,0
149,31,469,41,3,0,1,0,1,1,5,552,0,10,562,0
150,20,303,102,7,3,2,4,3,5,15,464,0,26,490,0
151,1,371,8,1,0,0,0,0,0,0,381,0,2,383,0
152,0,410,1,0,0,0,0,0,0,0,411,0,0,411,0
153,13,930,10,0,0,0,0,0,1,1,955,0,2,957,0
154,20,45,143,9,4,0,6,6,5,3,241,0,38,279,0
,3571,39393,24992,1093,399,506,495,449,769,1295,72962,0,3781,76743,0
,3571,39393,24992,1093,399,506,495,449,769,1295,72962,0,3781,76743,0
155,15,104,99,10,2,4,8,8,16,14,280,0,41,321,0
156,35,279,184,10,6,6,4,3,7,9,543,0,41,584,0
157,19,216,26,6,1,2,4,1,4,12,291,0,24,315,0
158,19,242,99,3,5,2,1,6,5,13,395,0,41,436,0
159,26,103,183,8,2,2,2,3,3,7,339,0,19,358,0
160,15,750,21,0,2,1,2,0,3,4,798,0,2,800,0
161,24,488,140,13,4,4,9,8,7,9,706,0,27,733,0
162,19,302,99,4,4,0,3,1,5,6,443,0,13,456,0
163,17,398,157,9,5,7,2,0,4,8,607,0,5,612,0
164,9,193,66,1,0,0,1,1,1,1,273,0,1,274,0
165,13,180,141,14,1,4,4,3,5,7,372,0,12,384,0
166,10,353,243,4,0,4,0,1,4,1,620,0,9,629,0
167,9,98,99,5,1,1,1,2,2,5,223,0,7,230,0
168,4,146,49,3,3,1,1,2,3,5,217,0,13,230,0
,3805,43245,26598,1183,435,544,537,488,838,1396,79069,0,4036,83105,0
,3805,43245,26598,1183,435,544,537,488,838,1396,79069,0,4036,83105,0
169,8,172,169,4,2,0,3,6,5,7,376,0,22,398,0
170,9,194,184,7,3,1,2,4,4,4,412,0,12,424,0
171,4,143,142,6,2,4,4,0,3,0,308,0,5,313,0
172,8,166,150,11,4,1,2,4,2,2,350,0,15,365,0
173,8,184,161,5,1,1,1,2,1,2,366,0,2,368,0
174,13,516,147,2,2,2,0,1,4,7,694,0,13,707,0
175,18,355,240,7,3,6,2,4,4,11,650,0,26,676,0
176,7,240,73,4,0,2,1,3,1,11,342,0,21,363,0
177,7,170,104,1,1,3,1,0,2,0,289,0,11,300,0
178,13,212,230,10,3,3,7,1,5,9,493,0,13,506,0
179,10,264,251,16,4,1,1,3,3,7,560,0,18,578,0
180,11,275,170,7,2,1,4,2,5,5,482,0,17,499,0
181,11,434,105,3,3,6,3,4,4,6,579,0,12,591,0
182,10,266,50,3,2,3,3,0,0,4,341,0,4,345,0
,3942,46836,28774,1269,467,578,571,522,881,1471,85311,0,4227,89538,0
,3942,46836,28774,1269,467,578,571,522,881,1471,85311,0,4227,89538,0
183,11,620,52,1,0,1,1,2,2,4,694,0,9,703,0
184,7,251,273,10,3,3,3,2,1,3,556,0,5,561,0
185,6,152,122,2,0,1,0,0,0,2,285,0,3,288,0
186,12,54,121,5,1,3,1,3,4,4,208,0,10,218,0
187,9,168,240,12,6,5,2,1,6,1,450,0,4,454,0
188,12,99,118,6,0,2,3,3,4,4,251,0,17,268,0
189,10,340,96,4,2,2,1,0,0,1,456,0,3,459,0
190,6,288,172,8,5,2,3,1,2,7,494,0,18,512,0
191,15,468,129,10,4,6,5,3,7,5,652,0,4,656,0
192,12,507,66,5,0,3,2,0,0,5,600,0,3,603,0
193,12,422,214,1,1,5,0,0,2,5,662,0,11,673,0
194,21,268,299,8,1,10,3,3,16,13,642,0,26,668,0
195,10,473,199,5,3,11,1,2,7,2,713,0,12,725,0
196,0,74,300,0,1,1,1,1,0,0,378,0,3,381,0
,4085,51020,31175,1346,494,633,597,543,932,1527,92352,0,4355,96707,0
,4085,51020,31175,1346,494,633,597,543,932,1527,92352,0,4355,96707,0
197,1,139,399,4,1,5,2,0,2,1,554,0,6,560,0
198,11,230,110,5,0,4,1,0,2,4,367,0,9,376,0
199,7,627,179,7,5,0,2,2,3,2,834,0,5,839,0
200,17,253,148,5,5,3,5,2,1,2,441,0,7,448,0
201,10,263,135,7,0,2,6,4,3,3,433,0,15,448,0
202,11,308,259,2,1,5,5,3,6,11,611,0,11,622,0
203,5,128,203,4,2,4,1,0,3,4,354,0,12,366,0
204,13,77,181,9,1,23,1,2,4,4,315,0,10,325,0
205,15,94,165,7,2,5,1,2,2,8,301,0,9,310,0
206,18,429,246,10,2,7,2,3,8,11,736,0,58,794,0
207,0,445,10,1,0,1,0,0,0,2,459,0,0,459,0
208,13,352,331,12,4,8,2,6,4,7,739,0,18,757,0
209,18,246,118,7,3,21,3,2,4,5,427,0,41,468,0
210,4,348,225,8,0,5,1,3,1,8,603,0,8,611,0
,4228,54959,33884,1434,520,726,629,572,975,1599,99526,0,4564,104090,0
,4228,54959,33884,1434,520,726,629,572,975,1599,99526,0,4564,104090,0
211,5,398,56,2,0,2,0,0,1,2,466,0,6,472,0
212,3,142,115,3,0,0,0,0,3,3,269,0,4,273,0
213,20,250,142,10,1,5,1,0,1,2,432,0,12,444,0
214,15,282,73,9,1,2,1,0,5,9,397,0,9,406,0
215,6,95,120,3,1,2,1,2,6,2,238,0,2,240,0
216,4,430,113,5,0,1,1,2,3,5,564,0,5,569,0
217,16,415,158,5,4,3,2,1,4,4,612,0,9,621,0
218,7,216,149,7,4,4,4,1,1,3,396,0,6,402,0
219,32,342,98,10,9,7,7,8,13,24,550,0,38,588,0
220,12,189,56,6,3,5,0,4,3,5,283,0,17,300,0
221,27,212,191,12,6,5,4,3,10,15,485,0,14,499,0
222,12,252,249,12,1,4,2,2,5,4,543,0,5,548,0
223,32,533,101,8,0,2,4,0,3,5,688,0,30,718,0
224,32,355,221,11,4,7,8,1,1,8,648,0,24,672,0
,4451,59070,35726,1537,554,775,664,596,1034,1690,106097,0,4745,110842,0
,4451,59070,35726,1537,554,775,664,596,1034,1690,106097,0,4745,110842,0
225,21,181,140,5,3,0,1,1,2,13,367,0,21,388,0
226,15,438,95,2,1,2,4,2,2,5,566,0,6,572,0
227,5,182,37,0,0,0,0,0,1,7,232,0,9,241,0
228,13,386,66,2,2,1,3,0,0,2,475,0,10,485,0
229,15,95,362,16,1,13,3,4,6,13,528,0,31,559,0
230,5,835,111,7,1,2,2,0,0,1,964,0,2,966,0
231,21,507,158,7,3,4,4,3,7,10,724,0,28,752,0
232,17,166,325,17,6,7,1,3,2,10,554,0,38,592,0
233,36,308,215,14,3,2,7,6,10,12,613,0,33,646,0
,4599,62168,37235,1607,574,806,689,615,1064,1763,111120,0,4923,116043,0
,­,­,­,­,­,­,­,­,­,­,­,­,­,­,­
,4599,62168,37235,1607,574,806,689,615,1064,1763,111120,0,4923,116043,0
