No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
105,9,268,216,5,3,3,0,4,508,0,13,521,0
106,7,245,233,10,9,6,6,3,519,0,9,528,0
107,4,294,68,2,5,0,2,3,378,0,2,380,0
108,15,387,101,0,1,2,1,2,509,0,1,510,0
109,1,239,139,7,3,14,6,7,416,0,12,428,0
110,4,294,255,3,9,1,0,6,572,0,3,575,0
111,3,373,86,0,5,2,1,0,470,0,4,474,0
112,16,316,209,2,7,2,4,1,557,0,3,560,0
113,3,110,321,3,1,0,1,1,440,0,2,442,0
114,4,120,187,1,5,0,0,2,319,0,0,319,0
115,1,373,76,0,5,0,0,0,455,0,4,459,0
116,2,626,127,2,15,1,2,2,777,0,8,785,0
117,2,427,77,2,2,0,1,1,512,0,1,513,0
118,2,511,60,0,10,1,1,2,587,0,5,592,0
119,19,386,329,4,6,2,5,7,758,0,19,777,0
120,10,621,189,9,2,3,3,5,842,0,10,852,0
121,3,303,185,0,11,3,1,4,510,0,23,533,0
122,7,365,238,4,7,2,3,4,630,0,11,641,0
123,6,434,97,3,7,1,8,4,560,0,15,575,0
124,0,142,173,0,9,0,1,0,325,0,4,329,0
125,6,485,143,4,17,3,5,3,666,0,25,691,0
126,9,521,109,4,15,0,0,1,659,0,7,666,0
127,13,489,138,6,12,0,3,5,666,0,9,675,0
128,6,290,217,2,17,0,1,1,534,0,6,540,0
129,11,543,67,3,6,0,7,2,639,0,8,647,0
130,12,387,144,2,11,1,2,3,562,0,8,570,0
131,6,274,108,0,3,1,3,3,398,0,2,400,0
132,6,281,112,3,13,2,3,1,421,0,4,425,0
133,7,428,47,1,3,1,1,5,493,0,9,502,0
134,9,428,98,2,2,2,3,8,552,0,4,556,0
135,8,450,65,1,6,1,1,5,537,0,4,541,0
136,12,291,165,2,9,1,2,0,482,0,8,490,0
137,5,228,100,6,8,1,1,2,351,0,5,356,0
138,3,322,132,1,17,1,0,2,478,0,9,487,0
139,9,543,145,5,10,4,5,4,725,0,5,730,0
140,2,354,66,2,10,2,2,3,441,0,4,445,0
141,6,520,157,2,4,2,3,3,697,0,7,704,0
142,2,340,108,1,15,0,2,3,471,0,7,478,0
143,2,128,195,4,5,0,4,0,338,0,6,344,0
144,3,505,50,2,4,2,2,5,573,0,6,579,0
145,7,525,48,0,9,2,2,2,595,0,1,596,0
146,1,176,100,3,1,0,0,0,281,0,2,283,0
147,9,530,288,1,28,0,0,2,858,0,9,867,0
148,5,353,80,1,16,0,0,2,457,0,4,461,0
149,3,259,170,5,15,0,1,0,453,0,10,463,0
150,4,404,207,11,4,2,3,4,639,0,10,649,0
151,5,297,181,3,7,1,2,0,496,0,5,501,0
152,3,385,74,2,7,1,3,3,478,0,3,481,0
153,4,371,67,2,2,0,1,2,449,0,2,451,0
154,1,427,223,0,11,1,3,2,668,0,6,674,0
155,6,375,174,5,3,0,4,6,573,0,15,588,0
156,4,575,145,2,17,1,5,3,752,0,20,772,0
157,5,215,130,3,3,1,2,5,364,0,2,366,0
158,1,296,211,2,4,3,6,3,526,0,6,532,0
159,5,403,271,4,5,2,5,13,708,0,22,730,0
160,11,499,303,4,8,1,6,7,839,0,16,855,0
161,2,378,125,2,6,0,0,1,514,0,5,519,0
162,15,230,437,6,4,1,6,6,705,0,8,713,0
163,5,190,29,0,0,0,1,4,229,0,2,231,0
164,4,586,110,1,1,2,0,3,707,0,8,715,0
165,3,223,272,0,15,0,1,1,515,0,9,524,0
166,4,146,239,0,13,1,0,2,405,0,4,409,0
167,8,172,321,3,42,3,6,5,560,0,13,573,0
168,16,330,133,2,14,2,0,7,504,0,6,510,0
169,44,190,205,3,19,5,3,4,473,0,3,476,0
170,1,193,272,2,6,2,0,3,479,0,4,483,0
171,6,190,278,4,4,0,0,2,484,0,3,487,0
172,20,235,186,4,53,1,2,2,503,0,10,513,0
173,35,591,153,6,40,1,1,5,832,0,12,844,0
174,19,399,221,8,5,4,9,9,674,0,21,695,0
175,18,355,500,13,10,0,5,8,909,0,10,919,0
176,10,318,436,7,12,2,4,3,792,0,6,798,0
177,10,572,137,0,18,3,2,3,745,0,12,757,0
178,7,423,218,3,9,1,1,1,663,0,10,673,0
179,1,753,114,2,11,1,2,2,886,0,3,889,0
180,3,671,71,1,21,0,0,0,767,0,3,770,0
181,13,187,161,5,15,0,1,2,384,0,5,389,0
182,2,74,399,2,3,2,0,1,483,0,1,484,0
183,19,594,188,4,24,3,3,1,836,0,5,841,0
184,37,710,143,6,9,1,4,4,914,0,16,930,0
185,6,113,622,5,10,2,4,2,764,0,8,772,0
186,6,61,517,5,13,4,9,0,615,0,18,633,0
187,5,180,481,4,15,1,5,0,691,0,12,703,0
188,35,564,157,3,11,4,5,6,785,0,13,798,0
189,25,313,170,4,12,1,2,3,530,0,14,544,0
190,27,250,143,7,7,1,3,4,442,0,22,464,0
191,13,208,380,5,15,1,3,1,626,0,7,633,0
192,48,333,291,7,10,5,2,8,704,0,17,721,0
193,5,61,500,6,13,1,2,1,589,0,1,590,0
194,9,204,446,7,20,0,3,4,693,0,16,709,0
195,3,69,530,3,19,2,0,3,629,0,10,639,0
196,4,80,458,3,20,0,0,1,566,0,9,575,0
197,5,50,552,5,15,0,1,0,628,0,10,638,0
198,11,106,497,6,7,0,0,3,630,0,3,633,0
199,4,107,347,3,11,2,0,2,476,0,8,484,0
200,3,140,335,2,7,2,2,1,492,0,5,497,0
201,4,251,119,4,13,2,1,0,394,0,5,399,0
202,6,250,112,6,8,1,1,1,385,0,3,388,0
203,8,109,53,1,6,0,0,0,177,0,2,179,0
204,15,262,100,2,23,0,0,1,403,0,0,403,1
205,19,230,253,2,17,2,3,3,529,0,8,537,0
206,47,465,175,4,9,3,3,7,713,0,13,726,0
207,24,212,168,2,7,0,0,5,418,0,9,427,0
208,77,220,123,2,19,1,1,1,444,0,11,455,0
208A,8,206,139,4,6,2,1,2,368,0,8,376,0
209,24,136,184,4,6,2,3,0,359,0,8,367,0
209A,14,163,145,3,42,1,1,2,371,0,1,372,0
210,24,352,141,6,10,0,1,2,536,0,6,542,0
211,38,361,152,2,11,2,2,5,573,0,8,581,0
212,13,306,218,7,11,1,3,2,561,0,6,567,0
213,18,216,316,7,9,2,0,3,571,0,6,577,0
214,2,260,23,0,8,0,0,1,294,0,4,298,0
215,0,352,39,1,18,0,0,0,410,0,3,413,0
216,5,563,262,4,12,1,2,3,852,0,9,861,0
217,3,554,49,2,7,0,0,2,617,0,12,629,0
218,0,386,22,0,2,0,0,0,410,0,7,417,0
219,3,469,109,2,10,0,0,3,596,0,4,600,0
220,3,651,30,0,3,0,0,0,687,0,2,689,0
221,4,616,58,2,8,1,1,0,690,0,5,695,0
222,5,478,110,4,9,0,0,1,607,0,9,616,0
223,2,340,137,1,10,0,0,0,490,0,5,495,0
224,1,294,125,3,14,0,0,1,438,0,3,441,0
225,5,482,194,2,12,0,2,2,699,0,12,711,0
226,6,841,117,3,8,2,1,0,978,0,15,993,0
227,5,753,108,1,11,0,3,3,884,0,9,893,0
228,9,700,73,2,23,2,2,11,822,0,6,828,0
229,4,657,119,0,10,0,0,1,791,0,10,801,0
230,0,250,32,0,3,0,0,1,286,0,1,287,0
231,4,419,72,2,20,1,1,2,521,0,6,527,0
232,2,435,30,0,5,1,0,0,473,0,5,478,0
233,2,496,40,1,6,0,1,2,548,0,3,551,0
234,8,480,37,0,3,0,1,1,530,0,4,534,0
235,4,485,41,1,10,0,2,1,544,0,2,546,0
236,7,581,65,1,11,0,2,0,667,0,6,673,0
237,2,695,43,0,13,0,0,0,753,0,5,758,0
238,13,413,248,6,2,2,3,6,693,0,21,714,0
239,5,605,102,4,12,0,3,5,736,0,4,740,0
240,1,456,18,0,0,0,1,1,477,0,4,481,0
241,5,698,56,2,6,0,2,2,771,0,5,776,0
242,5,560,168,2,6,1,0,0,742,0,7,749,0
243,3,523,44,1,17,1,1,0,590,0,9,599,0
244,1,530,23,1,10,1,1,0,567,0,5,572,0
245,1,721,18,0,6,0,0,0,746,0,6,752,0
246,2,723,40,3,15,0,0,0,783,0,5,788,0
247,4,818,76,1,13,1,1,4,918,0,9,927,0
248,0,408,23,1,5,0,1,0,438,0,2,440,0
249,3,835,43,0,8,0,3,2,894,0,6,900,0
250,26,578,69,6,12,2,2,19,714,0,11,725,0
251,3,999,44,1,10,0,1,3,1061,0,9,1070,0
252,4,839,75,1,5,0,1,3,928,0,4,932,0
253,5,719,85,3,14,0,1,1,828,0,16,844,0
254,4,463,85,2,13,8,0,0,575,0,4,579,0
255,2,436,75,0,4,0,0,1,518,0,7,525,0
256,8,531,136,6,11,1,1,4,698,0,6,704,0
257,6,519,233,2,11,1,0,2,774,0,5,779,0
258,3,407,115,0,12,1,1,5,544,0,6,550,0
259,11,326,153,1,11,0,2,3,507,0,8,515,0
260,5,272,97,2,0,0,2,0,378,0,2,380,0
261,1,288,24,0,3,0,0,0,316,0,2,318,0
262,3,762,26,0,12,0,1,1,805,0,11,816,0
263,7,788,33,1,10,0,0,1,840,0,9,849,0
264,2,610,46,1,9,0,1,0,669,0,6,675,0
265,4,461,40,1,6,1,0,0,513,0,7,520,0
266,2,394,63,0,3,0,1,6,469,0,6,475,0
267,1,393,29,0,7,0,0,0,430,0,4,434,0
268,7,472,185,5,13,1,4,2,689,0,14,703,0
269,31,194,206,3,7,2,6,2,451,0,10,461,0
270,2,296,170,1,4,6,3,2,484,0,6,490,0
271,3,508,44,0,11,0,0,1,567,0,5,572,0
272,1,392,29,1,6,0,0,1,430,0,6,436,0
273,2,571,74,2,18,0,0,3,670,0,6,676,0
274,6,563,167,2,13,3,1,1,756,0,6,762,0
275,7,740,160,0,20,3,0,2,932,0,13,945,0
276,0,624,53,3,12,3,2,0,697,0,4,701,0
277,2,864,97,1,14,1,3,3,985,0,15,1000,0
278,0,274,64,3,4,0,0,0,345,0,12,357,0
279,3,356,71,1,4,0,0,2,437,0,3,440,0
280,2,476,51,1,17,0,0,1,548,0,3,551,0
281,3,679,63,0,16,0,4,1,766,0,11,777,0
282,11,534,137,1,17,1,2,4,707,0,7,714,0
283,8,586,128,2,10,1,3,0,738,0,7,745,0
284,7,521,236,4,4,3,1,1,777,0,8,785,0
285,11,102,447,7,4,3,5,5,584,0,23,607,0
286,10,267,133,1,19,2,1,1,434,0,3,437,0
287,6,406,120,2,11,1,2,0,548,0,11,559,0
288,0,249,129,4,14,0,0,1,397,0,5,402,0
289,60,523,414,9,10,4,1,1,1022,0,9,1031,0
290,6,242,244,2,4,3,6,7,514,0,31,545,0
291,5,642,99,4,10,1,1,4,766,0,5,771,0
292,6,556,195,3,8,0,1,3,772,0,11,783,0
293,3,827,43,2,15,0,0,0,890,0,5,895,0
293A,2,891,40,1,25,0,0,2,961,0,6,967,0
294,9,181,278,4,4,1,4,4,485,0,19,504,0
295,2,377,160,0,5,0,0,2,546,0,6,552,0
296,6,791,92,2,6,0,3,0,900,0,7,907,0
297,5,850,39,0,30,0,1,2,927,0,9,936,0
298,1,691,24,0,21,0,0,0,737,0,10,747,0
298A,2,611,14,2,7,0,0,1,637,0,6,643,0
299,1,902,131,3,22,0,2,1,1062,0,12,1074,0
300,0,757,55,1,28,0,0,0,841,0,5,846,0
300A,1,544,32,0,19,0,0,0,596,0,2,598,0
301,3,759,75,1,30,1,0,0,869,0,9,878,0
302,0,637,21,0,25,0,1,0,684,0,7,691,0
302A,1,380,12,0,9,0,0,1,403,0,5,408,0
303,2,678,33,1,23,0,1,0,738,0,4,742,0
304,0,338,36,0,7,1,0,0,382,0,7,389,0
305,5,665,24,1,46,1,0,1,743,0,11,754,0
306,2,645,32,1,38,0,0,3,721,0,5,726,0
307,0,737,26,1,26,1,0,0,791,0,6,797,0
308,9,647,22,2,28,2,0,0,710,0,4,714,0
309,0,508,20,2,19,2,0,0,551,0,5,556,0
310,1,376,88,2,7,2,2,0,478,0,6,484,0
311,4,439,104,2,4,1,2,3,559,0,3,562,0
312,9,397,74,1,4,0,0,3,488,0,4,492,0
313,15,503,47,2,3,0,5,2,577,0,21,598,0
314,8,463,83,2,4,3,5,3,571,0,7,578,0
315,4,508,83,2,4,1,2,5,609,0,6,615,0
316,7,434,142,2,1,1,2,3,592,0,8,600,0
317,2,522,41,3,10,3,1,2,584,0,5,589,0
318,4,438,87,0,8,2,5,3,547,0,16,563,0
319,8,552,88,0,4,0,1,3,656,0,11,667,0
320,4,428,175,3,8,0,2,7,627,0,6,633,0
321,5,398,112,6,9,0,0,4,534,0,6,540,0
322,11,715,129,1,8,5,1,8,878,0,16,894,0
,,,,,,,,,,,,0,
,2377,137134,48454,897,3262,462,618,867,194071,0,2539,196610,1
,0,0,0,0,0,0,0,0,0,0,0,0,0
,2377,137134,48454,897,3262,462,618,867,194071,0,2539,196610,1
