No. & Name of Polling Station,No. of Valid Votes cast in favour of,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,N O T A,Total,No. of Tendered Votes
,Gita Chetan Paunda (Advocate Gitaba Jadeja),Dr.Bharatiben Dhirubhai Shiyal,Rathod Pravinhai Jinabhai,Dr.Kanubhai V. Kalsaria,Kagada Ramesh bhai Punabhai,Khadrani Asimbhai Pirbhai,Gohil Pravinsinh Dhirubha,Gohel Bharatbhai Bhimabhai,Jagdishbhai Amarabhai Vegad,Bhaves Ghanshyam bhai Rajyaguru,Mehta Yashvan tray Odhavji bhai,Maru Manhar Valjibhai,Rasidkhan Hasankhan Pathan,Rathod Pravin sinh Chandra sinh,Vaghela Narendra bhai Shavji bhai,Vegad Nathabhai (Pragna chakhsu Candidate),,,,,
52,2,167,199,23,4,3,2,2,1,0,3,2,3,8,4,16,439,0,11,450,0
53,3,188,267,39,5,1,1,0,1,3,0,2,1,2,4,9,526,0,0,526,0
54,4,818,136,10,2,2,2,3,4,2,3,1,6,3,6,10,1012,0,22,1034,0
55,2,598,166,42,3,1,0,0,0,4,0,1,0,1,3,4,825,0,17,842,0
56,1,127,371,50,1,1,0,1,0,0,0,2,0,1,0,5,560,0,9,569,0
57,8,718,220,19,3,3,4,6,3,4,6,3,3,12,6,11,1029,0,7,1036,0
58,4,377,130,9,0,1,1,2,0,2,2,0,3,9,14,2,556,0,8,564,0
59,3,485,72,11,1,0,1,0,3,0,1,0,0,2,1,2,582,0,7,589,0
60,3,437,209,7,0,0,4,0,1,6,3,4,2,8,5,13,702,0,4,706,0
61,6,354,158,4,2,2,0,0,1,2,1,1,3,7,5,6,552,0,3,555,0
62,9,621,175,23,4,2,1,2,3,4,4,4,4,4,16,15,891,0,11,902,0
63,7,840,83,11,2,1,3,1,2,0,4,4,1,7,6,2,974,0,2,976,0
64,7,462,229,12,2,4,2,2,4,0,1,2,5,4,6,13,755,0,17,772,0
65,9,91,341,13,1,1,1,2,0,1,0,0,1,3,0,1,465,0,2,467,0
66,7,135,275,21,0,0,0,0,0,1,1,2,1,3,1,3,450,0,6,456,0
67,9,434,309,27,4,0,1,3,0,3,2,1,1,3,5,5,807,0,16,823,0
68,5,532,115,8,2,3,1,2,2,1,1,5,4,5,1,2,689,0,3,692,0
69,13,183,407,24,0,0,0,0,2,1,2,1,0,2,7,6,648,0,7,655,0
70,12,191,349,14,1,0,1,1,0,0,1,1,3,1,4,5,584,0,5,589,0
71,2,477,153,34,0,0,0,2,3,11,0,0,0,0,1,0,683,0,9,692,0
72,2,491,65,47,1,0,1,0,1,10,2,0,0,1,2,0,623,0,7,630,0
73,8,494,122,27,0,2,2,1,0,4,0,1,1,1,1,3,667,0,5,672,0
74,1,561,194,70,0,1,1,0,1,5,1,0,0,0,1,5,841,0,3,844,0
