AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTVOTPOLL,POSITION,religion,certainty
9,Thana Bhawan,GEN,KIRAN PAL KASHYAP,M,GEN,57,SP,10198,8,Hindu,9
9,Thana Bhawan,GEN,JAI SINGH,M,GEN,49,VAJP,1777,9,Hindu,3
9,Thana Bhawan,GEN,JAI SINGH,M,GEN,49,VAJP,1777,10,Hindu,3
9,Thana Bhawan,GEN,IMTAYAZ ALI KHAN,M,GEN,40,IND,1321,11,Muslim,16
9,Thana Bhawan,GEN,IMTAYAZ ALI KHAN,M,GEN,40,IND,1321,12,Muslim,16
9,Thana Bhawan,GEN,HARI OM SHARMA,M,GEN,26,JLKP,766,13,Hindu,3
9,Thana Bhawan,GEN,HARI OM SHARMA,M,GEN,26,JLKP,766,14,Hindu,3
9,Thana Bhawan,GEN,SEEMA MALIK,F,GEN,44,PECP,744,15,Muslim,5
9,Thana Bhawan,GEN,SEEMA MALIK,F,GEN,44,PECP,744,16,Muslim,5
9,Thana Bhawan,GEN,MOHAN,M,GEN,42,MD,514,17,Unknown,0
9,Thana Bhawan,GEN,MOHAN,M,GEN,42,MD,514,18,Unknown,0
9,Thana Bhawan,GEN,UMMED HASAN,M,GEN,35,RLM,492,19,Muslim,16
9,Thana Bhawan,GEN,UMMED HASAN,M,GEN,35,RLM,492,20,Muslim,16
9,Thana Bhawan,GEN,SUKH PARSANNA DASS,M,SC,30,AIRSP,461,21,Unknown,0
9,Thana Bhawan,GEN,SUKH PARSANNA DASS,M,SC,30,AIRSP,461,22,Unknown,0
9,Thana Bhawan,GEN,SANSPAL SINGH,M,GEN,51,JD(U),460,23,Hindu,16
9,Thana Bhawan,GEN,SANSPAL SINGH,M,GEN,51,JD(U),460,24,Hindu,16
9,Thana Bhawan,GEN,BABU SINGH,M,GEN,73,LD,400,25,Hindu,16
9,Thana Bhawan,GEN,BABU SINGH,M,GEN,73,LD,400,26,Hindu,16
9,Thana Bhawan,GEN,RAJESH KUMAR,M,SC,38,RJSWP,354,27,Hindu,46
9,Thana Bhawan,GEN,RAJESH KUMAR,M,SC,38,RJSWP,354,28,Hindu,46
9,Thana Bhawan,GEN,RAJ BAHADUR,M,SC,26,IJP,279,29,Unknown,0
9,Thana Bhawan,GEN,RAJ BAHADUR,M,SC,26,IJP,279,30,Unknown,0
9,Thana Bhawan,GEN,BHUPENDRA,M,GEN,47,MKUP,177,31,Hindu,66
9,Thana Bhawan,GEN,BHUPENDRA,M,GEN,47,MKUP,177,32,Hindu,66
10,Shamli,GEN,PANKAJ KUMAR MALIK,M,GEN,33,INC,53947,1,Hindu,43
10,Shamli,GEN,PANKAJ KUMAR MALIK,M,GEN,33,INC,53947,2,Hindu,43
10,Shamli,GEN,VIRENDRA SINGH,M,GEN,59,SP,50206,3,Hindu,46
10,Shamli,GEN,VIRENDRA SINGH,M,GEN,59,SP,50206,4,Hindu,46
10,Shamli,GEN,BALBIR SINGH,M,GEN,66,BSP,45597,5,Hindu,9
10,Shamli,GEN,BALBIR SINGH,M,GEN,66,BSP,45597,6,Hindu,9
10,Shamli,GEN,SATYENDRA VERMA,M,GEN,62,BJP,9105,7,Hindu,46
10,Shamli,GEN,SATYENDRA VERMA,M,GEN,62,BJP,9105,8,Hindu,46
10,Shamli,GEN,SALEEM,M,GEN,40,PECP,3455,9,Muslim,66
10,Shamli,GEN,SALEEM,M,GEN,40,PECP,3455,10,Muslim,66
10,Shamli,GEN,SUNIL,M,GEN,33,LJP,918,11,Hindu,7
10,Shamli,GEN,SUNIL,M,GEN,33,LJP,918,12,Hindu,7
10,Shamli,GEN,AJIT PRASAD,M,GEN,42,IND,749,13,Hindu,21
10,Shamli,GEN,AJIT PRASAD,M,GEN,42,IND,749,14,Hindu,21
10,Shamli,GEN,OPIN KUMAR,M,GEN,46,IND,611,15,Hindu,16
10,Shamli,GEN,OPIN KUMAR,M,GEN,46,IND,611,16,Hindu,16
10,Shamli,GEN,SHIV KUMAR,M,GEN,51,IND,403,17,Hindu,16
10,Shamli,GEN,SHIV KUMAR,M,GEN,51,IND,403,18,Hindu,16
10,Shamli,GEN,KRISHAN PAL,M,GEN,53,IND,334,19,Hindu,5
10,Shamli,GEN,KRISHAN PAL,M,GEN,53,IND,334,20,Hindu,5
10,Shamli,GEN,RASID,M,GEN,38,RLM,292,21,Unknown,0
10,Shamli,GEN,RASID,M,GEN,38,RLM,292,22,Unknown,0
10,Shamli,GEN,YOGENDRA KUMAR SHARMA,M,GEN,47,IND,291,23,Hindu,21
10,Shamli,GEN,YOGENDRA KUMAR SHARMA,M,GEN,47,IND,291,24,Hindu,21
10,Shamli,GEN,BALRAM SINGH,M,GEN,39,BhVSP,271,25,Hindu,46
10,Shamli,GEN,BALRAM SINGH,M,GEN,39,BhVSP,271,26,Hindu,46
10,Shamli,GEN,VINOD KUMAR,M,GEN,61,IND,256,27,Hindu,46
10,Shamli,GEN,VINOD KUMAR,M,GEN,61,IND,256,28,Hindu,46
10,Shamli,GEN,ARVIND,M,GEN,32,AITC,239,29,Hindu,66
10,Shamli,GEN,ARVIND,M,GEN,32,AITC,239,30,Hindu,66
10,Shamli,GEN,PRAVEEN,M,GEN,40,IND,217,31,Hindu,9
10,Shamli,GEN,PRAVEEN,M,GEN,40,IND,217,32,Hindu,9
10,Shamli,GEN,UDAIVEER,M,GEN,49,LD,193,33,Unknown,0
10,Shamli,GEN,UDAIVEER,M,GEN,49,LD,193,34,Unknown,0
10,Shamli,GEN,YOGESH,M,GEN,34,JaKP,185,35,Unknown,0
10,Shamli,GEN,YOGESH,M,GEN,34,JaKP,185,36,Unknown,0
10,Shamli,GEN,AKABAR,M,GEN,28,RJSWP,172,37,Unknown,0
10,Shamli,GEN,AKABAR,M,GEN,28,RJSWP,172,38,Unknown,0
10,Shamli,GEN,DILASHAD,M,GEN,28,RPD,167,39,Unknown,0
10,Shamli,GEN,DILASHAD,M,GEN,28,RPD,167,40,Unknown,0
10,Shamli,GEN,(MOHD.) GUFRAN KAZMI,M,GEN,35,IND,153,41,Muslim,16
10,Shamli,GEN,(MOHD.) GUFRAN KAZMI,M,GEN,35,IND,153,42,Muslim,16
10,Shamli,GEN,ANISH,M,GEN,26,VIP,152,43,Muslim,4
10,Shamli,GEN,ANISH,M,GEN,26,VIP,152,44,Muslim,4
10,Shamli,GEN,ARCHANA,F,SC,33,MKUP,145,45,Hindu,66
10,Shamli,GEN,ARCHANA,F,SC,33,MKUP,145,46,Hindu,66
10,Shamli,GEN,ILYAS,M,GEN,57,JD(U),110,47,Muslim,66
10,Shamli,GEN,ILYAS,M,GEN,57,JD(U),110,48,Muslim,66
10,Shamli,GEN,MANGERAM,M,GEN,44,IND,70,49,Unknown,0
10,Shamli,GEN,MANGERAM,M,GEN,44,IND,70,50,Unknown,0
10,Shamli,GEN,BRIJPAL  SINGH,M,GEN,62,IND,66,51,Hindu,16
10,Shamli,GEN,BRIJPAL  SINGH,M,GEN,62,IND,66,52,Hindu,16
11,Budhana,GEN,NAWAZISH ALAM KHAN,M,GEN,34,SP,68210,1,Muslim,4
11,Budhana,GEN,RAJPAL SINGH BALIYAN,M,GEN,61,RLD,57622,2,Hindu,3
11,Budhana,GEN,YOG RAJ SINGH,M,GEN,39,BSP,41233,3,Hindu,7
11,Budhana,GEN,UMESH MALIK,M,GEN,46,BJP,15948,4,Unknown,0
11,Budhana,GEN,SURENDRA,M,GEN,49,VAJP,2262,5,Unknown,0
11,Budhana,GEN,VINOD KUMAR,M,GEN,37,IND,1292,6,Hindu,46
11,Budhana,GEN,ASLAM SAMMANI,M,GEN,37,RLM,1146,7,Muslim,83
11,Budhana,GEN,CHARAN SINGH,M,GEN,45,BhVSP,1140,8,Hindu,5
11,Budhana,GEN,SHAMSHAD AHMAD,M,GEN,50,AIRSP,900,9,Hindu,1
11,Budhana,GEN,VINAY KUMAR BALIYAN,M,GEN,40,IND,710,10,Hindu,22
11,Budhana,GEN,JOGINDRA,M,GEN,41,LD,503,11,Hindu,16
11,Budhana,GEN,IMLAK ALI,M,GEN,45,AITC,489,12,Muslim,16
11,Budhana,GEN,ASHOK,M,GEN,40,RPD,452,13,Hindu,66
11,Budhana,GEN,LOKESH,M,SC,27,IJP,280,14,Unknown,0
11,Budhana,GEN,NARESH,M,GEN,46,RMGP,226,15,Hindu,66
12,Charthawal,GEN,NOOR SALEEM RANA,M,GEN,41,BSP,53481,1,Muslim,23
12,Charthawal,GEN,VIJAY KUMAR,M,GEN,45,BJP,40775,2,Hindu,46
12,Charthawal,GEN,MUKESH KUMAR CHAUDHARY,M,GEN,37,SP,34292,3,Hindu,50
12,Charthawal,GEN,SAIDUZZAMA,M,GEN,70,INC,26523,4,Unknown,0
12,Charthawal,GEN,PRADEEP BALIYAN,M,GEN,52,PECP,9559,5,Hindu,26
12,Charthawal,GEN,TAPENDER,M,GEN,31,IND,1963,6,Unknown,0
12,Charthawal,GEN,VIJAY SAINI,M,GEN,59,AITC,1860,7,Hindu,83
12,Charthawal,GEN,RAJRANI,F,GEN,41,IND,1390,8,Unknown,0
12,Charthawal,GEN,LALIT MOHAN SHARMA,M,GEN,44,SHS,633,9,Hindu,15
12,Charthawal,GEN,YOGENDER PAL,M,GEN,52,IND,401,10,Hindu,16
12,Charthawal,GEN,JASVEER SINGH,M,SC,26,MKUP,322,11,Hindu,5
12,Charthawal,GEN,NASEEM,M,GEN,49,NLP,274,12,Muslim,66
12,Charthawal,GEN,RAJEEV MALIK,M,GEN,38,LD,264,13,Hindu,33
12,Charthawal,GEN,RIJWAN,M,GEN,34,VIP,260,14,Unknown,0
12,Charthawal,GEN,BALESH,F,GEN,35,RLM,238,15,Unknown,0
12,Charthawal,GEN,DUSHYANT PUNDIR,M,GEN,43,JD(U),164,16,Hindu,83
13,Purqazi ,SC,ANIL KUMAR,M,SC,37,BSP,53491,1,Hindu,22
13,Purqazi ,SC,DEEPAK KUMAR,M,SC,55,INC,44583,2,Hindu,9
13,Purqazi ,SC,UMA KIRAN,F,SC,46,SP,40578,3,Hindu,13
13,Purqazi ,SC,PRACHI ARYAA,F,SC,35,BJP,22987,4,Hindu,83
13,Purqazi ,SC,SANTRAM,M,SC,37,IND,2551,5,Unknown,0
13,Purqazi ,SC,BALA,F,SC,54,IND,829,6,Hindu,66
13,Purqazi ,SC,SANJEEV,M,SC,28,AITC,510,7,Hindu,66
13,Purqazi ,SC,KM.RAKESH SODAI,F,SC,33,BSP(A),413,8,Unknown,0
13,Purqazi ,SC,HARIOM,M,SC,47,MKUP,391,9,Hindu,66
13,Purqazi ,SC,DEEPAK KUMAR,M,SC,29,JD(U),348,10,Hindu,9
13,Purqazi ,SC,SARLU,M,SC,42,LJP,340,11,Unknown,0
13,Purqazi ,SC,AMAR SINGH,M,SC,63,AIRSP,264,12,Hindu,4
13,Purqazi ,SC,PRAKASH CHAND RAJA,M,SC,53,RLM,182,13,Hindu,5
14,Muzaffar Nagar,GEN,CHITRANJAN SWAROOP,M,GEN,66,SP,59169,1,Hindu,66
14,Muzaffar Nagar,GEN,ASHOK KANSAL,M,GEN,53,BJP,44167,2,Hindu,46
14,Muzaffar Nagar,GEN,ARVIND RAJ SHARMA,M,GEN,49,BSP,31529,3,Hindu,21
14,Muzaffar Nagar,GEN,SOMANSH PRAKASH,M,GEN,73,INC,21171,4,Hindu,13
14,Muzaffar Nagar,GEN,MOHAMMAD SALEEM ANSARI,M,GEN,27,PECP,7293,5,Muslim,50
14,Muzaffar Nagar,GEN,SANJAY,M,SC,35,JD(U),1324,6,Hindu,66
14,Muzaffar Nagar,GEN,BADAR KHAN,M,GEN,47,IND,832,7,Muslim,16
14,Muzaffar Nagar,GEN,SEEMA,F,GEN,39,IND,613,8,Unknown,0
14,Muzaffar Nagar,GEN,RAKAM SINGH,M,GEN,42,IND,582,9,Hindu,16
14,Muzaffar Nagar,GEN,NASEEM AHAMAD ANSARI,M,GEN,55,IND,420,10,Muslim,46
14,Muzaffar Nagar,GEN,JAKIR HUSAIN,M,GEN,28,AITC,352,11,Muslim,16
14,Muzaffar Nagar,GEN,SHIKSHA,F,GEN,42,VAJP,340,12,Unknown,0
14,Muzaffar Nagar,GEN,SITARA BEGUM ANSARI,F,GEN,46,NNP,319,13,Hindu,8
14,Muzaffar Nagar,GEN,YOGENDRA KUMAR,M,SC,35,ABHM,308,14,Hindu,5
14,Muzaffar Nagar,GEN,MANGE RAM KASHYAP,M,GEN,44,MKUP,242,15,Hindu,8
14,Muzaffar Nagar,GEN,JAIVIR,M,GEN,40,LJP,236,16,Unknown,0
14,Muzaffar Nagar,GEN,PREM SINGH,M,GEN,45,RMD,224,17,Hindu,5
14,Muzaffar Nagar,GEN,MOHD. SHABREJ,M,GEN,28,RLM,135,18,Unknown,0
15,Khatauli,GEN,KARTAR SINGH BHADANA,M,GEN,55,RLD,46722,1,Hindu,24
15,Khatauli,GEN,TARA CHAND SHASTRI,M,GEN,66,BSP,40847,2,Unknown,0
15,Khatauli,GEN,SHYAM LAL,M,GEN,39,SP,39358,3,Hindu,46
15,Khatauli,GEN,SUDHIR KUMAR,M,GEN,50,BJP,19029,4,Hindu,46
15,Khatauli,GEN,PRAMOD,M,GEN,48,IND,7021,5,Hindu,66
15,Khatauli,GEN,SHAHNAWAZ,M,GEN,40,IND,6818,6,Unknown,0
15,Khatauli,GEN,VIJAYPAL SINGH,M,GEN,62,IND,1250,7,Hindu,16
15,Khatauli,GEN,SHAHID,M,GEN,36,BSKP,993,8,Muslim,6
15,Khatauli,GEN,MOHD. ZIA,M,GEN,35,IND,992,9,Unknown,0
15,Khatauli,GEN,BRHAMDUTT,M,GEN,41,MD,932,10,Unknown,0
15,Khatauli,GEN,SANJEEV KUMAR,M,SC,34,IND,838,11,Hindu,46
15,Khatauli,GEN,ALI HASSAN,M,GEN,53,IND,762,12,Muslim,16
15,Khatauli,GEN,RAMVEER,M,GEN,37,IND,743,13,Unknown,0
15,Khatauli,GEN,LAVAKUSH KUMAR,M,GEN,47,IND,721,14,Hindu,16
15,Khatauli,GEN,BHAGAT RAM,M,GEN,57,JD(U),587,15,Hindu,10
15,Khatauli,GEN,MANOJ,M,GEN,38,IND,583,16,Hindu,66
15,Khatauli,GEN,[PROFESSOR] JITENDRA SINGH,M,GEN,45,IND,488,17,Hindu,46
15,Khatauli,GEN,BHUSHAN,M,SC,45,IND,386,18,Hindu,66
15,Khatauli,GEN,PHOOL SINGH,M,SC,53,IND,375,19,Hindu,16
15,Khatauli,GEN,PAVAN,M,GEN,40,MKUP,311,20,Hindu,66
15,Khatauli,GEN,MUSTAQ ALI,M,GEN,44,MUL,240,21,Muslim,46
15,Khatauli,GEN,SHAHOOR HASAN,M,GEN,49,IND,233,22,Muslim,16
16,Meerapur,GEN,JAMIL AHMAD QASMI,M,GEN,51,BSP,56802,1,Muslim,28
16,Meerapur,GEN,MITHLESH PAL,F,GEN,48,RLD,44069,2,Hindu,16
